Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDAUTD,Austria Central Bank Discount Rate,Central Bank Interest Rates,Austria Schilling (Euro from 01/01/1999),Austria,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jan 1818 To Jan 1870<BR>Weekly From Jan 1870 To Jun 1914<BR>Monthly From Jul 1914 To Jun 1934<BR>Daily From Jul 1934 To Dec 2005<BR>,"Sources: The Economist (1860-1918), League of Nations (1919-45), Oesterreicheschen Nationalbank, Mitteilungen des Direktoriums der Oesterreicheschen Nationalbank, Vienna: Oesterreicheschen Nationalbank (1946-)  Notes: Data are for the beginning of the month through 1914.  No data are available from March 1938 to March 1945. Also included is the Lombard rate for Austria starting in April 1945 (IDAUTLM).",
Date,Ticker,Open,High,Low,Close
12/31/1818,IDAUTD,6,6,5,5
12/31/1819,IDAUTD,5,5,5,5
12/31/1820,IDAUTD,5,5,5,5
12/31/1821,IDAUTD,5,5,5,5
12/31/1822,IDAUTD,5,5,5,5
12/31/1823,IDAUTD,5,5,5,5
12/31/1824,IDAUTD,5,5,5,5
12/31/1825,IDAUTD,5,5,5,5
12/31/1826,IDAUTD,5,5,5,5
12/31/1827,IDAUTD,5,5,5,5
12/31/1828,IDAUTD,5,5,5,5
12/31/1829,IDAUTD,5,5,4,4
12/31/1830,IDAUTD,4,4,4,4
12/31/1831,IDAUTD,4,5,4,5
12/31/1832,IDAUTD,5,5,5,5
12/31/1833,IDAUTD,5,5,4,4
12/31/1834,IDAUTD,4,4,4,4
12/31/1835,IDAUTD,4,4,4,4
12/31/1836,IDAUTD,4,4,4,4
12/31/1837,IDAUTD,4,4,4,4
12/31/1838,IDAUTD,4,4,4,4
12/31/1839,IDAUTD,4,4,4,4
12/31/1840,IDAUTD,4,4,4,4
12/31/1841,IDAUTD,4,4,4,4
12/31/1842,IDAUTD,4,4,4,4
12/31/1843,IDAUTD,4,4,4,4
12/31/1844,IDAUTD,4,4,4,4
12/31/1845,IDAUTD,4,4,4,4
12/31/1846,IDAUTD,4,4,4,4
12/31/1847,IDAUTD,4,4,4,4
12/31/1848,IDAUTD,4,4,4,4
12/31/1849,IDAUTD,4,4,4,4
12/31/1850,IDAUTD,4,4,4,4
12/31/1851,IDAUTD,4,4,4,4
12/31/1852,IDAUTD,4,4,4,4
12/31/1853,IDAUTD,4,4,4,4
12/31/1854,IDAUTD,4,4,4,4
12/31/1855,IDAUTD,4,4,4,4
12/31/1856,IDAUTD,4,5,4,5
12/31/1857,IDAUTD,5,5,5,5
12/31/1858,IDAUTD,5,5,5,5
12/31/1859,IDAUTD,5,5,5,5
12/31/1860,IDAUTD,5,5.5,5,5.5
12/31/1861,IDAUTD,5,6,5,6
12/31/1862,IDAUTD,6,6,5,5
12/31/1863,IDAUTD,5,5,5,5
12/31/1864,IDAUTD,5,6,5,6
12/31/1865,IDAUTD,6,6,5,5
12/31/1866,IDAUTD,5,5,4,4
12/31/1867,IDAUTD,4,4,4,4
12/31/1868,IDAUTD,4,4,4,4
12/31/1869,IDAUTD,4,5,4,5
12/31/1870,IDAUTD,5,6,5,5.5
12/31/1871,IDAUTD,5.5,7,5,6.5
12/31/1872,IDAUTD,6.5,6.5,5,6
12/31/1873,IDAUTD,6,6,5,5
12/31/1874,IDAUTD,5,5,4.5,4.5
12/31/1875,IDAUTD,4.5,5,4.5,5
12/31/1876,IDAUTD,5,5,4.5,4.5
12/31/1877,IDAUTD,4.5,4.5,4.5,4.5
12/31/1878,IDAUTD,4.5,6,4.5,4.5
12/31/1879,IDAUTD,4.5,4.5,4,4
12/31/1880,IDAUTD,4,4,4,4
12/31/1881,IDAUTD,4,4,4,4
12/31/1882,IDAUTD,4,5,4,5
12/31/1883,IDAUTD,5,5,4,4
12/31/1884,IDAUTD,4,4,4,4
12/31/1885,IDAUTD,4,4,4,4
12/31/1886,IDAUTD,4,4,4,4
12/31/1887,IDAUTD,4,4.5,4,4.5
12/31/1888,IDAUTD,4.5,5,4,4.5
12/31/1889,IDAUTD,4.5,5,4,5
12/31/1890,IDAUTD,5,5.5,4,5.5
12/31/1891,IDAUTD,5.5,5.5,4,5
12/31/1892,IDAUTD,5,5,3,4
12/31/1893,IDAUTD,4,5,4,5
12/31/1894,IDAUTD,5,5.5,4,4
12/31/1895,IDAUTD,4,5,4,5
12/31/1896,IDAUTD,5,5,4,4
12/31/1897,IDAUTD,4,4,4,4
12/31/1898,IDAUTD,4,5,4,5
12/31/1899,IDAUTD,5,6,4.5,5.5
