Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDCHED,Switzerland National Bank Discount Rate,Central Bank Interest Rates,Switzerland Franc,Switzerland,,,,,,,National Currency,Units,Stock,none,Annual From Dec 1838 To Dec 1892<BR>Weekly From Dec 1892 To Oct 1906<BR>Daily From Oct 1906 To Jan 2022<BR>,"Sources: Statistischen Bureau, Statistisches Jahrbuch der Schweiz, Bern: Verlag des Ar. Institut Orell Fussli (1895-1919), League of Nations (1920-1945), Schweizerisches Nationalbank, Monatsbericht, Zurich (1946-)",
Date,Ticker,Open,High,Low,Close
12/31/1838,IDCHED,4,4,4,4
12/31/1839,IDCHED,4.41,4.41,4.41,4.41
12/31/1840,IDCHED,4.33,4.33,4.33,4.33
12/31/1841,IDCHED,3.91,3.91,3.91,3.91
12/31/1842,IDCHED,4.6,4.6,4.6,4.6
12/31/1843,IDCHED,4.2,4.2,4.2,4.2
12/31/1844,IDCHED,4,4,4,4
12/31/1845,IDCHED,4,4,4,4
12/31/1846,IDCHED,4.52,4.52,4.52,4.52
12/31/1847,IDCHED,5,5,5,5
12/31/1848,IDCHED,5,5,5,5
12/31/1849,IDCHED,4.12,4.12,4.12,4.12
12/31/1850,IDCHED,4,4,4,4
12/31/1851,IDCHED,4,4,4,4
12/31/1852,IDCHED,4,4,4,4
12/31/1853,IDCHED,4.11,4.11,4.11,4.11
12/31/1854,IDCHED,4.7,4.7,4.7,4.7
12/31/1855,IDCHED,4.61,4.61,4.61,4.61
12/31/1856,IDCHED,4.74,4.74,4.74,4.74
12/31/1857,IDCHED,5.4,5.4,5.4,5.4
12/31/1858,IDCHED,4.2,4.2,4.2,4.2
12/31/1859,IDCHED,4.06,4.06,4.06,4.06
12/31/1860,IDCHED,4.24,4.24,4.24,4.24
12/31/1861,IDCHED,5.2,5.2,5.2,5.2
12/31/1862,IDCHED,4.87,4.87,4.87,4.87
12/31/1863,IDCHED,5.25,5.25,5.25,5.25
12/31/1864,IDCHED,6.69,6.69,6.69,6.69
12/31/1865,IDCHED,4.76,4.76,4.76,4.76
12/31/1866,IDCHED,5.38,5.38,5.38,5.38
12/31/1867,IDCHED,3.87,3.87,3.87,3.87
12/31/1868,IDCHED,3.2,3.2,3.2,3.2
12/31/1869,IDCHED,3.38,3.38,3.38,3.38
12/31/1870,IDCHED,4.75,4.75,4.75,4.75
12/31/1871,IDCHED,3.82,3.82,3.82,3.82
12/31/1872,IDCHED,4.49,4.49,4.49,4.49
12/31/1873,IDCHED,5.4,5.4,5.4,5.4
12/31/1874,IDCHED,4.63,4.63,4.63,4.63
12/31/1875,IDCHED,4.18,4.18,4.18,4.18
12/31/1876,IDCHED,3.53,3.53,3.53,3.53
12/31/1877,IDCHED,3.65,3.65,3.65,3.65
12/31/1878,IDCHED,3.85,3.85,3.85,3.85
12/31/1879,IDCHED,3.35,3.35,3.35,3.35
12/31/1880,IDCHED,2.97,2.97,2.97,2.97
12/31/1881,IDCHED,4.11,4.11,4.11,4.11
12/31/1882,IDCHED,4.45,4.45,4.45,4.45
12/31/1883,IDCHED,3.04,3.04,3.04,3.04
12/31/1884,IDCHED,2.88,2.88,2.88,2.88
12/31/1885,IDCHED,3.09,3.09,3.09,3.09
12/31/1886,IDCHED,3.01,3.01,3.01,3.01
12/31/1887,IDCHED,2.93,2.93,2.93,2.93
12/31/1888,IDCHED,3.14,3.14,3.14,3.14
12/31/1889,IDCHED,3.72,3.72,3.72,3.72
12/31/1890,IDCHED,3.9,3.9,3.9,3.9
12/31/1891,IDCHED,3.93,3.93,3.93,3.93
12/31/1892,IDCHED,3,3.06,3,3.06
12/31/1893,IDCHED,3,4.5,2.5,4
12/31/1894,IDCHED,4,4,2.5,3.5
12/31/1895,IDCHED,3,4.5,2.5,4.5
12/31/1896,IDCHED,4.5,5,3.5,4.5
12/31/1897,IDCHED,4.5,4.5,3.5,4.5
12/31/1898,IDCHED,4.5,5,4,5
12/31/1899,IDCHED,5,6,4.5,6
12/31/1900,IDCHED,6,6,4,5
12/31/1901,IDCHED,5,5,3.5,4
12/31/1902,IDCHED,4,4.5,3.5,4.5
12/31/1903,IDCHED,4.5,4.5,3.5,4.5
12/31/1904,IDCHED,4.5,4.5,3.5,4.5
12/31/1905,IDCHED,4.5,5,3.5,5
12/31/1906,IDCHED,5,5.5,4.5,5.5
12/31/1907,IDCHED,5.5,5.5,4.5,5.5
12/31/1908,IDCHED,5.5,5.5,3.5,3.5
12/31/1909,IDCHED,3.5,4,3,4
12/31/1910,IDCHED,4,4.5,3,4.5
12/31/1911,IDCHED,4.5,4.5,3.5,4
12/31/1912,IDCHED,4,5,4,5
12/31/1913,IDCHED,5,5,4.5,4.5
12/31/1914,IDCHED,4.5,6,3.5,5
12/31/1915,IDCHED,4.5,4.5,4.5,4.5
12/31/1916,IDCHED,4.5,4.5,4.5,4.5
12/31/1917,IDCHED,4.5,4.5,4.5,4.5
12/31/1918,IDCHED,4.5,5.5,4.5,5.5
12/31/1919,IDCHED,5.5,5.5,5,5
12/31/1920,IDCHED,5,5,5,5
12/31/1921,IDCHED,5,5,4,4
12/31/1922,IDCHED,4,4,3,3
12/31/1923,IDCHED,3,4,3,4
12/31/1924,IDCHED,4,4,4,4
12/31/1925,IDCHED,4,4,3.5,3.5
12/31/1926,IDCHED,3.5,3.5,3.5,3.5
12/31/1927,IDCHED,3.5,3.5,3.5,3.5
12/31/1928,IDCHED,3.5,3.5,3.5,3.5
12/31/1929,IDCHED,3.5,3.5,3.5,3.5
12/31/1930,IDCHED,3.5,3.5,2.5,2.5
12/31/1931,IDCHED,2.5,2.5,2,2
12/31/1932,IDCHED,2,2,2,2
12/31/1933,IDCHED,2,2,2,2
12/31/1934,IDCHED,2,2,2,2
12/31/1935,IDCHED,2,2.5,2,2.5
12/31/1936,IDCHED,2.5,2.5,1.5,1.5
12/31/1937,IDCHED,1.5,1.5,1.5,1.5
12/31/1938,IDCHED,1.5,1.5,1.5,1.5
12/31/1939,IDCHED,1.5,1.5,1.5,1.5
12/31/1940,IDCHED,1.5,1.5,1.5,1.5
12/31/1941,IDCHED,1.5,1.5,1.5,1.5
12/31/1942,IDCHED,1.5,1.5,1.5,1.5
12/31/1943,IDCHED,1.5,1.5,1.5,1.5
12/31/1944,IDCHED,1.5,1.5,1.5,1.5
12/31/1945,IDCHED,1.5,1.5,1.5,1.5
12/31/1946,IDCHED,1.5,1.5,1.5,1.5
12/31/1947,IDCHED,1.5,1.5,1.5,1.5
12/31/1948,IDCHED,1.5,1.5,1.5,1.5
12/31/1949,IDCHED,1.5,1.5,1.5,1.5
12/31/1950,IDCHED,1.5,1.5,1.5,1.5
12/31/1951,IDCHED,1.5,1.5,1.5,1.5
12/31/1952,IDCHED,1.5,1.5,1.5,1.5
