Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDDEUD,Germany Berlin Bundesbank Discount Rate,Central Bank Interest Rates,Germany Deutschemark (Euro from 01/01/1999),Germany,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jan 1854 To Jan 1870<BR>Weekly From Jan 1870 To Dec 1875<BR>Daily From Jan 1876 To Jan 1908<BR>Weekly From Jan 1908 To Jun 1914<BR>Monthly From Jul 1914 To May 1932<BR>Daily From May 1932 To Dec 2005<BR>,"Sources: Hunt's Merchants Magazine (1854-1860), The Economist (1867-1875), Deutsche Bundesbank, Monthly Report (1875-) <br />Notes: Data are for the beginning of the month from 1867 to October 1873 and refer to Berlin.  After that, data are for the end of the month at the Bundesbank.",
Date,Ticker,Open,High,Low,Close
12/31/1854,IDDEUD,3.25,3.25,3.25,3.25
12/31/1855,IDDEUD,3.5,3.5,3.5,3.5
12/31/1856,IDDEUD,4.125,6,4.125,4.5
12/31/1857,IDDEUD,4.5,6,3.5,5
12/31/1858,IDDEUD,4,4,3.5,3.5
12/31/1859,IDDEUD,3.25,3.25,3.25,3.25
12/31/1860,IDDEUD,4,4,4,4
12/31/1861,IDDEUD,3,4,3,4
12/31/1862,IDDEUD,4,4,4,4
12/31/1863,IDDEUD,4,4.5,4,4.5
12/31/1864,IDDEUD,4.5,7,4.5,7
12/31/1865,IDDEUD,6,7,4,7
12/31/1866,IDDEUD,7,9,4.5,4.5
12/31/1867,IDDEUD,4,4,3,4
12/31/1868,IDDEUD,4,4,4,4
12/31/1869,IDDEUD,4,5,4,5
12/31/1870,IDDEUD,5,8,3.5,4.5
12/31/1871,IDDEUD,4.5,5,4,4
12/31/1872,IDDEUD,4,5,4,5
12/31/1873,IDDEUD,5,6,4,5
12/31/1874,IDDEUD,5,6,4,6
12/31/1875,IDDEUD,6,6,4,5
12/31/1876,IDDEUD,5,6,3.5,4.5
12/31/1877,IDDEUD,4.5,5.5,4,4.5
12/31/1878,IDDEUD,4.5,5,4,4.5
12/31/1879,IDDEUD,4.5,4.5,3,4
12/31/1880,IDDEUD,4,5.5,4,4
12/31/1881,IDDEUD,4,5.5,4,5
12/31/1882,IDDEUD,5,6,4,5
12/31/1883,IDDEUD,5,5,4,4
12/31/1884,IDDEUD,4,4,4,4
12/31/1885,IDDEUD,4,5,4,4
12/31/1886,IDDEUD,4,5,3,5
12/31/1887,IDDEUD,5,5,3,3
12/31/1888,IDDEUD,3,4.5,3,4.5
12/31/1889,IDDEUD,4.5,5,3,5
12/31/1890,IDDEUD,5,5.5,4,5.5
12/31/1891,IDDEUD,5.5,5.5,3,4
12/31/1892,IDDEUD,4,4,3,4
12/31/1893,IDDEUD,4,5,3,5
12/31/1894,IDDEUD,5,5,3,3
12/31/1895,IDDEUD,3,4,3,4
12/31/1896,IDDEUD,4,5,3,5
12/31/1897,IDDEUD,5,5,3,5
12/31/1898,IDDEUD,5,6,3,6
12/31/1899,IDDEUD,6,7,4,7
12/31/1900,IDDEUD,7,7,5,5
12/31/1901,IDDEUD,5,5,3.5,4
12/31/1902,IDDEUD,4,4,3,4
12/31/1903,IDDEUD,4,4,3.5,4
12/31/1904,IDDEUD,4,5,4,5
12/31/1905,IDDEUD,5,6,3,6
12/31/1906,IDDEUD,6,7,4.5,7
12/31/1907,IDDEUD,7,7.5,5.5,7.5
12/31/1908,IDDEUD,7.5,7.5,4,4
12/31/1909,IDDEUD,4,5,3.5,5
12/31/1910,IDDEUD,5,5,4,5
12/31/1911,IDDEUD,5,5,4,5
12/31/1912,IDDEUD,5,6,4.5,6
12/31/1913,IDDEUD,6,6,5,5
12/31/1914,IDDEUD,5,6,4,5
12/31/1915,IDDEUD,5,5,5,5
12/31/1916,IDDEUD,5,5,5,5
12/31/1917,IDDEUD,5,5,5,5
12/31/1918,IDDEUD,5,5,5,5
12/31/1919,IDDEUD,5,5,5,5
12/31/1920,IDDEUD,5,5,5,5
12/31/1921,IDDEUD,5,5,5,5
12/31/1922,IDDEUD,5,10,5,10
12/31/1923,IDDEUD,12,90,10,10
12/31/1924,IDDEUD,10,10,10,10
12/31/1925,IDDEUD,10,10,9,9
12/31/1926,IDDEUD,8,8,6,6
12/31/1927,IDDEUD,5,7,5,7
12/31/1928,IDDEUD,7,7,7,7
12/31/1929,IDDEUD,6.5,7.5,6.5,7
12/31/1930,IDDEUD,6.5,6.5,4,5
12/31/1931,IDDEUD,5,15,5,7
12/31/1932,IDDEUD,7,7,4,4
12/31/1933,IDDEUD,4,4,4,4
12/31/1934,IDDEUD,4,4,4,4
12/31/1935,IDDEUD,4,4,4,4
12/31/1936,IDDEUD,4,4,4,4
12/31/1937,IDDEUD,4,4,4,4
12/31/1938,IDDEUD,4,4,4,4
12/31/1939,IDDEUD,4,4,4,4
12/31/1940,IDDEUD,4,4,3.5,3.5
12/31/1941,IDDEUD,3.5,3.5,3.5,3.5
12/31/1942,IDDEUD,3.5,3.5,3.5,3.5
12/31/1943,IDDEUD,3.5,3.5,3.5,3.5
12/31/1944,IDDEUD,3.5,3.5,3.5,3.5
12/31/1945,IDDEUD,3.5,3.5,3.5,3.5
12/31/1946,IDDEUD,3.5,3.5,3.5,3.5
12/31/1947,IDDEUD,3.5,3.5,3.5,3.5
12/31/1948,IDDEUD,3.5,5,3.5,5
12/31/1949,IDDEUD,5,5,4,4
12/31/1950,IDDEUD,4,6,4,6
12/31/1951,IDDEUD,6,6,6,6
12/31/1952,IDDEUD,6,6,4.5,4.5
12/31/1953,IDDEUD,4.5,4.5,3.5,3.5
12/31/1954,IDDEUD,3.5,3.5,3,3
12/31/1955,IDDEUD,3,3.5,3,3.5
12/31/1956,IDDEUD,3.5,5.5,3.5,5
12/31/1957,IDDEUD,5,5,4,4
12/31/1958,IDDEUD,4,4,3,3
12/31/1959,IDDEUD,3,4,2.75,4
12/31/1960,IDDEUD,4,5,4,4
12/31/1961,IDDEUD,4,4,3,3
12/31/1962,IDDEUD,3,3,3,3
12/31/1963,IDDEUD,3,3,3,3
12/31/1964,IDDEUD,3,3,3,3
12/31/1965,IDDEUD,3,4,3,4
12/31/1966,IDDEUD,4,5,4,5
12/31/1967,IDDEUD,5,5,3,3
12/31/1968,IDDEUD,3,3,3,3
12/31/1969,IDDEUD,3,6,3,6
12/31/1970,IDDEUD,6,7.5,6,6
12/31/1971,IDDEUD,6,6,4,4
12/31/1972,IDDEUD,4,4.5,3,4.5
12/31/1973,IDDEUD,4.5,7,4.5,7
12/31/1974,IDDEUD,7,7,6,6
12/31/1975,IDDEUD,6,6,3.5,3.5
12/31/1976,IDDEUD,3.5,3.5,3.5,3.5
12/31/1977,IDDEUD,3.5,3.5,3,3
12/31/1978,IDDEUD,3,3,3,3
12/31/1979,IDDEUD,3,6,3,6
12/31/1980,IDDEUD,6,7.5,6,7.5
12/31/1981,IDDEUD,7.5,7.5,7.5,7.5
12/31/1982,IDDEUD,7.5,7.5,5,5
12/31/1983,IDDEUD,5,5,4,4
12/31/1984,IDDEUD,4,4.5,4,4.5
