Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDDNKD,Denmark National Bank Discount Rate,Central Bank Interest Rates,Denmark Krone,Denmark,,,,,,,National Currency,Units,Stock,none,Daily From Jan 1864 To Feb 2022<BR>,"Definition: The official discount rate is charged for drawings against the first tranche of bank loans from the Central Bank. The charge for drawings against the second tranche is the official discount rate plus 3 percentage points.  Sources: Statistiske Department, Statistisk Arbog, Copenhagen: Statistiske Dept. (1864-1918), League of Nations (1919-45), Danmarks Bank, Monetary Review (1946-) Notes: Data are quarterly from 1864 through 1877 and monthly thereafter.",
Date,Ticker,Open,High,Low,Close
12/31/1864,IDDNKD,5,5,4.5,4.5
12/31/1865,IDDNKD,4.5,5,4,4.5
12/31/1866,IDDNKD,4.5,7,4.5,5.5
12/31/1867,IDDNKD,5.5,5.5,3.5,3.5
12/31/1868,IDDNKD,3.5,4,3.5,4
12/31/1869,IDDNKD,4,5,4,5
12/31/1870,IDDNKD,5,5,3.5,4.5
12/31/1871,IDDNKD,4.5,4.5,4,4.5
12/31/1872,IDDNKD,4.5,4.5,4,4.5
12/31/1873,IDDNKD,4.5,5,4,5
12/31/1874,IDDNKD,5,5,4,4.5
12/31/1875,IDDNKD,4.5,5.5,4.5,5.5
12/31/1876,IDDNKD,5.5,6,4.5,4.5
12/31/1877,IDDNKD,4.5,6,4,5.5
12/31/1878,IDDNKD,5.5,6.5,4,4
12/31/1879,IDDNKD,4,4,3,3.5
12/31/1880,IDDNKD,3.5,3.5,3,3.5
12/31/1881,IDDNKD,3.5,3.5,3.5,3.5
12/31/1882,IDDNKD,3.5,4.5,3.5,4.5
12/31/1883,IDDNKD,4.5,5,4,5
12/31/1884,IDDNKD,5,5,3.5,5
12/31/1885,IDDNKD,5,5,3.5,4
12/31/1886,IDDNKD,4,4.5,3,3
12/31/1887,IDDNKD,3,3,3,3
12/31/1888,IDDNKD,3,3,3,3
12/31/1889,IDDNKD,3,4,3,4
12/31/1890,IDDNKD,4,4.5,3.5,4.5
12/31/1891,IDDNKD,4.5,5,3.5,5
12/31/1892,IDDNKD,5,5,3.5,3.5
12/31/1893,IDDNKD,3.5,4,3.5,4
12/31/1894,IDDNKD,4,4,3.5,3.5
12/31/1895,IDDNKD,3.5,3.5,3.5,3.5
