Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDESPD,Bank of Spain Discount Rate,Central Bank Interest Rates,Spain Peseta (Euro from 01/01/1999),Spain,,,,,,,Percent per Annum,Units,Stock,none,Weekly From Jan 1870 To Jan 1874<BR>Monthly From Feb 1874 To Jan 1880<BR>Weekly From Jan 1880 To Jun 1914<BR>Monthly From Jul 1914 To Dec 1998<BR>Daily From Jan 1999 To Dec 2001<BR>,"Sources: Statistisches Reichsamt (1900-15) League of Nations (1916-45), Banco de Espana, Boletin Estadistica (1946-)",
Date,Ticker,Open,High,Low,Close
12/31/1870,IDESPD,5,5,5,5
12/31/1871,IDESPD,5,5,5,5
12/31/1874,IDESPD,6,6,6,6
12/31/1875,IDESPD,6,6,6,6
12/31/1876,IDESPD,6,6,6,6
12/31/1877,IDESPD,6,6,6,6
12/31/1878,IDESPD,5,5,5,5
12/31/1879,IDESPD,4,4,4,4
12/31/1880,IDESPD,4,4,4,4
12/31/1881,IDESPD,4,4,4,4
12/31/1882,IDESPD,4,4.5,4,4.5
12/31/1883,IDESPD,4.5,5,4.5,5
12/31/1884,IDESPD,5,5,4.5,4.5
12/31/1885,IDESPD,4.5,4.5,4,4
12/31/1886,IDESPD,4,4,4,4
12/31/1887,IDESPD,4,4,4,4
12/31/1888,IDESPD,4,4,4,4
12/31/1889,IDESPD,4,4,4,4
12/31/1890,IDESPD,4,4,4,4
12/31/1891,IDESPD,4,4,4,4
12/31/1892,IDESPD,4,5,4,5
12/31/1893,IDESPD,5,5,5,5
12/31/1894,IDESPD,5,5,5,5
12/31/1895,IDESPD,5,5,4.5,4.5
12/31/1896,IDESPD,4.5,5.25,4.5,5
12/31/1897,IDESPD,5,5,5,5
12/31/1898,IDESPD,5,5,5,5
12/31/1899,IDESPD,5,5,4,4
12/31/1900,IDESPD,4,4,3.5,3.5
12/31/1901,IDESPD,3.5,4,3.5,4
12/31/1902,IDESPD,4,5,4,4
12/31/1903,IDESPD,4,4.5,4,4.5
12/31/1904,IDESPD,4.5,4.5,4.5,4.5
12/31/1905,IDESPD,4.5,4.5,4.5,4.5
12/31/1906,IDESPD,4.5,4.5,4.5,4.5
12/31/1907,IDESPD,4.5,4.5,4.5,4.5
12/31/1908,IDESPD,4.5,4.5,4.5,4.5
12/31/1909,IDESPD,4.5,4.5,4.5,4.5
12/31/1910,IDESPD,4.5,4.5,4.5,4.5
12/31/1911,IDESPD,4.5,4.5,4.5,4.5
12/31/1912,IDESPD,4.5,4.5,4.5,4.5
12/31/1913,IDESPD,4.5,4.5,4.5,4.5
12/31/1914,IDESPD,4.5,5.5,4.5,4.5
12/31/1915,IDESPD,4.5,4.5,4.5,4.5
12/31/1916,IDESPD,4.5,4.5,4.5,4.5
12/31/1917,IDESPD,4.5,4.5,4.5,4.5
12/31/1918,IDESPD,4.5,4.5,4.5,4.5
12/31/1919,IDESPD,4.5,4.5,4.5,4.5
12/31/1920,IDESPD,5,6,5,6
12/31/1921,IDESPD,6,6,6,6
12/31/1922,IDESPD,6,6,5.5,5.5
12/31/1923,IDESPD,5.5,5.5,5,5
12/31/1924,IDESPD,5,5,5,5
12/31/1925,IDESPD,5,5,5,5
12/31/1926,IDESPD,5,5,5,5
12/31/1927,IDESPD,5,5,5,5
12/31/1928,IDESPD,5,5.5,5,5.5
12/31/1929,IDESPD,5.5,5.5,5.5,5.5
12/31/1930,IDESPD,5.5,6,5.5,6
12/31/1931,IDESPD,6,6.5,6,6.5
12/31/1932,IDESPD,6.5,6.5,6,6
12/31/1933,IDESPD,6,6,6,6
12/31/1934,IDESPD,6,6,5.5,5.5
12/31/1935,IDESPD,5,5,5,5
12/31/1936,IDESPD,5,5,5,5
12/31/1937,IDESPD,5,5,5,5
12/31/1938,IDESPD,5,5,5,5
12/31/1939,IDESPD,4,4,4,4
12/31/1940,IDESPD,4,4,4,4
