Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDFIND,Finland Central Bank Discount Rate,Central Bank Interest Rates,Finland Markka (Euro from 01/01/1999),Finland,,,,,,,National Currency,Units,Stock,none,Daily From Jan 1867 To Dec 1955<BR>Monthly From Jan 1956 To May 1978<BR>Daily From Jun 1978 To Dec 2021<BR>,"Sources: Bank of Finland, Vuosikirja (Yearbook), and Monthly Bulletin Helsinki: Finland`s Bank (1867-)",
Date,Ticker,Open,High,Low,Close
12/31/1867,IDFIND,6,6,6,6
12/31/1868,IDFIND,6,6,5,5
12/31/1869,IDFIND,5,5,5,5
12/31/1870,IDFIND,4.5,4.5,4.5,4.5
12/31/1871,IDFIND,4,4,4,4
12/31/1872,IDFIND,4,4,4,4
12/31/1873,IDFIND,4,4,4,4
12/31/1874,IDFIND,4,4,4,4
12/31/1875,IDFIND,4,4,4,4
12/31/1876,IDFIND,4.5,4.5,4.5,4.5
12/31/1877,IDFIND,4.5,5,4.5,5
12/31/1878,IDFIND,5,5,5,5
12/31/1879,IDFIND,5.5,5.5,5.5,5.5
12/31/1880,IDFIND,5,5,4.5,4.5
12/31/1881,IDFIND,4.5,4.5,4.5,4.5
12/31/1882,IDFIND,4.5,4.5,4.5,4.5
12/31/1883,IDFIND,4.5,4.5,4.5,4.5
12/31/1884,IDFIND,4.5,4.5,4.5,4.5
12/31/1885,IDFIND,4.5,4.5,4.5,4.5
12/31/1886,IDFIND,4.5,4.5,4,4
12/31/1887,IDFIND,4,4,4,4
12/31/1888,IDFIND,4,4,4,4
12/31/1889,IDFIND,4,4,4,4
12/31/1890,IDFIND,4,5,4,5
12/31/1891,IDFIND,5,5.5,5,5.5
12/31/1892,IDFIND,5.5,5.5,5.5,5.5
12/31/1893,IDFIND,5.5,5.5,5,5
12/31/1894,IDFIND,5,5,5,5
12/31/1895,IDFIND,5,5,4,4
12/31/1896,IDFIND,4,4.5,4,4.5
12/31/1897,IDFIND,4.5,4.5,4.5,4.5
12/31/1898,IDFIND,4.5,5,4.5,5
12/31/1899,IDFIND,5,6,5,6
12/31/1900,IDFIND,6,6,6,6
12/31/1901,IDFIND,6,6,5.5,5.5
12/31/1902,IDFIND,5.5,5.5,5,5
12/31/1903,IDFIND,5,5,5,5
12/31/1904,IDFIND,5,5,5,5
12/31/1905,IDFIND,5,5,5,5
12/31/1906,IDFIND,5,5,5,5
12/31/1907,IDFIND,5,6.5,5,6.5
12/31/1908,IDFIND,6.5,6.5,5.5,5.5
12/31/1909,IDFIND,5.5,5.5,5,5
12/31/1910,IDFIND,5,5.5,5,5.5
12/31/1911,IDFIND,5.5,5.5,4.5,4.5
12/31/1912,IDFIND,4.5,6,4.5,6
12/31/1913,IDFIND,6,6,5.5,5.5
12/31/1914,IDFIND,5.5,7,5,6
12/31/1915,IDFIND,6,6,5.5,5.5
12/31/1916,IDFIND,5.5,5.5,5,5
12/31/1917,IDFIND,5,5,5,5
12/31/1918,IDFIND,5,5,5,5
12/31/1919,IDFIND,5,7,5,7
12/31/1920,IDFIND,7,9,7,9
12/31/1921,IDFIND,9,9,9,9
12/31/1922,IDFIND,9,9,8,8
12/31/1923,IDFIND,8,10,8,10
12/31/1924,IDFIND,10,10,9,9
12/31/1925,IDFIND,9,9,7.5,7.5
12/31/1926,IDFIND,7.5,7.5,7.5,7.5
12/31/1927,IDFIND,7.5,7.5,6,6
12/31/1928,IDFIND,6,7,6,7
12/31/1929,IDFIND,7,7,7,7
12/31/1930,IDFIND,7,7,6,6
12/31/1931,IDFIND,6,9,6,8
12/31/1932,IDFIND,8,8,6.5,6.5
12/31/1933,IDFIND,6.5,6.5,4.5,4.5
12/31/1934,IDFIND,4.5,4.5,4,4
12/31/1935,IDFIND,4,4,4,4
12/31/1936,IDFIND,4,4,4,4
12/31/1937,IDFIND,4,4,4,4
12/31/1938,IDFIND,4,4,4,4
12/31/1939,IDFIND,4,4,4,4
12/31/1940,IDFIND,4,4,4,4
12/31/1941,IDFIND,4,4,4,4
12/31/1942,IDFIND,4,4,4,4
12/31/1943,IDFIND,4,4,4,4
12/31/1944,IDFIND,4,4,4,4
12/31/1945,IDFIND,4,4,4,4
12/31/1946,IDFIND,4,4,4,4
12/31/1947,IDFIND,4,5.25,4,5.25
12/31/1948,IDFIND,5.25,7.25,5.25,7.25
