Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDFRAD,Bank of France Discount Rate,Central Bank Interest Rates,France Franc (Euro from 01/01/1999),France,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Feb 1800 To Jan 1870<BR>Weekly From Jan 1870 To Jun 1914<BR>Monthly From Jul 1914 To Dec 1991<BR>,"Sources: R.G. Hawtrey, A Century of Bank Rate, London: Longmans Green & Co., 1938, p. 302 (1800-1918), LoN (1919-45), Banque de France, Bulletin Trimestriel (1946-)",
Date,Ticker,Open,High,Low,Close
12/31/1800,IDFRAD,6,6,6,6
12/31/1801,IDFRAD,6,6,5,5
12/31/1802,IDFRAD,5,5,5,5
12/31/1803,IDFRAD,5,5,5,5
12/31/1804,IDFRAD,5,5,5,5
12/31/1805,IDFRAD,5,5,5,5
12/31/1806,IDFRAD,4,5,4,5
12/31/1807,IDFRAD,5,5,4,4
12/31/1808,IDFRAD,4,4,4,4
12/31/1809,IDFRAD,4,4,4,4
12/31/1810,IDFRAD,4,4,4,4
12/31/1811,IDFRAD,4,4,4,4
12/31/1812,IDFRAD,4,4,4,4
12/31/1813,IDFRAD,4,4,4,4
12/31/1814,IDFRAD,4,5,4,5
12/31/1815,IDFRAD,5,5,5,5
12/31/1816,IDFRAD,5,5,5,5
12/31/1817,IDFRAD,5,5,5,5
12/31/1818,IDFRAD,5,5,5,5
12/31/1819,IDFRAD,5,5,4,4
12/31/1820,IDFRAD,4,4,4,4
12/31/1821,IDFRAD,4,4,4,4
12/31/1822,IDFRAD,4,4,4,4
12/31/1823,IDFRAD,4,4,4,4
12/31/1824,IDFRAD,4,4,4,4
12/31/1825,IDFRAD,4,4,4,4
12/31/1826,IDFRAD,4,4,4,4
12/31/1827,IDFRAD,4,4,4,4
12/31/1828,IDFRAD,4,4,4,4
12/31/1829,IDFRAD,4,4,4,4
12/31/1830,IDFRAD,4,4,4,4
12/31/1831,IDFRAD,4,4,4,4
12/31/1832,IDFRAD,4,4,4,4
12/31/1833,IDFRAD,4,4,4,4
12/31/1834,IDFRAD,4,4,4,4
12/31/1835,IDFRAD,4,4,4,4
12/31/1836,IDFRAD,4,4,4,4
12/31/1837,IDFRAD,4,4,4,4
12/31/1838,IDFRAD,4,4,4,4
12/31/1839,IDFRAD,4,4,4,4
12/31/1840,IDFRAD,4,4,4,4
12/31/1841,IDFRAD,4,4,4,4
12/31/1842,IDFRAD,4,4,4,4
12/31/1843,IDFRAD,4,4,4,4
12/31/1844,IDFRAD,4,4,4,4
12/31/1845,IDFRAD,4,4,4,4
12/31/1846,IDFRAD,4,4,4,4
12/31/1847,IDFRAD,5,5,4,4
12/31/1848,IDFRAD,4,4,4,4
12/31/1849,IDFRAD,4,4,4,4
12/31/1850,IDFRAD,4,4,4,4
12/31/1851,IDFRAD,4,4,4,4
12/31/1852,IDFRAD,4,4,3,3
12/31/1853,IDFRAD,3,4,3,4
12/31/1854,IDFRAD,5,5,4,4
12/31/1855,IDFRAD,4,6,4,6
12/31/1856,IDFRAD,6,6,5,6
12/31/1857,IDFRAD,6,8,5,5
12/31/1858,IDFRAD,5,5,3,3
12/31/1859,IDFRAD,3,4,3,3.5
12/31/1860,IDFRAD,3.5,4.5,3.5,4.5
12/31/1861,IDFRAD,5.5,7,5,5
12/31/1862,IDFRAD,4.5,4.5,3.5,4
12/31/1863,IDFRAD,5,7,3.5,7
12/31/1864,IDFRAD,7,8,4,4.5
12/31/1865,IDFRAD,5,5,3,4
12/31/1866,IDFRAD,3.5,4,3,3
12/31/1867,IDFRAD,3,3,2.5,2.5
12/31/1868,IDFRAD,2.5,2.5,2.5,2.5
12/31/1869,IDFRAD,2.5,2.5,2.5,2.5
12/31/1870,IDFRAD,2.5,6,2.5,6
12/31/1871,IDFRAD,6,6,5,6
12/31/1872,IDFRAD,6,6,5,5
12/31/1873,IDFRAD,5,7,5,5
12/31/1874,IDFRAD,5,5,4,4
12/31/1875,IDFRAD,4,4,4,4
12/31/1876,IDFRAD,4,4,3,3
12/31/1877,IDFRAD,3,3,2,2
12/31/1878,IDFRAD,2,3,2,3
12/31/1879,IDFRAD,3,3,2,3
12/31/1880,IDFRAD,3,3.5,2.5,3.5
12/31/1881,IDFRAD,3.5,5,3.5,5
12/31/1882,IDFRAD,5,5,3.5,3.5
12/31/1883,IDFRAD,3.5,3.5,3,3
12/31/1884,IDFRAD,3,3,3,3
12/31/1885,IDFRAD,3,3,3,3
12/31/1886,IDFRAD,3,3,3,3
12/31/1887,IDFRAD,3,3,3,3
12/31/1888,IDFRAD,3,4.5,2.5,4.5
12/31/1889,IDFRAD,4.5,4.5,3,3
12/31/1890,IDFRAD,3,3,3,3
12/31/1891,IDFRAD,3,3,3,3
12/31/1892,IDFRAD,3,3,2.5,2.5
12/31/1893,IDFRAD,2.5,2.52,2.5,2.5
12/31/1894,IDFRAD,2.5,2.5,2.5,2.5
12/31/1895,IDFRAD,2.5,2.5,2,2
12/31/1896,IDFRAD,2,2,2,2
12/31/1897,IDFRAD,2,2,2,2
12/31/1898,IDFRAD,2,3,2,3
12/31/1899,IDFRAD,3,4.5,3,4.5
12/31/1900,IDFRAD,4.5,4.5,3,3
12/31/1901,IDFRAD,3,3,3,3
12/31/1902,IDFRAD,3,3,3,3
12/31/1903,IDFRAD,3,3,3,3
12/31/1904,IDFRAD,3,3,3,3
12/31/1905,IDFRAD,3,3,3,3
12/31/1906,IDFRAD,3,3,3,3
12/31/1907,IDFRAD,3,4,3,4
12/31/1908,IDFRAD,4,4,3,3
12/31/1909,IDFRAD,3,3,3,3
12/31/1910,IDFRAD,3,3,3,3
