Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDGRCD,Bank of Greece Discount Rate,Central Bank Interest Rates,Greece Drachma (Euro from 01/01/2001),Greece,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Mar 1841 To Dec 1997<BR>Weekly From Jan 1998 To Dec 2000<BR>,"Sources: Bureau of Statistics, Annuaire Statistique, Athens (1913-34), League of Nations (1935-1945), Bank of Greece, Monthly Statistical Bulletin (1946-1982)",
Date,Ticker,Open,High,Low,Close
12/31/1841,IDGRCD,8,8,8,8
12/31/1842,IDGRCD,8,8,8,8
12/31/1843,IDGRCD,8,8,8,8
12/31/1844,IDGRCD,8,8,8,8
12/31/1845,IDGRCD,8,8,8,8
12/31/1846,IDGRCD,8,8,8,8
12/31/1847,IDGRCD,8,8,7.2,7.2
12/31/1848,IDGRCD,7.2,7.2,7.2,7.2
12/31/1849,IDGRCD,7.2,7.2,7.2,7.2
12/31/1850,IDGRCD,7.2,7.2,7.2,7.2
12/31/1851,IDGRCD,7.2,7.2,7.2,7.2
12/31/1852,IDGRCD,7.2,7.2,7.2,7.2
12/31/1853,IDGRCD,7.2,8,7.2,8
12/31/1854,IDGRCD,8,8,8,8
12/31/1855,IDGRCD,8,8,8,8
12/31/1856,IDGRCD,8,8,8,8
12/31/1857,IDGRCD,8,8,8,8
12/31/1858,IDGRCD,8,8,8,8
12/31/1859,IDGRCD,8,8,8,8
12/31/1860,IDGRCD,8,8,8,8
12/31/1861,IDGRCD,8,8,8,8
12/31/1862,IDGRCD,8,8,8,8
12/31/1863,IDGRCD,8,8,8,8
12/31/1864,IDGRCD,8,8,8,8
12/31/1865,IDGRCD,8,8,8,8
12/31/1866,IDGRCD,8,8,8,8
12/31/1867,IDGRCD,8,8,8,8
12/31/1868,IDGRCD,8,8,8,8
12/31/1869,IDGRCD,8,8,7,7
12/31/1870,IDGRCD,7,7,7,7
12/31/1871,IDGRCD,7,8,7,8
12/31/1872,IDGRCD,8,8,8,8
12/31/1873,IDGRCD,8,8,8,8
12/31/1874,IDGRCD,8,8,8,8
12/31/1875,IDGRCD,8,8,8,8
12/31/1876,IDGRCD,8,8,8,8
12/31/1877,IDGRCD,8,8,8,8
12/31/1878,IDGRCD,8,8,7,7
12/31/1879,IDGRCD,7,7,7,7
12/31/1880,IDGRCD,7,7,7,7
12/31/1881,IDGRCD,7,7,7,7
12/31/1882,IDGRCD,7,7,7,7
12/31/1883,IDGRCD,7,7,7,7
12/31/1884,IDGRCD,7,7,7,7
12/31/1885,IDGRCD,7,7,7,7
12/31/1886,IDGRCD,7,7,7,7
12/31/1887,IDGRCD,7,7,7,7
12/31/1888,IDGRCD,7,7,7,7
12/31/1889,IDGRCD,7,7,7,7
12/31/1890,IDGRCD,7,7,6.5,6.5
12/31/1891,IDGRCD,6.5,6.5,6.5,6.5
12/31/1892,IDGRCD,6.5,6.5,6.5,6.5
12/31/1893,IDGRCD,6.5,6.5,6.5,6.5
12/31/1894,IDGRCD,6.5,6.5,6.5,6.5
12/31/1895,IDGRCD,6.5,6.5,6.5,6.5
12/31/1896,IDGRCD,6.5,6.5,6.5,6.5
12/31/1897,IDGRCD,6.5,6.5,6.5,6.5
12/31/1898,IDGRCD,6.5,6.5,6,6
12/31/1899,IDGRCD,6,6,6,6
12/31/1900,IDGRCD,6,6,6,6
12/31/1901,IDGRCD,6,6,6,6
12/31/1902,IDGRCD,6.5,6.5,6.5,6.5
12/31/1903,IDGRCD,6.5,6.5,6.5,6.5
12/31/1904,IDGRCD,6.5,6.5,6.5,6.5
12/31/1905,IDGRCD,6.5,6.5,6.5,6.5
12/31/1906,IDGRCD,6.5,6.5,6.5,6.5
12/31/1907,IDGRCD,6.5,6.5,6.5,6.5
12/31/1908,IDGRCD,6.5,6.5,5.5,5.5
12/31/1909,IDGRCD,5.5,5.5,5.5,5.5
12/31/1910,IDGRCD,6,6,6,6
12/31/1911,IDGRCD,6,6,6,6
12/31/1912,IDGRCD,6,6,6,6
12/31/1913,IDGRCD,6,6,6,6
12/31/1914,IDGRCD,6,8,6,6.5
12/31/1915,IDGRCD,6.5,6.5,6.5,6.5
12/31/1916,IDGRCD,6.5,6.5,6,6
