Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDITAD,Bank of Italy Discount Rate,Central Bank Interest Rates,Italy Lira (Euro from 01/01/1999),Italy,,,,,,,Percent per Annum,Units,Stock,none,Annual From Dec 1861 To Dec 1867<BR>Monthly From Jan 1868 To Jan 1885<BR>Weekly From Jan 1885 To Jun 1914<BR>Monthly From Jul 1914 To Dec 1998<BR>Daily From Jan 1999 To Dec 2001<BR>,"Sources: Annuario Estadistico Italiano (1881-1918), League of Nations (1919-45), Banca d'Italia, Bollettino Statistico (1946-)",
Date,Ticker,Open,High,Low,Close
12/31/1861,IDITAD,5.35,5.35,5.35,5.35
12/31/1862,IDITAD,5.08,5.08,5.08,5.08
12/31/1863,IDITAD,5.71,5.71,5.71,5.71
12/31/1864,IDITAD,7.87,7.87,7.87,7.87
12/31/1865,IDITAD,5.42,5.42,5.42,5.42
12/31/1866,IDITAD,6.08,6.08,6.08,6.08
12/31/1867,IDITAD,5,5,5,5
12/31/1868,IDITAD,5,5,5,5
12/31/1869,IDITAD,5,5,5,5
12/31/1870,IDITAD,5,5.5,5,5
12/31/1871,IDITAD,5,5,5,5
12/31/1872,IDITAD,5,5,5,5
12/31/1873,IDITAD,5,5,5,5
12/31/1874,IDITAD,5,5,5,5
12/31/1875,IDITAD,5,5,5,5
12/31/1876,IDITAD,5,5,5,5
12/31/1877,IDITAD,5,5,5,5
12/31/1878,IDITAD,5,5,4.5,4.5
12/31/1879,IDITAD,4.5,4.5,4.5,4.5
12/31/1880,IDITAD,4.5,4.5,4.5,4.5
12/31/1881,IDITAD,4.5,6,4.5,6
12/31/1882,IDITAD,5,5,5,5
12/31/1883,IDITAD,5,5,5,5
12/31/1884,IDITAD,4.5,5,4,5
12/31/1885,IDITAD,5,6,3,5
12/31/1886,IDITAD,5,5.5,4.5,5.5
12/31/1887,IDITAD,5.5,5.5,5.5,5.5
12/31/1888,IDITAD,5.5,5.5,5.5,5.5
12/31/1889,IDITAD,5.5,6,5,6
12/31/1890,IDITAD,6,6,6,6
12/31/1891,IDITAD,6,6,5.25,5.5
12/31/1892,IDITAD,5.5,5.5,5.5,5.5
12/31/1893,IDITAD,5.5,6,0.5,6
12/31/1894,IDITAD,6,6,4,5
12/31/1895,IDITAD,5,5.5,5,5
12/31/1896,IDITAD,5,5,5,5
12/31/1897,IDITAD,5,5,5,5
12/31/1898,IDITAD,5,5,5,5
12/31/1899,IDITAD,5,5,5,5
12/31/1900,IDITAD,5,5,5,5
12/31/1901,IDITAD,5,5,5,5
12/31/1902,IDITAD,5,5,5,5
12/31/1903,IDITAD,5,5,5,5
12/31/1904,IDITAD,5,5.5,5,5
12/31/1905,IDITAD,5,5,3.5,5
12/31/1906,IDITAD,5,5,5,5
12/31/1907,IDITAD,5,5.5,5,5.5
12/31/1908,IDITAD,5.5,5.5,5,5
12/31/1909,IDITAD,5,5,5,5
12/31/1910,IDITAD,5,5.5,5,5.5
12/31/1911,IDITAD,5.5,5.5,5,5.5
12/31/1912,IDITAD,5.5,6,5.5,6
12/31/1913,IDITAD,6,6,5.5,6
12/31/1914,IDITAD,6,6,5,5.5
12/31/1915,IDITAD,5.5,5.5,5.5,5.5
12/31/1916,IDITAD,5.5,5.5,5,5
12/31/1917,IDITAD,5,5.5,5,5.5
12/31/1918,IDITAD,5,5,5,5
12/31/1919,IDITAD,5,5,5,5
12/31/1920,IDITAD,5,6,5,6
12/31/1921,IDITAD,6,6,6,6
12/31/1922,IDITAD,6,6,5.5,5.5
12/31/1923,IDITAD,5.5,5.5,5.5,5.5
12/31/1924,IDITAD,5.5,5.5,5.5,5.5
12/31/1925,IDITAD,5.5,7,5.5,7
12/31/1926,IDITAD,7,7,7,7
12/31/1927,IDITAD,7,7,7,7
12/31/1928,IDITAD,7,7,5.5,5.5
12/31/1929,IDITAD,5.5,7,5.5,7
12/31/1930,IDITAD,7,7,5.5,5.5
12/31/1931,IDITAD,5.5,7,5.5,7
12/31/1932,IDITAD,7,7,5,5
12/31/1933,IDITAD,5,5,3.5,3.5
12/31/1934,IDITAD,3,4,3,4
12/31/1935,IDITAD,4,5,3.5,5
12/31/1936,IDITAD,5,5,4.5,4.5
12/31/1937,IDITAD,4.5,4.5,4.5,4.5
12/31/1938,IDITAD,4.5,4.5,4.5,4.5
12/31/1939,IDITAD,4.5,4.5,4.5,4.5
12/31/1940,IDITAD,4.5,4.5,4.5,4.5
12/31/1941,IDITAD,4.5,4.5,4.5,4.5
12/31/1942,IDITAD,4.5,4.5,4.5,4.5
12/31/1943,IDITAD,4.5,4.5,4.5,4.5
12/31/1944,IDITAD,4.5,4.5,4,4
12/31/1945,IDITAD,4,4,4,4
12/31/1946,IDITAD,4,4,4,4
12/31/1947,IDITAD,4,5.5,4,5.5
12/31/1948,IDITAD,5.5,5.5,5.5,5.5
12/31/1949,IDITAD,5.5,5.5,4.5,4.5
12/31/1950,IDITAD,4.5,4.5,4,4
12/31/1951,IDITAD,4,4,4,4
12/31/1952,IDITAD,4,4,4,4
12/31/1953,IDITAD,4,4,4,4
12/31/1954,IDITAD,4,4,4,4
12/31/1955,IDITAD,4,4,4,4
12/31/1956,IDITAD,4,4,4,4
12/31/1957,IDITAD,4,4,4,4
12/31/1958,IDITAD,4,4,3.5,3.5
12/31/1959,IDITAD,3.5,3.5,3.5,3.5
12/31/1960,IDITAD,3.5,3.5,3.5,3.5
12/31/1961,IDITAD,3.5,3.5,3.5,3.5
12/31/1962,IDITAD,3.5,3.5,3.5,3.5
12/31/1963,IDITAD,3.5,3.5,3.5,3.5
12/31/1964,IDITAD,3.5,3.5,3.5,3.5
12/31/1965,IDITAD,3.5,3.5,3.5,3.5
12/31/1966,IDITAD,3.5,3.5,3.5,3.5
12/31/1967,IDITAD,3.5,3.5,3.5,3.5
12/31/1968,IDITAD,3.5,3.5,3.5,3.5
12/31/1969,IDITAD,3.5,4,3.5,4
12/31/1970,IDITAD,5,5.5,4,5.5
12/31/1971,IDITAD,5.5,5.5,4.5,4.5
12/31/1972,IDITAD,4.5,4.5,4,4
12/31/1973,IDITAD,4,6.5,4,6.5
12/31/1974,IDITAD,6.5,9,6.5,8
12/31/1975,IDITAD,8,8,6,6
12/31/1976,IDITAD,6,15,6,15
12/31/1977,IDITAD,15,15,11.5,11.5
