Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDNLDBD,Netherlands Bank Discount Rate on Bills of Exchange,Central Bank Interest Rates,Netherlands Guilder (Euro from 01/01/1999),Netherlands,,,,,,,Percent per Annum,Units,Stock,none,Annual From Dec 1596 To Jan 1814<BR>Monthly From Feb 1814 To Jan 1870<BR>Weekly From Jan 1870 To Aug 1914<BR>Monthly From Aug 1914 To Jun 1985<BR>Daily From Jul 1985 To Dec 1993<BR>,"Sources: William Sumner (ed.), A History of Banking, NY: Journal of Commerce, 1896, Vol. IV, pp. 241, 309, (1814-1894) The Economist (1894-1918), League of Nations (1919-45), Netherlands Bank, Quarterly Bulletin and Central Bureau of Statistics, Maandschrift (1946-)<br />Data from 1596 to 1620 is the annual average interest rate on IOUs issued by Amsterdam merchants from Oscar Gelderblom and Joost Joncker, Completing a Financial Revolution: The Finance of Dutch East India Trade and the Rise of the Amsterdam Capital Market, 1595-1612, Journal of Economic History, 64:3 (September 2004)",
Date,Ticker,Open,High,Low,Close
12/31/1596,IDNLDBD,8,8,8,8
12/31/1597,IDNLDBD,8.14,8.14,8.14,8.14
12/31/1598,IDNLDBD,7.8,7.8,7.8,7.8
12/31/1599,IDNLDBD,8,8,8,8
12/31/1600,IDNLDBD,8.01,8.01,8.01,8.01
12/31/1601,IDNLDBD,7.95,7.95,7.95,7.95
12/31/1602,IDNLDBD,7.97,7.97,7.97,7.97
12/31/1603,IDNLDBD,7.82,7.82,7.82,7.82
12/31/1604,IDNLDBD,7.6,7.6,7.6,7.6
12/31/1605,IDNLDBD,7.43,7.43,7.43,7.43
12/31/1606,IDNLDBD,7.07,7.07,7.07,7.07
12/31/1607,IDNLDBD,6.84,6.84,6.84,6.84
12/31/1608,IDNLDBD,6.25,6.25,6.25,6.25
12/31/1609,IDNLDBD,6.9,6.9,6.9,6.9
12/31/1610,IDNLDBD,6.59,6.59,6.59,6.59
12/31/1611,IDNLDBD,6.71,6.71,6.71,6.71
12/31/1612,IDNLDBD,6.66,6.66,6.66,6.66
12/31/1613,IDNLDBD,6.77,6.77,6.77,6.77
12/31/1614,IDNLDBD,6.69,6.69,6.69,6.69
12/31/1615,IDNLDBD,6.22,6.22,6.22,6.22
12/31/1616,IDNLDBD,6.5,6.5,6.5,6.5
12/31/1617,IDNLDBD,6.55,6.55,6.55,6.55
12/31/1618,IDNLDBD,6,6,6,6
12/31/1619,IDNLDBD,5.39,5.39,5.39,5.39
12/31/1620,IDNLDBD,5.34,5.34,5.34,5.34
12/31/1814,IDNLDBD,4,4,4,4
12/31/1815,IDNLDBD,4,4,3,3
12/31/1816,IDNLDBD,3,3,3,3
12/31/1817,IDNLDBD,3,5,3,4.25
12/31/1818,IDNLDBD,4,5,3.5,5
12/31/1819,IDNLDBD,5,5,3,3
12/31/1820,IDNLDBD,3,3,3,3
12/31/1821,IDNLDBD,3,3,3,3
12/31/1822,IDNLDBD,3,3,3,3
12/31/1823,IDNLDBD,3,5,3,4
12/31/1824,IDNLDBD,4,4,3,3
12/31/1825,IDNLDBD,3,5,3,5
12/31/1826,IDNLDBD,5,5,3.5,3.5
12/31/1827,IDNLDBD,3.5,3.5,3.5,3.5
12/31/1828,IDNLDBD,3.5,3.5,1.5,1.5
12/31/1829,IDNLDBD,2.5,2.5,2,2
12/31/1830,IDNLDBD,2,5,2,4
12/31/1831,IDNLDBD,3,3,3,3
12/31/1832,IDNLDBD,3,3,2,2
12/31/1833,IDNLDBD,2,2,2,2
12/31/1834,IDNLDBD,2,2,2,2
12/31/1835,IDNLDBD,2,2,2,2
12/31/1836,IDNLDBD,2,5,2,5
12/31/1837,IDNLDBD,5,5,3,3
12/31/1838,IDNLDBD,2.5,2.5,2.5,2.5
12/31/1839,IDNLDBD,2.5,5,2.5,5
12/31/1840,IDNLDBD,3.5,3.5,2.5,3
12/31/1841,IDNLDBD,3,3,3,3
12/31/1842,IDNLDBD,3,3,2.5,2.5
12/31/1843,IDNLDBD,2.5,2.5,2.5,2.5
12/31/1844,IDNLDBD,2.5,2.5,2.5,2.5
12/31/1845,IDNLDBD,2.5,5.5,2.5,5.5
12/31/1846,IDNLDBD,5.5,5.5,4,4
12/31/1847,IDNLDBD,4,5,4,5
12/31/1848,IDNLDBD,4,5,3,3
12/31/1849,IDNLDBD,3,3,2.5,2.5
12/31/1850,IDNLDBD,2.5,2.5,2,2
12/31/1851,IDNLDBD,2,2,2,2
12/31/1852,IDNLDBD,2,2,2,2
12/31/1853,IDNLDBD,2,3,2,3
12/31/1854,IDNLDBD,3,3,3,3
12/31/1855,IDNLDBD,3,4,3,4
12/31/1856,IDNLDBD,4,5.5,4,5.5
12/31/1857,IDNLDBD,5,7,4,7
12/31/1858,IDNLDBD,5,5,3,3
12/31/1859,IDNLDBD,3,3,3,3
12/31/1860,IDNLDBD,3,3,3,3
12/31/1861,IDNLDBD,3,4,3,4
12/31/1862,IDNLDBD,3.5,4,3.5,4
12/31/1863,IDNLDBD,4,5,3,5
12/31/1864,IDNLDBD,5,7,4.5,5.5
12/31/1865,IDNLDBD,5,6,3,6
12/31/1866,IDNLDBD,6.5,7,4.5,4.5
12/31/1867,IDNLDBD,4,4,2.5,3.5
