Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDNORD,Bank of Norway Discount Rate,Central Bank Interest Rates,Europe Euro,Norway,,,,,,,Percent per Annum,Units,Stock,none,Daily From Oct 1818 To Jun 1984<BR>,"Sources: National Bank of Norway, Annual Report (1818-1919), League of Nations (1920-45), Norges Bank, Economic Bulletin (1946-)",
Date,Ticker,Open,High,Low,Close
12/31/1818,IDNORD,8,8,8,8
12/31/1819,IDNORD,8,8,8,8
12/31/1820,IDNORD,8,8,8,8
12/31/1821,IDNORD,8,8,8,8
12/31/1822,IDNORD,8,8,8,8
12/31/1823,IDNORD,8,8,7,7
12/31/1824,IDNORD,7,7,7,7
12/31/1825,IDNORD,7,7,6,6
12/31/1826,IDNORD,6,6,6,6
12/31/1827,IDNORD,6,6,6,6
12/31/1828,IDNORD,6,6,6,6
12/31/1829,IDNORD,6,6,6,6
12/31/1830,IDNORD,6,6,6,6
12/31/1831,IDNORD,6,6,6,6
12/31/1832,IDNORD,6,6,6,6
12/31/1833,IDNORD,6,6,6,6
12/31/1834,IDNORD,6,6,6,6
12/31/1835,IDNORD,6,6,6,6
12/31/1836,IDNORD,6,6,6,6
12/31/1837,IDNORD,6,6,6,6
12/31/1838,IDNORD,6,6,6,6
12/31/1839,IDNORD,6,6,6,6
12/31/1840,IDNORD,6,6,6,6
12/31/1841,IDNORD,6,6,6,6
12/31/1842,IDNORD,6,6,6,6
12/31/1843,IDNORD,6,6,5,5
12/31/1844,IDNORD,5,5,5,5
12/31/1845,IDNORD,5,5,5,5
12/31/1846,IDNORD,5,5,5,5
12/31/1847,IDNORD,5,5,5,5
12/31/1848,IDNORD,5,6,5,6
12/31/1849,IDNORD,6,6,6,6
12/31/1850,IDNORD,6,6,5,5
12/31/1851,IDNORD,5,5,4.5,4.5
12/31/1852,IDNORD,4.5,5,4.5,5
12/31/1853,IDNORD,5,6,4,4
12/31/1854,IDNORD,4,5,4,4
12/31/1855,IDNORD,4,6,4,6
12/31/1856,IDNORD,6,6,5,6
12/31/1857,IDNORD,6,6,6,6
12/31/1858,IDNORD,6,7,4,4
12/31/1859,IDNORD,4,6,4,6
12/31/1860,IDNORD,6,6,5,6
12/31/1861,IDNORD,6,6,5,6
12/31/1862,IDNORD,6,6,5,5
12/31/1863,IDNORD,5,6,5,6
12/31/1864,IDNORD,6,7,6,6
12/31/1865,IDNORD,6,6,4,4
12/31/1866,IDNORD,4,7,4,6
12/31/1867,IDNORD,6,6,4,4
12/31/1868,IDNORD,4,6,4,5
12/31/1869,IDNORD,5,5,4.5,4.5
12/31/1870,IDNORD,4.5,5,4.5,4.5
12/31/1871,IDNORD,4.5,4.5,3.5,3.5
12/31/1872,IDNORD,3.5,3.5,3.5,3.5
12/31/1873,IDNORD,3.5,5,3.5,5
12/31/1874,IDNORD,5,5,4.5,5
12/31/1875,IDNORD,5,7,5,7
12/31/1876,IDNORD,7,7,4.5,4.5
12/31/1877,IDNORD,4.5,7,4.5,7
12/31/1878,IDNORD,7,7,6,6
12/31/1879,IDNORD,6,6,4.5,4.5
12/31/1880,IDNORD,4.5,4.5,4,4
12/31/1881,IDNORD,4,4.5,3.5,4.5
12/31/1882,IDNORD,4.5,5,4.5,4.5
12/31/1883,IDNORD,4.5,4.5,4.5,4.5
12/31/1884,IDNORD,4.5,4.5,4.5,4.5
12/31/1885,IDNORD,4.5,4.5,4.5,4.5
12/31/1886,IDNORD,4.5,4.5,4.5,4.5
12/31/1887,IDNORD,4.5,4.5,3.5,3.5
12/31/1888,IDNORD,3.5,3.5,3.5,3.5
12/31/1889,IDNORD,3.5,3.5,3,3
12/31/1890,IDNORD,3,4.5,3,4.5
12/31/1891,IDNORD,4.5,6,4,6
12/31/1892,IDNORD,6,6,5,5
12/31/1893,IDNORD,5,5,5,5
12/31/1894,IDNORD,5,5,4,4
12/31/1895,IDNORD,4,4,3.5,3.5
12/31/1896,IDNORD,3.5,5,3.5,5
12/31/1897,IDNORD,5,5,4.5,4.5
12/31/1898,IDNORD,4.5,5.5,4,5.5
12/31/1899,IDNORD,5.5,6.5,5,6.5
12/31/1900,IDNORD,6.5,6.5,6.5,6.5
12/31/1901,IDNORD,6.5,6.5,5,5
12/31/1902,IDNORD,5,5,4.5,5
12/31/1903,IDNORD,5,5.5,5,5
12/31/1904,IDNORD,5,5,4.5,5
12/31/1905,IDNORD,5,5.5,4.5,5.5
12/31/1906,IDNORD,5.5,5.5,5,5.5
12/31/1907,IDNORD,5.5,6,5,6
12/31/1908,IDNORD,6,6,5,5
12/31/1909,IDNORD,5,5,4.5,4.5
12/31/1910,IDNORD,4.5,4.5,4.5,4.5
12/31/1911,IDNORD,4.5,5,4.5,5
12/31/1912,IDNORD,5,5.5,5,5.5
12/31/1913,IDNORD,5.5,5.5,5.5,5.5
12/31/1914,IDNORD,5.5,6.5,4.5,5.5
12/31/1915,IDNORD,5.5,5.5,5,5.5
12/31/1916,IDNORD,5.5,5.5,4.5,5.5
12/31/1917,IDNORD,5.5,6,5.5,6
12/31/1918,IDNORD,6,6,6,6
12/31/1919,IDNORD,6,6,5.5,6
