Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDSWED,Sweden Riksbank Reference Rate,Central Bank Interest Rates,Sweden Krona,Sweden,,,,,,,Percent per Annum,Units,Stock,none,Daily From Nov 1856 To Feb 2022<BR>,"Sources: Sveriges Riksbank, Arsbok and Quarterly Review, Stockholm (1856-)<br />The reference rate is equivalent to the repo rate that applied immediately prior to the calendar half-year during which the reference rate is to apply. If the repo rate is not a whole or half number, the reference rate is rounded up to the nearest half a percentage point. The reference rate replaces the former discount rate, which was set by the Swedish National Debt Office.<br />Who sets the reference rates and on what basis?<br />The reference rate is set by the Riksbank at six-monthly intervals and is based on the repo rate applying at the end of the previous six-month period, rounded up to the nearest whole or half percentage point.<br />Where does the definition come from?<br />The definition is from an EC Directive on combating late payments to prevent delays in the settlement of business transactions.<br />How was the discount rate calculated?<br />The discount rate was based on the average of the 6-month rate and 5-year rate (fixing) during the previous quarter, with a deduction of 2.5 per cent.<br />What is the difference between the reference rate and the discount rate?<br />The discount rate reflected the development of both short and long rates with a deduction of 2.5 percentage points. The reference rate, on the other hand, reflects only the short rates.<br />Is there a difference in the level of the rates?<br />If you look back in time, the reference rate would have been just over 2 percentage points higher than the discount rate. The discount rate for the third quarter of 2002 would have been 2.5 per cent, which gives a difference of 2 percentage points.<br />Is this always the case?<br />It depends on the development of the long rates. As the reference rate only reflects the short rate, the hypothetical difference between it and the discount rate can vary if the long rates develop in a different way from the short rates.",
Date,Ticker,Open,High,Low,Close
12/31/1856,IDSWED,5,5,5,5
12/31/1857,IDSWED,5,5,5,5
12/31/1858,IDSWED,6,6,5,5
12/31/1859,IDSWED,5,6,5,6
12/31/1860,IDSWED,6,6,6,6
12/31/1861,IDSWED,6,6,5,6
12/31/1862,IDSWED,6,6,5,6
12/31/1863,IDSWED,6,6,6,6
12/31/1864,IDSWED,6,6,6,6
12/31/1865,IDSWED,6,6,5,6
12/31/1866,IDSWED,6,7,6,6
12/31/1867,IDSWED,6,6,4.5,4.5
12/31/1868,IDSWED,4.5,5,4.5,4.5
12/31/1869,IDSWED,4.5,5,4.5,4.5
12/31/1870,IDSWED,4.5,4.5,4.5,4.5
12/31/1871,IDSWED,4.5,4.5,4,4
12/31/1872,IDSWED,4,4,4,4
12/31/1873,IDSWED,4,5.5,4,5.5
12/31/1874,IDSWED,5.5,5.5,5,5.5
12/31/1875,IDSWED,5.5,5.5,5.5,5.5
12/31/1876,IDSWED,5.5,5.5,5,5.5
12/31/1877,IDSWED,5.5,6,5,6
12/31/1878,IDSWED,6,6,5.5,6
12/31/1879,IDSWED,6,6,5,5
12/31/1880,IDSWED,5,5,4,4
12/31/1881,IDSWED,4,4,4,4
12/31/1882,IDSWED,4,4.5,4,4.5
12/31/1883,IDSWED,4.5,5,4.5,5
12/31/1884,IDSWED,5,5,4,4.5
12/31/1885,IDSWED,4.5,4.5,4.5,4.5
12/31/1886,IDSWED,4.5,4.5,4,4
12/31/1887,IDSWED,4,4,4,4
12/31/1888,IDSWED,4,4,3.5,3.5
12/31/1889,IDSWED,3.5,4,3.5,4
