Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IDGBRD,Bank of England Base Lending Rate,Central Bank Interest Rates,United Kingdom Pound,United Kingdom,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Aug 1694 To Dec 1862<BR>Weekly From Jan 1863 To Mar 1867<BR>Monthly From Apr 1867 To Jul 1870<BR>Weekly From Jul 1870 To Apr 1876<BR>Monthly From May 1876 To Sep 1968<BR>Daily From Sep 1968 To Mar 2022<BR>,"Sources: John Clapham, The Bank of England, New York: MacMillan, 1945 (1694-1800), Mitchell, British Historical Statistics, London: Cambridge (1800-1980), Bank of England, Quarterly Bulletin (1981-) <br />Notes: For the 1700s, the discount rate on foreign bills was used. The bank rate is used from 1800 to 1972. On August 20, 1981, the Bank of England stopped discounting bills. The Bank Rate is used up to 1972, the Minimum Lending Rate from 1972 to 1981, the Bank's base Rate from 1981 to 1997, and the Bank of England Operational interest rate from 1997 on.",
Date,Ticker,Open,High,Low,Close
12/31/1694,IDGBRD,4.5,6,4.5,6
12/31/1695,IDGBRD,4.5,4.5,3,3
12/31/1696,IDGBRD,3,3,3,3
12/31/1697,IDGBRD,3,3,3,3
12/31/1698,IDGBRD,3,3,3,3
12/31/1699,IDGBRD,3,4.5,3,4.5
12/31/1700,IDGBRD,4.5,4.5,4.5,4.5
12/31/1701,IDGBRD,4.5,4.5,4.5,4.5
12/31/1702,IDGBRD,4.5,4.5,4.5,4.5
12/31/1703,IDGBRD,4.5,4.5,4.5,4.5
12/31/1704,IDGBRD,4.5,4.5,4.5,4.5
12/31/1705,IDGBRD,4.5,4.5,4,4
12/31/1706,IDGBRD,4,4,4,4
12/31/1707,IDGBRD,4,4,4,4
12/31/1708,IDGBRD,4,4,4,4
12/31/1709,IDGBRD,4,4,4,4
12/31/1710,IDGBRD,4,5,4,5
12/31/1711,IDGBRD,5,5,5,5
12/31/1712,IDGBRD,5,5,5,5
12/31/1713,IDGBRD,5,5,5,5
12/31/1714,IDGBRD,5,5,5,5
12/31/1715,IDGBRD,5,5,5,5
12/31/1716,IDGBRD,5,5,4,4
12/31/1717,IDGBRD,4,4,4,4
12/31/1718,IDGBRD,4,4,4,4
12/31/1719,IDGBRD,4,5,4,5
12/31/1720,IDGBRD,5,5,5,5
12/31/1721,IDGBRD,5,5,5,5
12/31/1722,IDGBRD,5,5,4,4
12/31/1723,IDGBRD,4,4,4,4
12/31/1724,IDGBRD,4,4,4,4
12/31/1725,IDGBRD,4,4,4,4
12/31/1726,IDGBRD,4,4,4,4
12/31/1727,IDGBRD,4,4,4,4
12/31/1728,IDGBRD,4,4,4,4
12/31/1729,IDGBRD,4,4,4,4
12/31/1730,IDGBRD,4,4,4,4
12/31/1731,IDGBRD,4,4,4,4
12/31/1732,IDGBRD,4,4,4,4
12/31/1733,IDGBRD,4,4,4,4
12/31/1734,IDGBRD,4,4,4,4
12/31/1735,IDGBRD,4,4,4,4
12/31/1736,IDGBRD,4,4,4,4
12/31/1737,IDGBRD,4,4,4,4
12/31/1738,IDGBRD,4,4,4,4
12/31/1739,IDGBRD,4,4,4,4
12/31/1740,IDGBRD,4,4,4,4
12/31/1741,IDGBRD,4,4,4,4
12/31/1742,IDGBRD,4,4,4,4
12/31/1743,IDGBRD,4,4,4,4
12/31/1744,IDGBRD,4,4,4,4
12/31/1745,IDGBRD,4,5,4,5
12/31/1746,IDGBRD,5,5,4,4
12/31/1747,IDGBRD,4,4,4,4
