Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGAUS10D,Australia 10-year Government Bond Yield (with GFD Extension),Government Bond Yields,Australia Dollar,Australia,,,,,,,National Currency,Units,Stock,none,Monthly From Jun 1857 To Dec 1975<BR>Weekly From Jan 1976 To Sep 1983<BR>Daily From Sep 1983 To Mar 2022<BR>,"Sources: The Economist (1858-1931), D. McL. Lamberton, 'Security Prices and Yields, Part III,' Sydney Stock Exchange Official Gazette, December 15, 1958, p. 556 (1875-1925), League of Nations, Statistical Yearbook, Geneva: League of Nations (1926-45), New South Wales Statistical Register (1946-1956), Reserve Bank of Australia, Monthly Statistical Bulletin (1956-) The South Australia 6% Bond Redeemable 1884-1891 (BSSAU684-LO) is used from June 1857 to December 1859, the New South Wales 5% Bond Redeemable 1871-1876 (BSNSW571-LO) is used from January 1860 to December 1874, the South Australia 4% Bonds of 1874 Redeemable 1894-1899 (BSSAU494-LO) is used from January 1875 to December 1888, the Queensland 3.50% Inscribed Bond Redeemable 1921-1930 (BSQUN3521-LO) is used from January 1889 to December 1895, the New South Wales 3% Inscribed Bond due 1935 (BSNSW3-LO) is used from January 1896 to November 1917, the Australia 5.50% External Debt of 1917 (Redeemable 1922-1927) (BGAUS525D22-LO) is used from December 1917 to June 1922, the Australia 5% Registered Bond of 1922 (Redeemable 1935-1945) (BGAUS535-LO) is used from July 1922 to August 1933, the Australia 4% Bonds of 1933 (Redeemable 1943-1948) (BGAUS443-LO) is used from September 1933 to August 1936, the Australia 3% of 1936 (Redeemable 1955-1958) (BGAUS355-LO) is used from September 1936 to May 1945, the Australia 3.25% of 1945 (Redeemable 1965-1969) (BGAUS32565-LO) is used from June 1945 to December 1961 and the Australia 6% of 1961 (Redeemable 1981-83) (BGAUS681-LO) is used from January 1962 to November 1983.  All these bonds are traded in London.  Australia has never defaulted on any of its bonds. Sydney quotes are used beginning in July 1932 with the Australia 5% Registered Stock of 1925-29.  From January 1933 until December 1936, 4% bonds are used, and starting in January 1937, a weighted average of bonds of 10 through 1940, 12 years from 1941 to May 1959, 20 years from June 1959 through 1980, 15 years from 1981 through 1990, and 10 years since 1991 to produce the theoretical yield on a perpetual ten-year bond,Indexed bonds were first issued by Australia in July 1985 with the 4% of 2005 (all of the inflation-indexed bonds yield 4%) and this series is the basis for the data.  A bond maturing in 2010 was issued in February 1993, a bond maturing in 2015 in May 1994 and a bond maturing in 2020 in October 1996.",
Date,Ticker,Open,High,Low,Close
12/31/1857,IGAUS10D,5.66,5.66,5.607,5.607
12/31/1858,IGAUS10D,5.714,5.714,5.085,5.085
12/31/1859,IGAUS10D,5.455,5.556,5.263,5.263
12/31/1860,IGAUS10D,5.025,5.076,4.926,4.926
12/31/1861,IGAUS10D,5.102,5.128,5.025,5.102
12/31/1862,IGAUS10D,5.128,5.128,4.902,4.902
12/31/1863,IGAUS10D,5,5,4.831,4.926
12/31/1864,IGAUS10D,5.025,5.208,5,5.208
12/31/1865,IGAUS10D,5.376,5.376,5.263,5.319
12/31/1866,IGAUS10D,5.376,5.495,5.319,5.495
12/31/1867,IGAUS10D,5.464,5.464,5.051,5.051
12/31/1868,IGAUS10D,5,5,4.902,4.926
12/31/1869,IGAUS10D,5,5,4.902,4.902
12/31/1870,IGAUS10D,4.95,5.155,4.785,4.854
12/31/1871,IGAUS10D,4.975,5.025,4.808,4.808
12/31/1872,IGAUS10D,4.926,4.926,4.878,4.878
12/31/1873,IGAUS10D,4.95,4.975,4.878,4.878
12/31/1874,IGAUS10D,4.95,4.975,4.854,4.878
12/31/1875,IGAUS10D,4.444,4.444,4.205,4.205
12/31/1876,IGAUS10D,4.244,4.295,4.079,4.079
12/31/1877,IGAUS10D,4.092,4.14,4.04,4.103
12/31/1878,IGAUS10D,4.15,4.417,4.071,4.417
12/31/1879,IGAUS10D,4.327,4.327,4.061,4.222
12/31/1880,IGAUS10D,4.258,4.258,3.891,3.891
12/31/1881,IGAUS10D,4.025,4.025,3.837,3.941
12/31/1882,IGAUS10D,4.087,4.087,3.907,3.922
12/31/1883,IGAUS10D,4.01,4.051,3.951,3.97
12/31/1884,IGAUS10D,4.048,4.063,3.881,3.912
12/31/1885,IGAUS10D,3.988,4.113,3.883,3.883
12/31/1886,IGAUS10D,3.929,3.99,3.893,3.951
12/31/1887,IGAUS10D,4.015,4.092,3.874,3.922
12/31/1888,IGAUS10D,3.917,3.929,3.796,3.823
12/31/1889,IGAUS10D,3.798,3.837,3.384,3.444
12/31/1890,IGAUS10D,3.444,3.556,3.444,3.526
12/31/1891,IGAUS10D,3.558,3.804,3.531,3.791
12/31/1892,IGAUS10D,3.846,3.894,3.709,3.794
12/31/1893,IGAUS10D,3.784,4.118,3.784,4.046
12/31/1894,IGAUS10D,4,4,3.562,3.562
12/31/1895,IGAUS10D,3.571,3.608,3.349,3.357
12/31/1896,IGAUS10D,3.063,3.063,2.895,2.97
12/31/1897,IGAUS10D,2.934,2.965,2.893,2.906
12/31/1898,IGAUS10D,2.98,3.091,2.952,3.013
