Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGAUT10D,Austria 10-year Government Bond Yield (with GFD Extension),Government Bond Yields,Austria Schilling (Euro from 01/01/1999),Austria,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Sep 1788 To Dec 1979<BR>Daily From Jan 1980 To Mar 2022<BR>,"Sources: Economist (1874-1932, 1938-1954), League of Nations, Statistical Yearbook, Geneva: League of Nations (1933-1938), Oesterreicheschen Nationalbank, Mitteilungen des Direktoriums der Oesterreicheschen Nationalbank, Vienna: Oesterreicheschen Nationalbank (1957-)  <br />The Austria 4% Loan (BGAUT4B-AM) traded in Amsterdam is used from September 1788 to November 1796, the Austria 3% Imperial Loan of 1795 (BGAUT395-LO) traded in London is used from December 1796 to June 1818, the Austria 5% Bond Payable in Silver (Amsterdam SE) (BGAUT5S-AM) is used from July 1818 to September 1934, the Austria 5% Florin Bonds (BGAUT5F-LO) traded in London are used from October 1834 to April 1853, the Austria 5% Anglo Bonds of July 1852<br />(BGAUT5A-PA) traded in Paris is used from May 1853 to December 1864. The Austria 5% Florin Bonds (BGAUT5F-LO) traded in London are used from January 1865 to April 1872, the Austria 5% Silver Rentes (BGAUT5S-LO) are used from May 1872 to May 1879, the Austria 4% Gold Rentes of 1876 are used from June 1879 until December 1920 as an external bond. No data on external bonds are available between 1921 and 1923.  Internal Bond data during World War I is provided by the Austria 4% Gold Rente (BGAUT4G-WN). <br />After the Austro-Hungarian Empire collapsed after World War I, interest payments were suspended in 1919, the debt of the empire was allocated among the surviving countries.  Also, interest payments were adjusted for outstanding bonds.  Bonds in paper krone were paid at face value which because of Austria`s hyperinflation made the bonds worthless; bonds payable in Gold Krone paid 32% of the original interest rate and bonds payable in foreign currencies were paid at 27% of the original interest rate. The debt was allocated among the Austrian Monarchy as follows: Austria (976,404,600 Krone), Czechosolovakia (898,724,400K), Poland (291,396,500K), Yugoslavia (32,939,200K), Romania (4,995,300K) and Italy (24,991,800K) with unsecured debt allocated 41.7% to Czechoslovakia, 36,827% to Austria, 13.733% to Poland, 4.087% to Italy, 2.043% to Yugoslavia and 1.61% to Romania.<br />The Austria 7% Bonds of 1923 due 1943 (BGAUT743) traded in New York is used from July to September 1923 and the Austria 6% Redeemable Loan of 1922 (BGAUT6-LO) which traded in London is used from October 1923 to November 1934, the Austria 4.5% Guaranteed Sterling Bond of 1934 (Redeemable 1959) (BGAUT4534-LO) is used from December 1934 to December 1957 and the Austria 4.50% Assented Bonds due 1980 (formerly 7% of 1930) (BGAUT4580) which traded in New York is used from January 1958 to December 1972.<br />The yield on Austrian government bonds traded in Zurich is used from 1964 through 1970. An index of all government bonds of more than one year, issued and not redeemed, is used beginning in 1971 to 1979 and a 10-year bond beginning in 1980.<br />Until 1872, Austrian bonds were denominated in either paper Florins or in Silver and depreciated as Austrian inflation increased.  Austria suspended payment on foreign bonds during World War I and provided reduced payments on bonds between 1939 and 1948, but renegotiated the bonds after each war. Internal bonds paid interest during the war, but inflation significantly reduced the value of the bonds.",
Date,Ticker,Open,High,Low,Close
12/31/1788,IGAUT10D,4.167,4.167,4.124,4.124
12/31/1789,IGAUT10D,4.124,4.233,4.103,4.233
12/31/1790,IGAUT10D,4.267,4.348,4.178,4.178
12/31/1791,IGAUT10D,4.103,4.145,3.98,3.98
12/31/1792,IGAUT10D,3.99,4.255,3.985,4.255
12/31/1793,IGAUT10D,4.255,4.396,4.188,4.348
12/31/1794,IGAUT10D,4.571,5.755,4.42,5.634
12/31/1795,IGAUT10D,5.634,5.634,4.969,4.969
12/31/1796,IGAUT10D,4.969,6.504,4.969,5.797
12/31/1797,IGAUT10D,5.581,6.742,5.581,6.742
12/31/1798,IGAUT10D,6.761,6.761,5.021,5.882
12/31/1799,IGAUT10D,5.868,5.868,4.42,5.01
12/31/1800,IGAUT10D,5.053,5.053,4.607,4.959
12/31/1801,IGAUT10D,5.263,5.43,4.428,4.52
12/31/1802,IGAUT10D,4.453,4.598,4.04,4.248
12/31/1803,IGAUT10D,4.301,5.868,4.24,5.621
12/31/1804,IGAUT10D,5.418,5.568,5.24,5.275
12/31/1805,IGAUT10D,4.959,5.357,4.959,5.128
12/31/1806,IGAUT10D,4.959,5.172,4.743,5.172
12/31/1807,IGAUT10D,4.868,4.868,4.79,4.81
12/31/1808,IGAUT10D,4.743,4.743,4.444,4.651
12/31/1809,IGAUT10D,4.412,4.537,4.388,4.388
12/31/1810,IGAUT10D,4.453,4.669,4.364,4.669
12/31/1811,IGAUT10D,4.589,4.948,4.589,4.948
12/31/1812,IGAUT10D,4.858,5.53,4.858,5.117
12/31/1813,IGAUT10D,5.128,5.393,5.085,5.085
12/31/1814,IGAUT10D,4.898,4.898,4.332,4.762
12/31/1815,IGAUT10D,4.706,5.66,4.706,5.217
12/31/1816,IGAUT10D,5.139,5.139,4.858,4.908
12/31/1817,IGAUT10D,4.8,4.8,3.653,3.692
12/31/1818,IGAUT10D,3.791,7.968,3.75,7.782
12/31/1819,IGAUT10D,7.692,7.722,7.246,7.353
12/31/1820,IGAUT10D,7.117,7.353,6.711,7.194
12/31/1821,IGAUT10D,7.22,7.22,6.78,7.092
12/31/1822,IGAUT10D,6.897,7.018,6.231,6.329
12/31/1823,IGAUT10D,6.601,6.711,6.289,6.329
12/31/1824,IGAUT10D,6.154,6.154,5.208,5.45
12/31/1825,IGAUT10D,5.42,5.65,5.362,5.65
12/31/1826,IGAUT10D,5.634,6.061,5.634,5.9
12/31/1827,IGAUT10D,5.9,5.9,5.666,5.764
12/31/1828,IGAUT10D,5.797,5.848,5.384,5.384
12/31/1829,IGAUT10D,5.348,5.348,4.963,4.963
12/31/1830,IGAUT10D,4.95,6.098,4.95,6.098
12/31/1831,IGAUT10D,5.78,6.579,5.78,6.024
12/31/1832,IGAUT10D,6.135,6.211,5.865,6.006
12/31/1833,IGAUT10D,5.865,5.865,5.362,5.376
12/31/1834,IGAUT10D,5.102,5.175,4.902,4.902
12/31/1835,IGAUT10D,4.843,4.902,4.762,4.902
12/31/1836,IGAUT10D,4.914,4.914,4.717,4.878
12/31/1837,IGAUT10D,4.762,4.831,4.739,4.768
12/31/1838,IGAUT10D,4.751,4.751,4.54,4.566
12/31/1839,IGAUT10D,4.587,4.695,4.566,4.651
12/31/1840,IGAUT10D,4.577,4.762,4.484,4.651
12/31/1841,IGAUT10D,4.587,4.657,4.535,4.545
12/31/1842,IGAUT10D,4.545,4.545,4.425,4.464
12/31/1843,IGAUT10D,4.505,4.505,4.343,4.464
12/31/1844,IGAUT10D,4.386,4.444,4.329,4.444
12/31/1845,IGAUT10D,4.367,4.505,4.274,4.505
12/31/1846,IGAUT10D,4.505,4.63,4.425,4.63
12/31/1847,IGAUT10D,4.63,4.95,4.545,4.95
12/31/1848,IGAUT10D,4.95,11.111,4.95,6.757
12/31/1849,IGAUT10D,6.289,6.623,5.525,5.714
12/31/1850,IGAUT10D,5.831,6.41,5.556,6.41
12/31/1851,IGAUT10D,6.41,6.849,6.098,6.849
12/31/1852,IGAUT10D,6.579,6.579,5.814,5.814
12/31/1853,IGAUT10D,5.634,5.747,5.025,5.362
12/31/1854,IGAUT10D,5.69,6.27,5.69,5.917
12/31/1855,IGAUT10D,6.079,6.211,5.882,6.006
12/31/1856,IGAUT10D,6.042,6.042,5.495,5.682
12/31/1857,IGAUT10D,5.727,5.848,5.525,5.626
12/31/1858,IGAUT10D,5.602,5.602,5.34,5.34
12/31/1859,IGAUT10D,5.464,6.279,5.464,5.848
12/31/1860,IGAUT10D,6.135,6.803,6.098,6.803
12/31/1861,IGAUT10D,7.168,7.326,6.873,6.95
12/31/1862,IGAUT10D,7.105,7.105,6.061,6.061
12/31/1863,IGAUT10D,6.051,6.309,5.848,6.309
12/31/1864,IGAUT10D,6.299,6.329,6.051,6.116
12/31/1865,IGAUT10D,8.264,8.547,7.692,8.503
12/31/1866,IGAUT10D,8.46,9.901,8.46,9.416
12/31/1867,IGAUT10D,9.091,10.526,8.757,10.526
12/31/1868,IGAUT10D,10.256,10.256,9.434,10
12/31/1869,IGAUT10D,9.662,10.256,9.615,10.256
12/31/1870,IGAUT10D,10.101,10.101,8.696,8.865
12/31/1871,IGAUT10D,8.489,8.651,8.251,8.251
12/31/1872,IGAUT10D,7.943,7.943,7.576,7.59
12/31/1873,IGAUT10D,7.605,7.752,7.326,7.519
12/31/1874,IGAUT10D,7.605,7.605,7.299,7.346
12/31/1875,IGAUT10D,7.353,7.678,7.299,7.519
12/31/1876,IGAUT10D,7.797,9.434,7.797,9.259
12/31/1877,IGAUT10D,9.009,9.877,8.772,8.929
12/31/1878,IGAUT10D,9.091,9.434,8.547,9.091
12/31/1879,IGAUT10D,9.346,9.346,5.624,5.714
12/31/1880,IGAUT10D,5.369,5.442,5.229,5.289
12/31/1881,IGAUT10D,5.298,5.298,4.852,5.063
12/31/1882,IGAUT10D,5.161,5.161,5,5
12/31/1883,IGAUT10D,4.878,4.878,4.651,4.819
