Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGBEL10D,Belgium 10-year Government Bond Yield (With GFD Extension),Government Bond Yields,Belgium Franc (Euro from 01/01/1999),Belgium,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Dec 1831 To May 1987<BR>Daily From Jun 1987 To Mar 2022<BR>,"Sources: The Times, London (1832-1844), The Economist and Banker`s Magazine (1845-1898), Sidney Homer, A History of Interest Rates, Princeton: Rutgers, 1963 (1959-1910), INSEE, Bulletin Mensual Statistique, Paris: INSEE (1911-25), League of Nations, Statistical Yearbook, Geneva: League of Nations (1926-1945), Banque National de Belge, Bulletin (1946-) <br />Notes: When Belgium separated from the Netherlands in 1832, one-third of the Dutch national debt was transferred to Belgium and Belgium began issuing its own bonds. The Belgium 5% Rentes (BGBEL5-LO) are used from December 1831 to December 1844, the Belgium 4.5% Rentes (BGBEL45-LO) are used from January 1845 to March 1874, the Belgium 3% Bonds of 1874 (BGBEL374-LO) as traded in London are used from April 1874 to December 1890, the Belgium 3% Bonds of 1838 (BGBEL3-PA) as traded in Paris are used from January 1891 to December 1910, the Belgium 3% Loan of 1914 (Redeemable 1940) (BGBEL314-LO) is used from January 1911 to December 1929, the Belgium 7% External Bonds of 1925 due 1955 (BGBEL755) as traded in New York is used from January 1930 to December 1936, and the Belgian 4% Bonds of 1936 (Redeemable 1970) (BGBEL436-LO) are used from January 1937 to November 1965.<br />Belgian yields are available beginning in July 1930 using the 3% bond. No data are available from May through July 1940 and from September 1944 through May 1945 due to war and occupation.  The 4% Belgian unified debt bond series begins in January 1939.  No data are available for May through July 1940.  Beginning in 1957, the series is for bonds with a maturity of 5-20 years, in 1964 for bonds issued after 1962 with a maturity of 5-20 years, from 1968 for bonds with a maturity over 5 years, and beginning in 1987, 10-year bonds.",
Date,Ticker,Open,High,Low,Close
12/31/1831,IGBEL10D,6.515,6.515,6.515,6.515
12/31/1832,IGBEL10D,6.803,7.018,6.431,6.579
12/31/1833,IGBEL10D,6.309,6.309,5.155,5.195
12/31/1834,IGBEL10D,5.168,5.168,4.92,5.089
12/31/1835,IGBEL10D,5.019,5.063,4.762,4.981
12/31/1836,IGBEL10D,4.902,5.013,4.796,4.95
12/31/1837,IGBEL10D,4.878,5,4.808,4.988
12/31/1838,IGBEL10D,4.95,5.025,4.796,5.025
12/31/1839,IGBEL10D,5.038,5.038,4.831,4.938
12/31/1840,IGBEL10D,4.854,5.155,4.717,5.102
12/31/1841,IGBEL10D,5.075,5.128,4.831,5.128
12/31/1842,IGBEL10D,4.866,4.902,4.785,4.878
12/31/1843,IGBEL10D,4.854,4.902,4.739,4.831
12/31/1844,IGBEL10D,4.717,4.89,4.684,4.89
12/31/1845,IGBEL10D,4.412,4.749,4.412,4.675
12/31/1846,IGBEL10D,4.615,4.737,4.557,4.724
12/31/1847,IGBEL10D,4.787,5.114,4.712,5.085
12/31/1848,IGBEL10D,4.945,7.826,4.945,5.882
12/31/1849,IGBEL10D,5.651,5.651,4.918,5.114
12/31/1850,IGBEL10D,5,5.187,4.891,4.972
12/31/1851,IGBEL10D,4.972,5.056,4.762,4.813
12/31/1852,IGBEL10D,4.911,4.986,4.5,4.557
12/31/1853,IGBEL10D,4.557,4.706,4.478,4.657
12/31/1854,IGBEL10D,5.056,5.357,4.787,4.972
12/31/1855,IGBEL10D,4.787,4.891,4.749,4.878
12/31/1856,IGBEL10D,4.762,4.762,4.569,4.663
12/31/1857,IGBEL10D,4.58,4.688,4.475,4.663
12/31/1858,IGBEL10D,4.663,4.663,4.455,4.489
12/31/1859,IGBEL10D,4.569,5.143,4.506,4.545
12/31/1860,IGBEL10D,4.569,4.712,4.545,4.592
12/31/1861,IGBEL10D,4.633,4.639,4.478,4.627
12/31/1862,IGBEL10D,4.545,4.639,4.5,4.523
12/31/1863,IGBEL10D,4.523,4.627,4.523,4.627
12/31/1864,IGBEL10D,4.545,4.615,4.511,4.58
12/31/1865,IGBEL10D,4.58,4.639,4.5,4.592
12/31/1866,IGBEL10D,4.569,4.775,4.523,4.592
12/31/1867,IGBEL10D,4.592,4.615,4.455,4.569
12/31/1868,IGBEL10D,4.467,4.972,4.467,4.478
12/31/1869,IGBEL10D,4.412,4.478,4.39,4.412
12/31/1870,IGBEL10D,4.412,4.592,4.412,4.545
12/31/1871,IGBEL10D,4.39,4.5,4.369,4.5
12/31/1872,IGBEL10D,4.433,4.5,4.433,4.455
12/31/1873,IGBEL10D,4.455,4.5,4.455,4.5
12/31/1874,IGBEL10D,4.5,4.5,4.054,4.11
12/31/1875,IGBEL10D,4.11,4.11,4.013,4.11
12/31/1876,IGBEL10D,4.11,4.11,4,4.082
12/31/1877,IGBEL10D,4.054,4.286,3.922,3.922
12/31/1878,IGBEL10D,3.922,3.922,3.922,3.922
12/31/1879,IGBEL10D,3.922,3.922,3.636,3.681
12/31/1880,IGBEL10D,3.614,3.614,3.529,3.571
12/31/1881,IGBEL10D,3.55,3.55,3.488,3.488
12/31/1882,IGBEL10D,3.509,3.659,3.509,3.636
12/31/1883,IGBEL10D,3.659,3.659,3.636,3.659
12/31/1884,IGBEL10D,3.659,3.659,3.55,3.571
12/31/1885,IGBEL10D,3.571,3.571,3.297,3.333
12/31/1886,IGBEL10D,3.297,3.297,3.125,3.226
12/31/1887,IGBEL10D,3.226,3.297,3.226,3.261
12/31/1888,IGBEL10D,3.297,3.297,3.226,3.261
12/31/1889,IGBEL10D,3.226,3.226,3.191,3.226
12/31/1890,IGBEL10D,3.158,3.158,3.061,3.093
12/31/1891,IGBEL10D,3.035,3.035,2.99,2.99
12/31/1892,IGBEL10D,2.941,2.976,2.934,2.956
12/31/1893,IGBEL10D,2.959,2.959,2.901,2.938
12/31/1894,IGBEL10D,2.944,2.975,2.911,2.951
12/31/1895,IGBEL10D,2.99,2.99,2.921,2.95
12/31/1896,IGBEL10D,2.935,2.953,2.916,2.946
12/31/1897,IGBEL10D,2.943,2.976,2.923,2.976
12/31/1898,IGBEL10D,2.97,3.046,2.935,3.043
12/31/1899,IGBEL10D,3.069,3.132,3.053,3.066
12/31/1900,IGBEL10D,3.075,3.102,2.956,2.992
12/31/1901,IGBEL10D,2.968,2.988,2.938,2.988
12/31/1902,IGBEL10D,2.964,2.989,2.946,2.978
12/31/1903,IGBEL10D,2.99,3.012,2.985,2.993
12/31/1904,IGBEL10D,2.973,3.114,2.973,3.114
12/31/1905,IGBEL10D,2.937,2.991,2.937,2.972
12/31/1906,IGBEL10D,2.991,3,2.948,2.997
12/31/1907,IGBEL10D,2.988,3.114,2.98,3.114
12/31/1908,IGBEL10D,3.101,3.106,3.061,3.061
12/31/1909,IGBEL10D,3.063,3.175,3.06,3.122
12/31/1910,IGBEL10D,3.106,3.217,3.106,3.191
12/31/1911,IGBEL10D,3.264,3.427,3.264,3.39
12/31/1912,IGBEL10D,3.392,3.805,3.392,3.805
12/31/1913,IGBEL10D,3.795,4.065,3.795,3.927
12/31/1914,IGBEL10D,3.916,4.839,3.859,4.839
12/31/1915,IGBEL10D,4.412,5.505,4.412,5.505
12/31/1916,IGBEL10D,5.357,5.357,4.478,5
12/31/1917,IGBEL10D,4.8,5,4.724,4.918
12/31/1918,IGBEL10D,4.688,4.8,4.167,4.167
12/31/1919,IGBEL10D,4.167,5.357,4.167,5.357
12/31/1920,IGBEL10D,5.455,6.25,5.217,5.455
12/31/1921,IGBEL10D,5.357,5.556,4.762,4.762
12/31/1922,IGBEL10D,4.762,4.762,4.054,4.412
12/31/1923,IGBEL10D,4.615,4.688,4.348,4.348
12/31/1924,IGBEL10D,4.317,4.348,4.082,4.082
12/31/1925,IGBEL10D,4.11,4.167,4,4.054
12/31/1926,IGBEL10D,4.054,4.27,4.027,4.027
12/31/1927,IGBEL10D,3.947,3.947,3.642,3.659
12/31/1928,IGBEL10D,3.681,3.681,3.529,3.614
12/31/1929,IGBEL10D,3.55,3.659,3.55,3.636
12/31/1930,IGBEL10D,3.571,3.9,3.409,3.75
12/31/1931,IGBEL10D,3.72,4.74,3.66,4.23
12/31/1932,IGBEL10D,4.3,4.84,4.23,4.41
12/31/1933,IGBEL10D,4.48,4.74,4.29,4.29
12/31/1934,IGBEL10D,4.23,4.32,3.76,4.1
12/31/1935,IGBEL10D,4.03,4.03,3.73,3.73
