Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGCAN10D,Canada 10-year Government Bond Yield (with GFD Extension),Government Bond Yields,Canada Dollar,Canada,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jan 1853 To Jan 1957<BR>Weekly From Jan 1957 To Apr 1989<BR>Daily From Apr 1989 To Mar 2022<BR>,"Sources: Economist (1855-1918), International Statistical Institute, International Abstract of Economic Statistics, London: International Conference of Economic Services (1919-1930) (published 1934) and 1931-1936 (published 1938), Commercial and Financial Chronicle (1916-1952), League of Nations, Statistical Yearbook, Geneva: League of Nations (1927-45), Bank of Canada (1919-)  <br />Notes: The Canadian government continually lowered their interest costs before World War I by successively issuing bonds with lower coupons. The general series for government bond yields adds each series as they came out so the general series will consistently show the lowest yield and the most active issues. The Canada 6% Bonds (Redeemable 1877-1884) (BGCAN677-LO) is used from January 1853 to December 1859), the Canada 5% Inscribed Stock (Redeemable 1885) (BGCAN5I-LO) is used from January 1860 to December 1874, the Canada 4% Bonds of 1874-1878 (Redeemable 1904-1908) (BGCAN474-LO) is used from January 1875 to December 1884, the Canada 3.50% Loan of 1884 (Redeemable 1935) (BGCAN3584-LO) is used from January 1885 to June 1888, the Canada Sterling 3% Inscribed Loan of 1888 (Redeemable 1938) (BGCAN388I-LO) is used from July 1888 to December 1927, the Canada 3.5% Sterling Stock Certificate of 1908-1912 (Redeemable 1930-1950) (BGCAN3530-LO) is used from January 1928 to March 1936, all traded in London. The Canada 3.25% Bonds of 1936 due 1961 (BGCAN32561) is used from April 1936 to December 1950 and the Canada 2.75% Bonds of 1950 due 1975 (BGCAN27575) is used from January 1951 to December 1972, both traded in New York.<br />Domestic quotations for Canadian bonds begin in 1919. Data from 1919 to 1936 are from selected long-term bonds; data from 1936 through 1948 are for theoretical 15-year bond yields based upon middle of the market quotations; and yields from 1949 on are for Canadian bonds with a maturity of more than 10 years.Data for 10-year bonds begins in 1982. Canada has never defaulted on its debts.",
Date,Ticker,Open,High,Low,Close
12/31/1853,IGCAN10D,5.24,5.357,5.106,5.31
12/31/1854,IGCAN10D,5.43,5.617,5.381,5.473
12/31/1855,IGCAN10D,5.568,5.617,5.237,5.455
12/31/1856,IGCAN10D,5.607,5.607,5.195,5.286
12/31/1857,IGCAN10D,5.43,5.66,5.24,5.455
12/31/1858,IGCAN10D,5.286,5.286,5.139,5.161
12/31/1859,IGCAN10D,5.298,5.455,5.117,5.117
12/31/1860,IGCAN10D,4.988,4.988,4.819,4.825
12/31/1861,IGCAN10D,4.988,5.208,4.902,5.208
12/31/1862,IGCAN10D,5.102,5.319,5,5.155
12/31/1863,IGCAN10D,5.319,5.464,5.155,5.376
12/31/1864,IGCAN10D,5.495,6.25,5.435,5.78
12/31/1865,IGCAN10D,6.098,6.329,5.814,6.098
12/31/1866,IGCAN10D,6.329,6.579,6.289,6.329
12/31/1867,IGCAN10D,6.024,6.098,5.556,5.556
12/31/1868,IGCAN10D,5.882,5.882,5.263,5.618
12/31/1869,IGCAN10D,5.263,5.495,5.208,5.208
12/31/1870,IGCAN10D,5.319,5.435,5.051,5.051
12/31/1871,IGCAN10D,5.102,5.102,4.79,4.79
12/31/1872,IGCAN10D,4.878,5.051,4.808,4.854
12/31/1873,IGCAN10D,4.854,4.854,4.695,4.695
12/31/1874,IGCAN10D,4.762,4.762,4.587,4.673
12/31/1875,IGCAN10D,4.46,4.533,4.339,4.432
12/31/1876,IGCAN10D,4.384,4.42,4.278,4.348
12/31/1877,IGCAN10D,4.252,4.426,4.252,4.36
12/31/1878,IGCAN10D,4.295,4.444,4.25,4.444
12/31/1879,IGCAN10D,4.29,4.29,4.118,4.199
12/31/1880,IGCAN10D,4.183,4.183,3.823,3.823
12/31/1881,IGCAN10D,3.848,3.876,3.712,3.842
12/31/1882,IGCAN10D,3.8,3.837,3.738,3.814
12/31/1883,IGCAN10D,3.83,3.879,3.708,3.874
12/31/1884,IGCAN10D,3.821,3.86,3.765,3.86
12/31/1885,IGCAN10D,3.846,3.933,3.723,3.779
12/31/1886,IGCAN10D,3.704,3.704,3.535,3.553
12/31/1887,IGCAN10D,3.535,3.608,3.382,3.415
12/31/1888,IGCAN10D,3.382,3.382,3.166,3.2
12/31/1889,IGCAN10D,3.17,3.175,3.091,3.125
12/31/1890,IGCAN10D,3.133,3.27,3.101,3.27
12/31/1891,IGCAN10D,3.162,3.261,3.141,3.194
12/31/1892,IGCAN10D,3.191,3.243,3.129,3.235
12/31/1893,IGCAN10D,3.187,3.224,3.105,3.198
12/31/1894,IGCAN10D,3.162,3.162,2.981,3.023
12/31/1895,IGCAN10D,2.978,3.061,2.921,2.989
12/31/1896,IGCAN10D,2.929,2.985,2.807,2.92
12/31/1897,IGCAN10D,2.92,2.92,2.775,2.81
12/31/1898,IGCAN10D,2.83,2.97,2.83,2.97
12/31/1899,IGCAN10D,2.963,3.069,2.885,3.069
