Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGCHE10D,Switzerland 10-year Government Bond (with GFD Extension),Government Bond Yields,Switzerland Franc,Switzerland,,,,,,,Percent per Annum,Units,Stock,none,Annual From Dec 1889 To Nov 1899<BR>Monthly From Dec 1899 To Dec 1938<BR>Weekly From Jan 1939 To Jan 1942<BR>Daily From Jan 1942 To Mar 2022<BR>,"Sources: Statistischen Bureau, Statistisches Jahrbuch der Schweiz, Bern: Verlag des Ar. Institut Orell Fussli (1915-1955), Schweizerisches Nationalbank, Monatsbericht, Zurich (1956-) <br />Notes: The yield on the 3.5% Swiss National Bonds as quoted in Frankfurt is used from 1889 to 1892. The 3.5% Swiss SBB/CFF Bonds Series A-K are used from 1899 to 1923. Average yield of about one dozen Confederation and SBB/CFF bonds with a residual term of five years beings in 1924. The maturities upon which the calculation was based were only changed once every six months. The average was weighted by the amount of each type of bond. As of 1970, the Investors Bond Value Table (accrual factor using the interest rate prevalent in the market) was used for calculating the average yield instead of tables. (1970: accrual factor of 1.03). In 1977, an adjustment was made to the basis upon which the average yield on Confederation bonds was calculated. Investors` expectations changed dramatically as a result of high nominal interest rates, low yields, high prices and maturities of 13 or more years. The break in the trend could only be overcome by limiting the maturity, and from then on, only bonds with residual terms of between 5 and 12 years were included. Since 1982, all Confederation bonds with a residual term of between 5 and 12 years have been included in the yield calculation, and as of 1984, all bonds with a residual term of at least 5 years to maturity and 3 years to callability have been included in the calculation. From 1991 on the 10 year bond yield is used.",
Date,Ticker,Open,High,Low,Close
12/31/1889,IGCHE10D,3.4653465,3.4653465,3.4653465,3.4653465
12/31/1890,IGCHE10D,3.5264484,3.5264484,3.5264484,3.5264484
12/31/1891,IGCHE10D,3.5175879,3.5175879,3.5175879,3.5175879
12/31/1892,IGCHE10D,3.4079844,3.4079844,3.4079844,3.4079844
12/31/1893,IGCHE10D,3.11,3.11,3.11,3.11
12/31/1894,IGCHE10D,3.02,3.02,3.02,3.02
12/31/1895,IGCHE10D,2.94,2.94,2.94,2.94
12/31/1896,IGCHE10D,2.87,2.87,2.87,2.87
12/31/1897,IGCHE10D,2.93,2.93,2.93,2.93
12/31/1898,IGCHE10D,2.97,2.97,2.97,2.97
12/31/1899,IGCHE10D,3.82,3.82,3.73,3.73
12/31/1900,IGCHE10D,3.69,3.9,3.69,3.81
12/31/1901,IGCHE10D,3.8,3.8,3.48,3.48
12/31/1902,IGCHE10D,3.44,3.49,3.44,3.47
12/31/1903,IGCHE10D,3.46,3.51,3.45,3.5
12/31/1904,IGCHE10D,3.5,3.56,3.5,3.52
12/31/1905,IGCHE10D,3.52,3.55,3.52,3.55
12/31/1906,IGCHE10D,3.55,3.57,3.52,3.52
12/31/1907,IGCHE10D,3.51,3.78,3.51,3.68
12/31/1908,IGCHE10D,3.71,3.8,3.7,3.73
12/31/1909,IGCHE10D,3.67,3.67,3.59,3.64
12/31/1910,IGCHE10D,3.62,3.77,3.61,3.76
12/31/1911,IGCHE10D,3.79,3.9,3.79,3.84
12/31/1912,IGCHE10D,3.88,4.09,3.88,4.03
12/31/1913,IGCHE10D,4.01,4.39,4.01,4.07
12/31/1914,IGCHE10D,4.14,4.34,4.02,4.34
12/31/1915,IGCHE10D,4.44,5.01,4.34,4.96
12/31/1916,IGCHE10D,5.06,5.15,4.83,4.83
12/31/1917,IGCHE10D,4.96,5.28,4.95,5.28
12/31/1918,IGCHE10D,5.22,5.58,5.18,5.44
12/31/1919,IGCHE10D,5.3,6.09,5.3,6.09
12/31/1920,IGCHE10D,6.31,7.43,6.31,7.12
12/31/1921,IGCHE10D,7.07,7.07,5.54,5.69
12/31/1922,IGCHE10D,5.61,5.61,4.26,4.42
12/31/1923,IGCHE10D,4.54,5.07,4.5,4.88
12/31/1924,IGCHE10D,5.06,5.48,5.06,5.17
12/31/1925,IGCHE10D,5.06,5.25,4.89,4.93
12/31/1926,IGCHE10D,4.79,4.95,4.6,4.9
12/31/1927,IGCHE10D,4.72,4.91,4.72,4.79
12/31/1928,IGCHE10D,4.67,4.8,4.67,4.71
12/31/1929,IGCHE10D,4.64,4.73,4.59,4.59
12/31/1930,IGCHE10D,4.48,4.48,3.81,3.82
12/31/1931,IGCHE10D,3.77,4.12,3.77,4.12
