Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGDEU10D,Germany 10-year Benchmark Bond (with GFD extension),Government Bond Yields,Germany Deutschemark (Euro from 01/01/1999),Germany,,,,,,,Percent per Annum,Units,Stock,none,Annual From Dec 1326 To Sep 1788<BR>Monthly From Oct 1788 To Dec 1923<BR>Weekly From Jan 1924 To Dec 1941<BR>Monthly From Dec 1941 To Dec 1979<BR>Daily From Jan 1980 To Mar 2022<BR>,"Source: Bundesbank The benchmark bond is used for this series.  The benchmark bond is the bond that is closest to the stated maturity without exceeding it.  When the government issues a new bond of the stated maturity, it replaces the bond used for the index to keep the maturity as close to the stated time period as possible.  Depending on how much of a difference there is in maturities, there may be some adjustment in the yield when the new bond is introduced.<br />Sources: Paul Schmelzing, Eight Centuries of Global Real interest Rates, R-G, and the 'suprasecular' decline, 1311-2018,' Bank of England Staff Working Paper No. 845;   Koenighlichen Statistischen Bureau, Jahrbuch fur die Amtliche Statistik des Preussischen Staats, Berlin, 1867, pp. 215-216. (1807-1869), Institut fur Konjunkturforschung, Viertilsjahrshefte Zur Konjunkturforschung, Sosderkeft 36, pp. 98-99 (1870-1913), Volkwirtschaftliche Chronik (1876-1923), Statistisches Reichsamt and Statistisches Reichsamt, Wirtschaft und Statistik, Berlin (1917-1943), Bayerischen Statistichen Landesamt, Bayern in Zahlen, Munchen: Bayerisches Statistisches Landesamt (1946-1947), Statistisches Bundesamt, Wirtschaft und Statistik and Bundesbank (1948-55), Deutsche Bundesbank, Monthly Report (1956-); Reinhard Spree, Die Wachstumszyklen der deutschen Wirtschaft von 1840 bis 1880, Berlin: Duncker & Humblot, 1977 <br />Notes: Annual Data from 1326 to 1787 is from Paul Schmelzing. The Saxony 3% Ordinaire Steuerscheine of 1764 (BGDESXN3S-AM) Bond as quoted in Amsterdam is used from September 1788 to December 1806. The Prussian State 4% Seehandlungs Bond (BGPRU4S-BE) is used from January 1807 to May 1853, the Prussia 4% Consol of 1863 (BGPRU463-BE) is used from June 1853 to June 1876, the Prussia 3.5% Consolidated Loan (BGPRU35-BE) is used from July 1876 to July 1891, the Germany 3% Imperial Bond of 1891-1893 (BGDEU3-LO) is used from August 1891 to January 1915, the Germany 3% Imperial Bond of 1890-1894 (BGDEU33-LO) is used from February 1915 to December 1918 since the stock market was closed during World War I. The Prussia 3.5% Consolidated Loan (BGPRU35-BE) is used for internal bond prices and yields during the German hyperinflation from January 1919 to December 1925.  In 1923, the hyperinflation made the yield on the bonds virtually meaningless. After the hyperinflation ended and the Mark was converted into Rentenmark, interest payments on Mark bonds were paid at 1/1000th of the original value, hence a 1000 Mark bond was worth 1 Mark. The 5% mortgage bonds are used from 1924 until 1927, and the 6% mortgage bonds from 1928 until March 1935.  No data are available for the 6s when the stock market was closed in 1931/1932, so the yields for miscellaneous bonds are used from October 1931 until March 1932. No datum is available for August 1931 because the stock market was closed from July 11 to September 16, 1931. The 4 1/2% conversion bonds are used starting in April 1935 and continue until October 1943. The yield for 4 1/2% bonds in the Western zone is used for 1946 and 1947.  No data are available for January through July 1948. Germany introduced a currency conversion in July 1948 which made all financial instruments worth 10% of their former value, imposing a 90% loss on bondholders. The 5% tax-free bonds are used from August 1948 until December 1955, and the series for fully taxed 6% government bonds are used beginning in May of 1956 until 1979. The Bundesbank constant maturity 10-year bond is used beginning in 1980.<br />For External bond yields after World War I, the Germany 3% Imperial Bond of 1890-1894 (BGDEU33-LO) is used from January 1919 to December 1924, the Germany 5% Sterling Bonds of 1924 (originally 7% Enfaced 1953) (BGDEU524-LO) is used from January 1925 to October 1939, the Germany 5.50% International Loan of 1930 due 1965 (BGDEU5565) is used from November 1939 to September 1944, and the Germany 5% Sterling Bonds of 1924 (originally 7% Enfaced 1953) (BGDEU524-LO) is used between October 1944 and April 1954 and the Germany 4.5% Sterling Loan of 1930 (originally 5.5% Assented 1953 due 1980) (BGDEU4530A-LO) is used from May 1954 to November 1980. Upon the commencement of World War I, Germany defaulted on its external bonds. Germany defaulted on its external bonds in 1931 and didn't make any interest payments until its bonds were enfaced at a lower interest rate in 1953. Although the Germany government made bond payments internally during World War I, the hyperinflation made the interest payments worthless.",
Date,Ticker,Open,High,Low,Close
12/31/1326,IGDEU10D,8.9131667,8.9131667,8.9131667,8.9131667
12/31/1327,IGDEU10D,9.2775,9.2775,9.2775,9.2775
12/31/1328,IGDEU10D,10.1414204,10.1414204,10.1414204,10.1414204
12/31/1329,IGDEU10D,10.5892381,10.5892381,10.5892381,10.5892381
12/31/1330,IGDEU10D,11.1058,11.1058,11.1058,11.1058
12/31/1331,IGDEU10D,12.8700545,12.8700545,12.8700545,12.8700545
12/31/1332,IGDEU10D,8.1807714,8.1807714,8.1807714,8.1807714
12/31/1333,IGDEU10D,9.7241333,9.7241333,9.7241333,9.7241333
12/31/1334,IGDEU10D,8.8417662,8.8417662,8.8417662,8.8417662
12/31/1335,IGDEU10D,8.7627768,8.7627768,8.7627768,8.7627768
12/31/1336,IGDEU10D,8.6837874,8.6837874,8.6837874,8.6837874
12/31/1337,IGDEU10D,8.9819444,8.9819444,8.9819444,8.9819444
12/31/1338,IGDEU10D,8.1931217,8.1931217,8.1931217,8.1931217
12/31/1339,IGDEU10D,8.3616707,8.3616707,8.3616707,8.3616707
12/31/1340,IGDEU10D,9.6892857,9.6892857,9.6892857,9.6892857
12/31/1341,IGDEU10D,8.8902999,8.8902999,8.8902999,8.8902999
12/31/1342,IGDEU10D,9.0492009,9.0492009,9.0492009,9.0492009
12/31/1343,IGDEU10D,9.2914353,9.2914353,9.2914353,9.2914353
12/31/1344,IGDEU10D,8.79008,8.79008,8.79008,8.79008
12/31/1345,IGDEU10D,8.2887246,8.2887246,8.2887246,8.2887246
12/31/1346,IGDEU10D,11.1681385,11.1681385,11.1681385,11.1681385
12/31/1347,IGDEU10D,9.9270396,9.9270396,9.9270396,9.9270396
12/31/1348,IGDEU10D,9.6295121,9.6295121,9.6295121,9.6295121
12/31/1349,IGDEU10D,9.6723443,9.6723443,9.6723443,9.6723443
12/31/1350,IGDEU10D,9.7726728,9.7726728,9.7726728,9.7726728
12/31/1351,IGDEU10D,8.8664453,8.8664453,8.8664453,8.8664453
12/31/1352,IGDEU10D,8.826395,8.826395,8.826395,8.826395
12/31/1353,IGDEU10D,8.7863447,8.7863447,8.7863447,8.7863447
12/31/1354,IGDEU10D,8.7971865,8.7971865,8.7971865,8.7971865
12/31/1355,IGDEU10D,9.9734607,9.9734607,9.9734607,9.9734607
12/31/1356,IGDEU10D,9.9989705,9.9989705,9.9989705,9.9989705
12/31/1357,IGDEU10D,10.2758881,10.2758881,10.2758881,10.2758881
12/31/1358,IGDEU10D,9.3544345,9.3544345,9.3544345,9.3544345
12/31/1359,IGDEU10D,6.4670178,6.4670178,6.4670178,6.4670178
12/31/1360,IGDEU10D,6.962608,6.962608,6.962608,6.962608
12/31/1361,IGDEU10D,7.8167735,7.8167735,7.8167735,7.8167735
12/31/1362,IGDEU10D,7.4452503,7.4452503,7.4452503,7.4452503
12/31/1363,IGDEU10D,7.8245848,7.8245848,7.8245848,7.8245848
12/31/1364,IGDEU10D,7.8517179,7.8517179,7.8517179,7.8517179
12/31/1365,IGDEU10D,7.2897932,7.2897932,7.2897932,7.2897932
12/31/1366,IGDEU10D,8.570392,8.570392,8.570392,8.570392
12/31/1367,IGDEU10D,7.595856,7.595856,7.595856,7.595856
12/31/1368,IGDEU10D,8.1517192,8.1517192,8.1517192,8.1517192
12/31/1369,IGDEU10D,8.5783921,8.5783921,8.5783921,8.5783921
12/31/1370,IGDEU10D,8.743447,8.743447,8.743447,8.743447
12/31/1371,IGDEU10D,9.4202553,9.4202553,9.4202553,9.4202553
12/31/1372,IGDEU10D,12.3253431,12.3253431,12.3253431,12.3253431
12/31/1373,IGDEU10D,12.9768034,12.9768034,12.9768034,12.9768034
12/31/1374,IGDEU10D,10.8969849,10.8969849,10.8969849,10.8969849
12/31/1375,IGDEU10D,10.154723,10.154723,10.154723,10.154723
12/31/1376,IGDEU10D,9.4312445,9.4312445,9.4312445,9.4312445
12/31/1377,IGDEU10D,14.4545177,14.4545177,14.4545177,14.4545177
12/31/1378,IGDEU10D,14.08678,14.08678,14.08678,14.08678
12/31/1379,IGDEU10D,14.7552114,14.7552114,14.7552114,14.7552114
12/31/1380,IGDEU10D,13.1622022,13.1622022,13.1622022,13.1622022
12/31/1381,IGDEU10D,13.962418,13.962418,13.962418,13.962418
