Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGDNK10D,Denmark 10-year Government Bond Yield (with GFD extension),Government Bond Yields,Denmark Krone,Denmark,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Sep 1788 To Dec 1981<BR>Daily From Jan 1982 To Nov 2021<BR>,"Sources: London Times (1821-1844), Banker`s Magazine and The Economist (1845-1858), Statistiske Department, Statistisk Arbog, Copenhagen: Statistiske Dept. (1864-31), League of Nations (1932-45), Danmarks Bank, Monetary Review (1946-)      <br />Notes: The Denmark 4% Crown Bonds (Kroondeenen) (Amsterdam SE) (BGDNK4K-AM) is used from September 1788 to August 1825, the Denmark 3% Stock of 1825 (BGDNK3S-LO) is used from September 1825 to December 1869, the Denmark 4% Stock of 1862 (BGDNK462-LO) is used from January 1870 to November 1886, both trading in London.  Domestic quotes begin with the Denmark 3.50% Consolidated Bond (BGDNK35C-KO) which is used from December 1886 to November 1937, and the Denmark 4.50% Gold Trust Receipts due 1962 (BGDNK4562) which traded in New York is used from December 1938 to September 1958. In Denmark, the consolidated 3.5% bond is used through 1976. In 1977, the 10-year bond is used.  Denmark has not defaulted on its bonds.",
Date,Ticker,Open,High,Low,Close
12/31/1788,IGDNK10D,4.124,4.134,4.124,4.134
12/31/1789,IGDNK10D,4.124,4.188,4.124,4.188
12/31/1790,IGDNK10D,4.188,4.199,4.051,4.051
12/31/1791,IGDNK10D,4.04,4.061,3.96,3.965
12/31/1792,IGDNK10D,3.98,4.04,3.941,4.04
12/31/1793,IGDNK10D,4.04,4.134,4.025,4.103
12/31/1794,IGDNK10D,4.113,4.156,4.103,4.124
12/31/1795,IGDNK10D,4.124,4.124,4.082,4.082
12/31/1796,IGDNK10D,4.082,4.188,4.082,4.103
12/31/1797,IGDNK10D,4.071,4.124,4.061,4.061
12/31/1798,IGDNK10D,4.061,4.061,4.03,4.04
12/31/1799,IGDNK10D,4.03,4.29,4.03,4.188
12/31/1800,IGDNK10D,4.082,4.113,4.082,4.113
12/31/1801,IGDNK10D,4.216,4.238,4.113,4.113
12/31/1802,IGDNK10D,4.071,4.205,4.071,4.076
12/31/1803,IGDNK10D,4.076,4.194,4.066,4.145
12/31/1804,IGDNK10D,4.124,4.172,4.113,4.124
12/31/1805,IGDNK10D,4.113,4.124,4.113,4.124
12/31/1806,IGDNK10D,4.124,4.167,4.124,4.167
12/31/1807,IGDNK10D,4.167,4.444,4.167,4.167
12/31/1808,IGDNK10D,4.082,4.348,4.082,4.255
12/31/1809,IGDNK10D,4.156,4.444,4.156,4.444
12/31/1810,IGDNK10D,4.156,6.061,4.145,6.061
12/31/1811,IGDNK10D,7.843,8.696,6.667,6.667
12/31/1812,IGDNK10D,6.751,10.667,6.751,10
12/31/1813,IGDNK10D,9.302,10.256,7.407,9.524
12/31/1814,IGDNK10D,8,10.526,8,8.511
12/31/1815,IGDNK10D,8.247,10.526,6.667,6.667
12/31/1816,IGDNK10D,6.838,6.838,5.97,6.061
12/31/1817,IGDNK10D,5.993,6.015,5.387,5.556
12/31/1818,IGDNK10D,5.442,5.694,5.229,5.694
12/31/1819,IGDNK10D,5.674,5.97,5.556,5.594
12/31/1820,IGDNK10D,5.442,5.556,5.281,5.517
12/31/1821,IGDNK10D,5.479,5.479,5.246,5.405
12/31/1822,IGDNK10D,5.298,5.442,5.195,5.195
12/31/1823,IGDNK10D,5.195,5.229,5,5.096
12/31/1824,IGDNK10D,5,5,4.372,4.396
12/31/1825,IGDNK10D,4.396,4.396,4.255,4.255
12/31/1826,IGDNK10D,5.042,5.769,4.819,5.128
12/31/1827,IGDNK10D,5.085,5.085,4.444,5.021
12/31/1828,IGDNK10D,4.868,5.021,4.724,4.743
12/31/1829,IGDNK10D,4.688,4.688,3.974,3.974
12/31/1830,IGDNK10D,4,5.172,3.934,5.172
12/31/1831,IGDNK10D,4.959,5.357,4.511,4.511
12/31/1832,IGDNK10D,4.58,4.58,4.054,4.255
12/31/1833,IGDNK10D,4.11,4.124,4.013,4.054
12/31/1834,IGDNK10D,4.054,4.054,3.922,3.922
12/31/1835,IGDNK10D,3.909,3.947,3.798,3.947
12/31/1836,IGDNK10D,3.947,4.054,3.896,3.922
12/31/1837,IGDNK10D,3.915,4.211,3.915,4.152
12/31/1838,IGDNK10D,4.027,4.027,3.96,4
12/31/1839,IGDNK10D,3.934,4.082,3.834,4.068
12/31/1840,IGDNK10D,3.922,3.947,3.727,3.871
12/31/1841,IGDNK10D,3.798,3.846,3.704,3.704
12/31/1842,IGDNK10D,3.659,3.715,3.529,3.529
12/31/1843,IGDNK10D,3.488,3.488,3.429,3.448
12/31/1844,IGDNK10D,3.468,3.468,3.333,3.371
12/31/1845,IGDNK10D,3.371,3.409,3.297,3.409
12/31/1846,IGDNK10D,3.409,3.448,3.333,3.39
12/31/1847,IGDNK10D,3.409,3.846,3.371,3.571
12/31/1848,IGDNK10D,3.571,4.615,3.571,4.478
12/31/1849,IGDNK10D,4.478,4.546,4.11,4.11
12/31/1850,IGDNK10D,4.11,4.348,3.896,3.896
12/31/1851,IGDNK10D,3.896,3.947,3.81,3.947
12/31/1852,IGDNK10D,3.947,4.785,3.947,4.63
12/31/1853,IGDNK10D,4.63,4.951,4.63,4.854
12/31/1854,IGDNK10D,5.025,5.319,5.025,5.051
12/31/1855,IGDNK10D,5.051,5.155,4.902,4.951
12/31/1856,IGDNK10D,4.762,4.902,4.762,4.854
12/31/1857,IGDNK10D,4.854,5,4.808,5
12/31/1858,IGDNK10D,5,5,4.762,4.785
12/31/1859,IGDNK10D,4.773,4.95,4.773,4.926
12/31/1860,IGDNK10D,4.813,4.975,4.813,4.944
12/31/1863,IGDNK10D,4.39,4.545,4.372,4.444
12/31/1864,IGDNK10D,4.29,4.598,4.29,4.571
12/31/1865,IGDNK10D,4.396,4.494,4.372,4.494
12/31/1866,IGDNK10D,4.4568,4.6243,4.4568,4.6243
12/31/1867,IGDNK10D,4.4944,4.5845,4.4944,4.5455
12/31/1868,IGDNK10D,4.5326,4.6512,4.5326,4.6512
12/31/1869,IGDNK10D,4.6512,4.8632,4.6512,4.8632
12/31/1870,IGDNK10D,4.8338,4.8338,4.8048,4.8193
