Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGESP10D,Spain 10-year Government Bond Yield (with GFD Extension),Government Bond Yields,Spain Peseta (Euro from 01/01/1999),Spain,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Sep 1788 To Dec 1985<BR>Weekly From Jan 1986 To Apr 1991<BR>Daily From Apr 1991 To Mar 2022<BR>,"Sources: London Times (1822-1844), Banker`s Magazine and The Economist (1845-1910), INSEE, Bulletin Mensual Statistique, Paris: INSEE (1911-13), Institut Nacional de Estadistica, Annuario Estadistica d`Espana, Madrid: INE (1914-1947), Banco d`Espana, Bulletin Mensual, Madrid: Banco d`Espana (1948-)    Notes: The Spain 3.5% Bond (Amsterdam SE) (BGESP35-AM) is used from September 1788 to May 1798, the Spain 5% Bond of 1798  (Amsterdam SE) (BGESP598-AM) is used from June 1798 to December 1805, the Spain 3.5% Bond (Amsterdam SE) (BGESP35-AM) is used from January 1806 to May 1824, the Spain 5% Loan of 1822 (BGESP522-LO) is used from June 1824 to December 1835, the Spain 5% Active Bond of 1834 (BGESP534C-LO) is used from January 1836 to November 1851, the Spain 5% Deferred Bonds of 1834 (BGESP534D-LO) from December 1851 to April 1868, the Spain 3% Bond of 1867 (BGESP367-LO) from may 1868 to December 1882, and the Spain 4% External Bond of 1882 (BGESP4X82-LO) is used from January 1883 to June 1930, all quoted in London. For internal bond yields, the Spain 4% Interior Loan (BGESP4I-MA) is used from January 1913 to October 1956. No data are available from July 1936 through February 1940 due to the Spanish Civil War. An index of private bonds is used from 1958 through March 1978 with monthly data starting in July 1959, and an index of government bonds with a maturity of over 2 years is used from April 1978 until December 1985. The 10-year bond is used beginning in January 1986.<br />Spain defaulted on its bonds in 1808, renewed paying interest in 1820, defaulted again in 1824 and reorganized its debt in 1834, providing bondholders with 2/3 of active interest paying bonds and 1/3 of passive non-interest paying bonds.  Spain defaulted again in 1837, reorganized its bonds again in 1851, paying 1% interest on new bonds which gradually rose to 3% interest.  New bonds were issued in 1870, but Spain defaulted once again, making no interest payments between 1873 and 1876 and reduced its interest rate in 1881. Beginning in 1898, Spain began passing several laws to convert its external debt to internal debt.",
Date,Ticker,Open,High,Low,Close
12/31/1788,IGESP10D,4.167,4.167,4.142,4.142
12/31/1789,IGESP10D,4.094,4.142,3.857,3.878
12/31/1790,IGESP10D,3.867,4.07,3.857,3.966
12/31/1791,IGESP10D,3.889,3.933,3.867,3.867
12/31/1792,IGESP10D,3.867,3.933,3.867,3.933
12/31/1793,IGESP10D,3.933,4.167,3.684,3.684
12/31/1794,IGESP10D,4.094,5.385,4.094,5.385
12/31/1795,IGESP10D,5.385,5.385,4.762,4.762
12/31/1796,IGESP10D,4.762,5.469,4.636,5.469
12/31/1797,IGESP10D,5.147,5.385,5.072,5.224
12/31/1798,IGESP10D,5.6,6.757,5.6,6.645
12/31/1799,IGESP10D,6.897,7.519,6.897,7.092
12/31/1800,IGESP10D,7.092,7.092,6.7,6.7
12/31/1801,IGESP10D,6.7,6.7,5.722,5.722
12/31/1802,IGESP10D,5.722,5.722,5.291,5.291
12/31/1803,IGESP10D,5.195,5.848,5.195,5.263
12/31/1804,IGESP10D,5.263,5.263,5.263,5.263
12/31/1805,IGESP10D,5.263,5.263,5.263,5.263
12/31/1806,IGESP10D,5.882,6.604,5.833,6.604
12/31/1807,IGESP10D,6.422,6.422,4.667,5.738
12/31/1808,IGESP10D,5.645,7.292,5.303,7.143
12/31/1809,IGESP10D,7.143,9.459,7.071,9.211
12/31/1810,IGESP10D,8.75,31.818,8.75,31.818
12/31/1811,IGESP10D,29.167,50,29.167,50
12/31/1812,IGESP10D,50,50,29.167,29.167
12/31/1813,IGESP10D,29.167,29.167,29.167,29.167
12/31/1814,IGESP10D,26.923,35,18.421,24.138
12/31/1815,IGESP10D,25,31.818,21.875,23.333
12/31/1816,IGESP10D,22.581,31.818,19.444,31.818
12/31/1817,IGESP10D,35,35,35,35
12/31/1818,IGESP10D,29.167,53.846,25,53.846
12/31/1819,IGESP10D,53.846,87.5,53.846,70
12/31/1820,IGESP10D,58.333,70,8.75,9.722
12/31/1821,IGESP10D,9.722,12.069,9.722,10.606
12/31/1822,IGESP10D,10.294,10.294,5.385,6.25
12/31/1823,IGESP10D,8.235,13.725,7.692,13.725
12/31/1824,IGESP10D,14.894,24.615,10.938,22.346
12/31/1825,IGESP10D,23.256,40.816,20.408,40.816
12/31/1826,IGESP10D,41.237,63.492,37.559,38.278
12/31/1827,IGESP10D,41.237,50.633,37.383,45.977
12/31/1828,IGESP10D,48.78,48.78,42.553,48.78
12/31/1829,IGESP10D,54.795,60.606,46.512,46.512
12/31/1830,IGESP10D,42.553,42.553,20.202,32.258
12/31/1831,IGESP10D,30.189,39.216,28.777,35.088
