Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGFIN10D,Finland 10-year Government Bonds (with GFD Extension),Government Bond Yields,Finland Markka (Euro from 01/01/1999),Finland,,,,,,,Percent per Annum,Units,Stock,none,Annual From Dec 1889 To Dec 1899<BR>Monthly From Jan 1900 To Mar 1990<BR>Daily From Apr 1990 To Nov 2021<BR>,"Source: Finlands Bank<br />Notes: The 3.5% Grand Duchy of Finland bonds traded in Amsterdam from 1889 to 1895 and in Berlin from December 1896 to February 1909 (BGFIN35R-BE) are used, and the 4.5% Grand Duchy of Finland Railroad Bonds (BGFIN45-LO) are used from April 1909 through February 1924. The Finland 6s of 1945 (BGFIN645) as quoted in New York are used from March 1924 through December 1945, the Helsingfors 6.5% municipal bonds of 1960 are used for 1946 through 1948, and the Finland 5s of 1961 are used through 1953. No data are available from November 1953 through 19r59. The current series covers central government taxable bonds of more than five years. Data are annual for 1960 through 1965, and quarterly from 1966 until 1971<br />The benchmark bond is used for this series.  The benchmark bond is the bond that is closest to the stated maturity without exceeding it.  When the government issues a new bond of the stated maturity, it replaces the bond used for the index to keep the maturity as close to the stated time period as possible.  Depending on how much of a difference there is in maturities, there may be some adjustment in the yield when the new bond is introduced.",
Date,Ticker,Open,High,Low,Close
12/31/1889,IGFIN10D,3.636,3.636,3.636,3.636
12/31/1890,IGFIN10D,3.804,3.804,3.804,3.804
12/31/1891,IGFIN10D,3.932,3.932,3.932,3.932
12/31/1892,IGFIN10D,4.118,4.118,4.118,4.118
12/31/1893,IGFIN10D,3.916,3.916,3.916,3.916
12/31/1894,IGFIN10D,3.741,3.741,3.741,3.741
12/31/1895,IGFIN10D,3.581,3.581,3.581,3.581
12/31/1896,IGFIN10D,3.535,3.535,3.535,3.535
12/31/1897,IGFIN10D,3.544,3.544,3.544,3.544
12/31/1898,IGFIN10D,3.553,3.553,3.553,3.553
12/31/1899,IGFIN10D,3.599,3.599,3.599,3.599
12/31/1900,IGFIN10D,3.815,4.023,3.804,3.986
12/31/1901,IGFIN10D,3.889,3.889,3.704,3.815
12/31/1902,IGFIN10D,3.755,3.784,3.692,3.739
12/31/1903,IGFIN10D,3.723,3.774,3.684,3.743
12/31/1904,IGFIN10D,3.743,3.933,3.735,3.933
12/31/1905,IGFIN10D,3.933,4.118,3.933,4.118
12/31/1906,IGFIN10D,4.07,4.516,3.966,4.353
12/31/1907,IGFIN10D,4.361,4.795,4.361,4.581
12/31/1908,IGFIN10D,4.624,4.682,4.416,4.416
12/31/1909,IGFIN10D,4.47,4.832,4.342,4.651
12/31/1910,IGFIN10D,4.743,4.743,4.472,4.472
12/31/1911,IGFIN10D,4.563,4.563,4.455,4.455
12/31/1912,IGFIN10D,4.517,4.621,4.433,4.534
12/31/1913,IGFIN10D,4.598,4.688,4.489,4.489
12/31/1914,IGFIN10D,4.604,5.455,4.534,5.455
12/31/1915,IGFIN10D,5.488,6.164,5.318,6.122
12/31/1916,IGFIN10D,6.294,6.338,5.389,6.164
12/31/1917,IGFIN10D,6.338,8.108,6.338,8.108
12/31/1918,IGFIN10D,8.036,8.411,6.667,6.667
12/31/1919,IGFIN10D,6.87,7.826,6.429,7.826
12/31/1920,IGFIN10D,8.411,11.25,8.411,10.345
12/31/1921,IGFIN10D,10.714,10.714,9.351,9.449
12/31/1922,IGFIN10D,9.449,9.449,7.354,7.742
12/31/1923,IGFIN10D,7.742,7.826,6.122,6.383
12/31/1924,IGFIN10D,7.031,7.143,6.667,6.957
12/31/1925,IGFIN10D,6.936,7.069,6.809,6.857
12/31/1926,IGFIN10D,6.784,6.987,6.504,6.504
12/31/1927,IGFIN10D,6.366,6.37,6.202,6.299
12/31/1928,IGFIN10D,6.262,6.262,6.026,6.218
12/31/1929,IGFIN10D,6.226,6.833,6.226,6.648
12/31/1930,IGFIN10D,6.443,6.977,6.182,6.977
12/31/1931,IGFIN10D,6.992,12.973,6.391,12.973
12/31/1932,IGFIN10D,13.464,13.483,8.406,10.148
12/31/1933,IGFIN10D,9.339,9.959,7.607,7.619
12/31/1934,IGFIN10D,7.048,7.048,5.742,5.742
12/31/1935,IGFIN10D,5.749,5.749,5.601,5.621
12/31/1936,IGFIN10D,5.562,5.66,5.562,5.621
12/31/1937,IGFIN10D,5.621,5.64,5.549,5.588
12/31/1938,IGFIN10D,5.546,5.68,5.546,5.644
12/31/1939,IGFIN10D,5.674,12.045,5.627,12.045
12/31/1940,IGFIN10D,13.953,13.953,8.269,11.94
12/31/1941,IGFIN10D,12,12.973,10.909,12
12/31/1942,IGFIN10D,8,8.824,6.316,6.316
12/31/1943,IGFIN10D,6.186,6.676,6.061,6.061
12/31/1944,IGFIN10D,6.015,6.667,6.015,6.522
12/31/1945,IGFIN10D,6.522,6.522,6.122,6.186
12/31/1946,IGFIN10D,6.8421,6.8421,6.4356,6.8331
12/31/1947,IGFIN10D,7,11.72,6.75,11.72
12/31/1948,IGFIN10D,11.07,15.7,10.65,12.92
12/31/1949,IGFIN10D,14.3,14.3,9.67,12.1
12/31/1950,IGFIN10D,12.34,12.34,9.26,9.6
12/31/1951,IGFIN10D,9.55,10.52,8.3,10.52
12/31/1952,IGFIN10D,10,10.14,8.84,8.92
12/31/1953,IGFIN10D,8.92,8.92,6.35,6.35
