Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGFRA10D,France 10-year Government Bond Yield (with GFD Extension),Government Bond Yields,France Franc (Euro from 01/01/1999),France,,,,,,,Percent per Annum,Units,Stock,none,Annual From Dec 1387 To Dec 1745<BR>Monthly From Jan 1746 To Nov 1983<BR>Weekly From Dec 1983 To Jan 1985<BR>Daily From Feb 1985 To Mar 2022<BR>,"Sources: Paul Schmelzing, Eight Centuries of Global Real interest Rates, R-G, and the 'suprasecular' decline, 1311-2018,' Bank of England Staff Working Paper No. 845; Francois R. Velde and David R. Weir, The Financial Market and Government Debt Policy in France, 1746-1793, Journal of Economic History, 52 (1), March 1992, pp. 1-39; Alphonse Courtois, Tableaux des cours des principales valeurs, 2nd Edition, Paris 1873; Alphonse Courtois, Tableaux des Cours des Principales Valeurs, Paris: Garnier Freres, 1877; The Times, London (1822-1844), The Banker's Magazine, London (1845-1865), Investor's Monthly Manual, London: The Economist (1866-1873), L'Economiste Francais (1874-1897); Jean Dessirer, 'Le Prevision statistique des Mouvements des Valeurs de Bourse,' Journal de la Societe Statistique de Paris, (May 1928): 160-192, (1898-1911) as collected from Reforme Economique; Institut National de la Statistique et des Etudes Economiques, Annuaire Statistique de la France, Paris: INSEE, BULLETIN MENSAL STATISTIQUE, PARIS: INSEE and INSEE, Bulletin Mensuel Statistique, Paris: INSEE (1800-)  <br />Notes: Annual data from 1387 to 1745 is taken from Schmelzing. The Paris Stock Exchange was formally founded on September 24, 1724. Although numerous bonds, annuities and lotteries were listed on the Paris Stock Exchange in the 1700s, the only bond for which consistent data is available is the Compagnie des Indes 5% Billets d'Emprunt (CIND1B5-PA) and we use this as a proxy for French government bonds since its yield tracked those of French government bonds very well. The Stock Exchange was closed on June 27, 1793, reopened near the Louvre on May 10, 1795, closed again on December 13, 1795, reopened on January 12, 1795. The France Inscriptions de Rente de 1797 was quoted between August 1795 and March 1796. France defaulted on its pre-revolutionary debts in 1796 and provided holders with new 5% Rentes at 1/3 of the value of the original bonds imposing a 2/3 loss on bondholders. After reopening the France 5% Rentes Consolides (BGFRA5R-PA) was the primary government bond traded on the stock Exchange and it is used from January 1797 until April 1825 when it was replaced by the France 3% Rentes of 1825 (BGFRA325-PA) which is used from May 1825 to January 1862. For bond yields in France, the France 3% Rentes of 1862 (BGFRA362-PA) is used from February 1862 to June 1949.  External yields are provided by France 3% Perpetual Rentes of 1862 (BGFRA362-LO) from February 1862 to June 1930. The 5% consols issued in 1949 are used from 1950 until 1971, and an index of public and semi-public bond yields for issues guaranteed by the government is used from 1972 to 1983.  Data for the 10-year bond begins in November 1983. The Tec-10 Index Yields for Constant Maturity French Bonds is used beginning April 9, 1996.",
Date,Ticker,Open,High,Low,Close
12/31/1387,IGFRA10D,18.5,18.5,18.5,18.5
12/31/1388,IGFRA10D,18.5,18.5,18.5,18.5
12/31/1389,IGFRA10D,18.4856631,18.4856631,18.4856631,18.4856631
12/31/1390,IGFRA10D,18.4713262,18.4713262,18.4713262,18.4713262
12/31/1391,IGFRA10D,16.3284946,16.3284946,16.3284946,16.3284946
12/31/1392,IGFRA10D,17.3271595,17.3271595,17.3271595,17.3271595
12/31/1393,IGFRA10D,18.3258244,18.3258244,18.3258244,18.3258244
12/31/1394,IGFRA10D,19.3244892,19.3244892,19.3244892,19.3244892
12/31/1395,IGFRA10D,18.9754458,18.9754458,18.9754458,18.9754458
12/31/1396,IGFRA10D,18.6264023,18.6264023,18.6264023,18.6264023
12/31/1397,IGFRA10D,18.2773589,18.2773589,18.2773589,18.2773589
12/31/1398,IGFRA10D,17.9283154,17.9283154,17.9283154,17.9283154
12/31/1399,IGFRA10D,17.671147,17.671147,17.671147,17.671147
12/31/1400,IGFRA10D,17.4139785,17.4139785,17.4139785,17.4139785
12/31/1401,IGFRA10D,17.15681,17.15681,17.15681,17.15681
12/31/1402,IGFRA10D,16.8996416,16.8996416,16.8996416,16.8996416
12/31/1403,IGFRA10D,16.6424731,16.6424731,16.6424731,16.6424731
12/31/1404,IGFRA10D,18.2706093,18.2706093,18.2706093,18.2706093
12/31/1405,IGFRA10D,18.2562724,18.2562724,18.2562724,18.2562724
12/31/1406,IGFRA10D,18.2419355,18.2419355,18.2419355,18.2419355
12/31/1407,IGFRA10D,18.2275986,18.2275986,18.2275986,18.2275986
12/31/1408,IGFRA10D,18.2132616,18.2132616,18.2132616,18.2132616
12/31/1409,IGFRA10D,18.1989247,18.1989247,18.1989247,18.1989247
12/31/1410,IGFRA10D,18.1845878,18.1845878,18.1845878,18.1845878
12/31/1411,IGFRA10D,18.1702509,18.1702509,18.1702509,18.1702509
12/31/1412,IGFRA10D,18.155914,18.155914,18.155914,18.155914
12/31/1413,IGFRA10D,18.1415771,18.1415771,18.1415771,18.1415771
12/31/1414,IGFRA10D,18.1272401,18.1272401,18.1272401,18.1272401
12/31/1415,IGFRA10D,18.1129032,18.1129032,18.1129032,18.1129032
12/31/1416,IGFRA10D,18.0985663,18.0985663,18.0985663,18.0985663
12/31/1417,IGFRA10D,17.9137748,17.9137748,17.9137748,17.9137748
12/31/1418,IGFRA10D,17.7289834,17.7289834,17.7289834,17.7289834
12/31/1419,IGFRA10D,17.5441919,17.5441919,17.5441919,17.5441919
12/31/1420,IGFRA10D,17.5126263,17.5126263,17.5126263,17.5126263
12/31/1421,IGFRA10D,17.4810606,17.4810606,17.4810606,17.4810606
12/31/1422,IGFRA10D,17.4494949,17.4494949,17.4494949,17.4494949
12/31/1423,IGFRA10D,17.4179293,17.4179293,17.4179293,17.4179293
