Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
ILGRCMM,Greece Mortgage Lending Rate,Lending Rates,Greece Drachma (Euro from 01/01/2001),Greece,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jan 1849 To Aug 2013<BR>,"Sources: Bank of Greece, Monthly Statistical Bulletin (1957-) Mortgage loans with maturity over 5 years Greece, Credit institutions and other MFIs reporting sector - Interest rate (Unspecified rate type) on Loans for house purchasing, Total maturity, New business coverage Source: Eurostat. Eurostat collects data from the statistical agencies of the 27 member countries of the European Economic Community, candidate countries (Macedonia, Croatia and Turkey), EFTA countries (Iceland, Norway, Liechtenstein and Switzerland) as well as other countries (Japan, Australia, United States). Statistical agencies within each country disseminate their national data to Eurostat in order that it can be made available in a consistent format. <br />'South-Eastern European Monetary and Economic Statistics from the Nineteenth Century to World War II, published by: Bank of Greece, Bulgarian National Bank, National Bank of Romania, Oesterreichische Nationalbank, 2014, Athens, Sofia, Bucharest, Vienna.<br />'",
Date,Ticker,Open,High,Low,Close
12/31/1849,ILGRCMM,10,10,10,10
12/31/1850,ILGRCMM,10,10,10,10
12/31/1851,ILGRCMM,10,10,10,10
12/31/1852,ILGRCMM,10,10,10,10
12/31/1853,ILGRCMM,10,10,8,8
12/31/1854,ILGRCMM,8,8,8,8
12/31/1855,ILGRCMM,8,8,8,8
12/31/1856,ILGRCMM,8,8,8,8
12/31/1857,ILGRCMM,8,8,8,8
12/31/1858,ILGRCMM,8,8,8,8
12/31/1859,ILGRCMM,8,8,7,7
12/31/1860,ILGRCMM,7,7,7,7
12/31/1861,ILGRCMM,7,7,7,7
12/31/1862,ILGRCMM,7,7,7,7
12/31/1863,ILGRCMM,7,7,7,7
12/31/1864,ILGRCMM,7,8,7,8
12/31/1865,ILGRCMM,8,8,8,8
12/31/1866,ILGRCMM,8,8,8,8
12/31/1867,ILGRCMM,8,8,8,8
12/31/1868,ILGRCMM,8,8,8,8
12/31/1869,ILGRCMM,8,8,8,8
12/31/1870,ILGRCMM,8,8,8,8
12/31/1871,ILGRCMM,8,8,8,8
12/31/1872,ILGRCMM,8,8,8,8
12/31/1873,ILGRCMM,8,8,8,8
12/31/1874,ILGRCMM,8,8,8,8
12/31/1875,ILGRCMM,8,8,8,8
12/31/1876,ILGRCMM,8,8,8,8
12/31/1877,ILGRCMM,8,8,8,8
12/31/1878,ILGRCMM,8,8,8,8
12/31/1879,ILGRCMM,8,8,8,8
12/31/1880,ILGRCMM,8,8,8,8
12/31/1881,ILGRCMM,8,8,8,8
12/31/1882,ILGRCMM,8,8,8,8
12/31/1883,ILGRCMM,8,8,8,8
12/31/1884,ILGRCMM,8,8,8,8
12/31/1885,ILGRCMM,8,8,8,8
12/31/1886,ILGRCMM,8,8,8,8
12/31/1887,ILGRCMM,8,8,8,8
12/31/1888,ILGRCMM,8,8,8,8
12/31/1889,ILGRCMM,8,8,8,8
12/31/1890,ILGRCMM,8,8,7,7
12/31/1891,ILGRCMM,7,7,7,7
12/31/1892,ILGRCMM,7,7,7,7
12/31/1893,ILGRCMM,7,7,7,7
12/31/1894,ILGRCMM,7,7,7,7
12/31/1895,ILGRCMM,7,7,7,7
12/31/1896,ILGRCMM,7,7,7,7
12/31/1897,ILGRCMM,7,7,7,7
12/31/1898,ILGRCMM,7,7,7,7
12/31/1899,ILGRCMM,7,7,7,7
12/31/1900,ILGRCMM,7,7,7,7
12/31/1901,ILGRCMM,7,7,7,7
12/31/1902,ILGRCMM,7,7,7,7
12/31/1903,ILGRCMM,7,7,7,7
12/31/1904,ILGRCMM,7,7,7,7
12/31/1905,ILGRCMM,7,7,7,7
12/31/1906,ILGRCMM,7,7,7,7
12/31/1907,ILGRCMM,7,7,7,7
12/31/1908,ILGRCMM,7,7,7,7
12/31/1909,ILGRCMM,7,7,7,7
12/31/1910,ILGRCMM,7,7,7,7
12/31/1911,ILGRCMM,9,9,9,9
12/31/1912,ILGRCMM,9,9,9,9
12/31/1913,ILGRCMM,9,9,9,9
12/31/1914,ILGRCMM,6.5,6.5,6.5,6.5
12/31/1915,ILGRCMM,6,6,6,6
12/31/1916,ILGRCMM,6,6,6,6
12/31/1917,ILGRCMM,6,6,6,6
12/31/1918,ILGRCMM,6,6,6,6
12/31/1919,ILGRCMM,6,6,6,6
12/31/1920,ILGRCMM,6,6,6,6
12/31/1921,ILGRCMM,6,6,6,6
12/31/1922,ILGRCMM,6,6,6,6
12/31/1923,ILGRCMM,6,6,6,6
12/31/1924,ILGRCMM,6,6,6,6
12/31/1925,ILGRCMM,6,8,6,8
12/31/1926,ILGRCMM,8,8,8,8
12/31/1927,ILGRCMM,8,8,8,8
12/31/1928,ILGRCMM,8,8,8,8
12/31/1929,ILGRCMM,8,8,8,8
12/31/1930,ILGRCMM,8,8,8,8
12/31/1931,ILGRCMM,8,8,8,8
12/31/1932,ILGRCMM,8,8,8,8
12/31/1933,ILGRCMM,8,8,8,8
12/31/1934,ILGRCMM,8,8,8,8
12/31/1935,ILGRCMM,8,8,8,8
12/31/1936,ILGRCMM,8,8,8,8
12/31/1937,ILGRCMM,8,8,8,8
12/31/1938,ILGRCMM,8,8,8,8
12/31/1939,ILGRCMM,8,8,8,8
12/31/1940,ILGRCMM,8,8,8,8
12/31/1941,ILGRCMM,8,8,8,8
12/31/1999,ILGRCMM,10.6,10.6,8,8
12/31/2000,ILGRCMM,7.9,7.9,7.2,7.2
12/31/2001,ILGRCMM,7.11,7.11,5.4,5.4
12/31/2002,ILGRCMM,5.08,5.65,4.94,5.53
12/31/2003,ILGRCMM,5.46,5.46,5.16,5.16
12/31/2004,ILGRCMM,5.17,5.18,4.96,4.96
12/31/2005,ILGRCMM,4.95,4.95,4.72,4.72
12/31/2006,ILGRCMM,4.75,5.13,4.73,5.13
12/31/2007,ILGRCMM,5.15,5.15,5.09,5.11
12/31/2008,ILGRCMM,5.06,5.19,4.87,4.87
12/31/2009,ILGRCMM,4.74,4.74,3.98,3.98
12/31/2010,ILGRCMM,3.93,3.93,3.62,3.68
12/31/2011,ILGRCMM,3.68,3.96,3.68,3.74
12/31/2012,ILGRCMM,3.64,3.64,3.22,3.22
12/31/2013,ILGRCMM,3.2,3.21,3.09,3.13
