Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGIRL10D,Ireland 10-year Government Bond Yield (with GFD Extension),Government Bond Yields,Ireland Pound,Ireland,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jan 1860 To May 1986<BR>Daily From May 1986 To Mar 2022<BR>,"Sources: Commercial and Financial Chronicle (1928-1952), International Statistical Institute, International Abstract of Economic Statistics, London: International Conference of Economic Services (1919-1930) (published 1934) and 1931-1936 (published 1938)), Central Bank of Ireland, Quarterly Bulletin (1947-)  Notes: The British 3% Consol is used from 1860 until February 1897. The British consol paid 3% from August 1753 until December 1888, 2 3/4% from 1889 through 1906. The Ireland 2.75% Guaranteed Land Stock of 1891 Guaranteed by Great Britain, (Redeemable after 1921) (BGIRL27521-LO) is used from March 1897 to December 1904, the Ireland 2.75% Stock, Guaranteed by Great Britain (Redeemable 1933) (BGIRL27504-LO) is used from January 1905 to December 1923, the Irish Free State 5% 1st National Loan of 1923 (Redeemable 1945) (BGIRL51-LO) is used from January 1924 to December 1927, and the Irish Free State 5% 2nd National Loan of 1927 (Redeemable 1929-1960) (BGIRL52-LO) is used from January 1928 to December 1953. Data are annual from June 1950 through 1952, quarterly from I/53 until II/54 and monthly in all other periods.  The 3.5% exchequer bonds of 1950-51 maturing in 1970 are used from 1951 until 1970, and an index of 15-year government bonds is used from 1971 to 1980 when 10-year bonds are used.",
Date,Ticker,Open,High,Low,Close
12/31/1860,IGIRL10D,3.158,3.226,3.158,3.196
12/31/1861,IGIRL10D,3.27,3.361,3.213,3.308
12/31/1862,IGIRL10D,3.237,3.27,3.191,3.241
12/31/1863,IGIRL10D,3.25,3.288,3.209,3.288
12/31/1864,IGIRL10D,3.297,3.421,3.268,3.357
12/31/1865,IGIRL10D,3.35,3.429,3.288,3.429
12/31/1866,IGIRL10D,3.429,3.468,3.338,3.338
12/31/1867,IGIRL10D,3.313,3.313,3.15,3.259
12/31/1868,IGIRL10D,3.213,3.248,3.162,3.248
12/31/1869,IGIRL10D,3.23,3.256,3.204,3.256
12/31/1870,IGIRL10D,3.239,3.306,3.187,3.265
12/31/1871,IGIRL10D,3.239,3.279,3.209,3.252
12/31/1872,IGIRL10D,3.239,3.274,3.221,3.274
12/31/1873,IGIRL10D,3.256,3.261,3.209,3.261
12/31/1874,IGIRL10D,3.256,3.274,3.217,3.274
12/31/1875,IGIRL10D,3.239,3.239,3.166,3.196
12/31/1876,IGIRL10D,3.196,3.196,3.111,3.191
12/31/1877,IGIRL10D,3.15,3.183,3.103,3.152
12/31/1878,IGIRL10D,3.148,3.183,3.119,3.17
12/31/1879,IGIRL10D,3.133,3.133,3.038,3.081
12/31/1880,IGIRL10D,3.053,3.069,2.981,3.042
12/31/1881,IGIRL10D,3.042,3.042,2.927,3.019
12/31/1882,IGIRL10D,3,3.011,2.934,2.967
12/31/1883,IGIRL10D,2.93,3.004,2.93,2.985
12/31/1884,IGIRL10D,2.959,3.023,2.93,3.023
