Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGNLD10D,Netherlands 10-year Government Bond Yield (with GFD Extension),Government Bond Yields,Netherlands Guilder (Euro from 01/01/1999),Netherlands,,,,,,,Percent per Annum,Units,Stock,none,Annual From Dec 1400 To Sep 1788<BR>Monthly From Oct 1788 To Mar 1978<BR>Daily From Apr 1978 To Mar 2022<BR>,"Sources: Paul Schmelzing, Eight Centuries of Global Real interest Rates, R-G, and the 'suprasecular' decline, 1311-2018,' Bank of England Staff Working Paper No. 845;  Sydney Homer, A History of Interest Rates, Princeton: Rutgers, 1963 (1814-1843) The Economist and Banker's Magazine (1844-1918), International Statistical Institute, International Abstract of Economic Statistics, London: International Conference of Economic Services (1919-1930) (published 1934) and 1931-1936 (published 1938), League of Nations, Statistical Yearbook, Geneva: League of Nations (1926-45), Central Bureau of Statistics, Maandschrift (1946-) <br />Notes: Annual data from 1400 to 1788 is taken from Schmelzing. Dutch Debt was refinanced in 1814. At that time, there was 1.2 billion florins of debt in seven denominations ranging from 1.25% to 7% with an annual charge of 42 million florins. Louis Bonaparte reduced the debt by one-third. A new king arrived in Holland in November 1813. A law was passed on May 14, 1814 which consolidated the various bonds into a single issue of 2.5% of which 1/3 became actual debt and 2/3 deferred debt.<br />Data for the Netherlands 2.5% Registered Bond (BGNLD25R-AM) is used from September 1788 to August 1814, the Netherlands 2.5% Werkelijke Schuld (Actual Debt) (BGNLD25W-AM) is used from September 1814 to December 1831, and the Netherlands 2.50% Rentes of 1814-1841 (BGNLD25-LO) is used from January 1832 to June 1930.<br />For domestic yields, an index of public bonds are used from 1919 through 1925. (The index of 4 public bonds from 1919 until 1930 and the index of public and industrial bonds from 1931 until April 1945 are also included). The 3% consol starts again in January 1926.  Quarterly data are used from 1931 until 1934.  No data are available from May 1940 through September 1940 and from September 1944 until December 1945.  The 2 1/2% consol is used from 1946 until 1954, the 3 1/4% issue of 1948 is used from 1955 until October 1964, and an index of the three or five longest running issues of the Dutch government begins in November 1964. Daily data from April 1978 is for the 10-year Benchmark bond.",
Date,Ticker,Open,High,Low,Close
12/31/1400,IGNLD10D,17.29,17.29,17.29,17.29
12/31/1401,IGNLD10D,17.31,17.31,17.31,17.31
12/31/1402,IGNLD10D,17.34,17.34,17.34,17.34
12/31/1403,IGNLD10D,15.5,15.5,15.5,15.5
12/31/1404,IGNLD10D,16.4,16.4,16.4,16.4
12/31/1405,IGNLD10D,16.43,16.43,16.43,16.43
12/31/1406,IGNLD10D,15.41,15.41,15.41,15.41
12/31/1407,IGNLD10D,16.05,16.05,16.05,16.05
12/31/1408,IGNLD10D,16.51,16.51,16.51,16.51
12/31/1409,IGNLD10D,16.54,16.54,16.54,16.54
12/31/1410,IGNLD10D,17.57,17.57,17.57,17.57
12/31/1411,IGNLD10D,16.06,16.06,16.06,16.06
12/31/1412,IGNLD10D,16.63,16.63,16.63,16.63
12/31/1413,IGNLD10D,16.66,16.66,16.66,16.66
12/31/1414,IGNLD10D,16.69,16.69,16.69,16.69
12/31/1415,IGNLD10D,16.71,16.71,16.71,16.71
12/31/1416,IGNLD10D,16.74,16.74,16.74,16.74
12/31/1417,IGNLD10D,16.77,16.77,16.77,16.77
12/31/1418,IGNLD10D,16.8,16.8,16.8,16.8
12/31/1419,IGNLD10D,16.83,16.83,16.83,16.83
12/31/1420,IGNLD10D,16.86,16.86,16.86,16.86
12/31/1421,IGNLD10D,16.89,16.89,16.89,16.89
12/31/1422,IGNLD10D,16.91,16.91,16.91,16.91
12/31/1423,IGNLD10D,16.94,16.94,16.94,16.94
12/31/1424,IGNLD10D,17.97,17.97,17.97,17.97
12/31/1425,IGNLD10D,17,17,17,17
12/31/1426,IGNLD10D,16.7,16.7,16.7,16.7
12/31/1427,IGNLD10D,16.41,16.41,16.41,16.41
12/31/1428,IGNLD10D,15.24,15.24,15.24,15.24
12/31/1429,IGNLD10D,15.81,15.81,15.81,15.81
12/31/1430,IGNLD10D,15.52,15.52,15.52,15.52
12/31/1431,IGNLD10D,15.22,15.22,15.22,15.22
12/31/1432,IGNLD10D,14.93,14.93,14.93,14.93
12/31/1433,IGNLD10D,14.63,14.63,14.63,14.63
12/31/1434,IGNLD10D,14.33,14.33,14.33,14.33
12/31/1435,IGNLD10D,14.04,14.04,14.04,14.04
12/31/1436,IGNLD10D,13.74,13.74,13.74,13.74
12/31/1437,IGNLD10D,13.44,13.44,13.44,13.44
12/31/1438,IGNLD10D,13.15,13.15,13.15,13.15
12/31/1439,IGNLD10D,13.85,13.85,13.85,13.85
12/31/1440,IGNLD10D,11.36,11.36,11.36,11.36
12/31/1441,IGNLD10D,12.26,12.26,12.26,12.26
12/31/1442,IGNLD10D,11.96,11.96,11.96,11.96
12/31/1443,IGNLD10D,11.67,11.67,11.67,11.67
12/31/1444,IGNLD10D,11.37,11.37,11.37,11.37
12/31/1445,IGNLD10D,9.57,9.57,9.57,9.57
12/31/1446,IGNLD10D,10.78,10.78,10.78,10.78
12/31/1447,IGNLD10D,10.48,10.48,10.48,10.48
12/31/1448,IGNLD10D,10.19,10.19,10.19,10.19
12/31/1449,IGNLD10D,9.89,9.89,9.89,9.89
12/31/1450,IGNLD10D,9.59,9.59,9.59,9.59
12/31/1451,IGNLD10D,9.3,9.3,9.3,9.3
12/31/1452,IGNLD10D,9,9,9,9
12/31/1453,IGNLD10D,9,9,9,9
12/31/1454,IGNLD10D,9,9,9,9
12/31/1455,IGNLD10D,7.5,7.5,7.5,7.5
12/31/1456,IGNLD10D,9,9,9,9
12/31/1457,IGNLD10D,9.01,9.01,9.01,9.01
12/31/1458,IGNLD10D,9.01,9.01,9.01,9.01
12/31/1459,IGNLD10D,9.01,9.01,9.01,9.01
12/31/1460,IGNLD10D,9.01,9.01,9.01,9.01
12/31/1461,IGNLD10D,9.01,9.01,9.01,9.01
12/31/1462,IGNLD10D,9.01,9.01,9.01,9.01
12/31/1463,IGNLD10D,9.01,9.01,9.01,9.01
12/31/1464,IGNLD10D,9.02,9.02,9.02,9.02
12/31/1465,IGNLD10D,9.02,9.02,9.02,9.02
12/31/1466,IGNLD10D,9.02,9.02,9.02,9.02
12/31/1467,IGNLD10D,9.02,9.02,9.02,9.02
12/31/1468,IGNLD10D,9.02,9.02,9.02,9.02
12/31/1469,IGNLD10D,9.02,9.02,9.02,9.02
12/31/1470,IGNLD10D,9.03,9.03,9.03,9.03
12/31/1471,IGNLD10D,9.03,9.03,9.03,9.03
12/31/1472,IGNLD10D,9.03,9.03,9.03,9.03
12/31/1473,IGNLD10D,9.03,9.03,9.03,9.03
12/31/1474,IGNLD10D,9.03,9.03,9.03,9.03
12/31/1475,IGNLD10D,9.03,9.03,9.03,9.03
12/31/1476,IGNLD10D,9.03,9.03,9.03,9.03
12/31/1477,IGNLD10D,9.04,9.04,9.04,9.04
12/31/1478,IGNLD10D,9.04,9.04,9.04,9.04
12/31/1479,IGNLD10D,9.04,9.04,9.04,9.04
12/31/1480,IGNLD10D,9.04,9.04,9.04,9.04
12/31/1481,IGNLD10D,9.04,9.04,9.04,9.04
12/31/1482,IGNLD10D,9.04,9.04,9.04,9.04
12/31/1483,IGNLD10D,9.04,9.04,9.04,9.04
12/31/1484,IGNLD10D,9.05,9.05,9.05,9.05
12/31/1485,IGNLD10D,9.05,9.05,9.05,9.05
12/31/1486,IGNLD10D,9.05,9.05,9.05,9.05
12/31/1487,IGNLD10D,9.05,9.05,9.05,9.05
12/31/1488,IGNLD10D,9.05,9.05,9.05,9.05
12/31/1489,IGNLD10D,9.05,9.05,9.05,9.05
12/31/1490,IGNLD10D,9.06,9.06,9.06,9.06
12/31/1491,IGNLD10D,9.06,9.06,9.06,9.06
12/31/1492,IGNLD10D,9.06,9.06,9.06,9.06
12/31/1493,IGNLD10D,9.06,9.06,9.06,9.06
12/31/1494,IGNLD10D,8.06,8.06,8.06,8.06
12/31/1495,IGNLD10D,9.06,9.06,9.06,9.06
12/31/1496,IGNLD10D,9.06,9.06,9.06,9.06
12/31/1497,IGNLD10D,9.07,9.07,9.07,9.07
12/31/1498,IGNLD10D,9.07,9.07,9.07,9.07
12/31/1499,IGNLD10D,9.07,9.07,9.07,9.07
12/31/1500,IGNLD10D,7.07,7.07,7.07,7.07
12/31/1501,IGNLD10D,7.07,7.07,7.07,7.07
12/31/1502,IGNLD10D,7.07,7.07,7.07,7.07
12/31/1503,IGNLD10D,7.07,7.07,7.07,7.07
12/31/1504,IGNLD10D,7.08,7.08,7.08,7.08
12/31/1505,IGNLD10D,8.28,8.28,8.28,8.28
12/31/1506,IGNLD10D,8.2,8.2,8.2,8.2
12/31/1507,IGNLD10D,8.21,8.21,8.21,8.21
12/31/1508,IGNLD10D,8.21,8.21,8.21,8.21
12/31/1509,IGNLD10D,8.21,8.21,8.21,8.21
12/31/1510,IGNLD10D,10.58,10.58,10.58,10.58
12/31/1511,IGNLD10D,8.91,8.91,8.91,8.91
12/31/1512,IGNLD10D,8.38,8.38,8.38,8.38
12/31/1513,IGNLD10D,9.61,9.61,9.61,9.61
12/31/1514,IGNLD10D,10.85,10.85,10.85,10.85
12/31/1515,IGNLD10D,12.09,12.09,12.09,12.09
12/31/1516,IGNLD10D,13.33,13.33,13.33,13.33
12/31/1517,IGNLD10D,10.92,10.92,10.92,10.92
12/31/1518,IGNLD10D,12.13,12.13,12.13,12.13
12/31/1519,IGNLD10D,9.46,9.46,9.46,9.46
12/31/1520,IGNLD10D,8.96,8.96,8.96,8.96
12/31/1521,IGNLD10D,13.5,13.5,13.5,13.5
12/31/1522,IGNLD10D,7.1,7.1,7.1,7.1
12/31/1523,IGNLD10D,13.88,13.88,13.88,13.88
12/31/1524,IGNLD10D,13.63,13.63,13.63,13.63
12/31/1525,IGNLD10D,13.56,13.56,13.56,13.56
12/31/1526,IGNLD10D,13.5,13.5,13.5,13.5
12/31/1527,IGNLD10D,13.44,13.44,13.44,13.44
12/31/1528,IGNLD10D,13.38,13.38,13.38,13.38
12/31/1529,IGNLD10D,13.13,13.13,13.13,13.13
12/31/1530,IGNLD10D,13.38,13.38,13.38,13.38
12/31/1531,IGNLD10D,12.98,12.98,12.98,12.98
12/31/1532,IGNLD10D,12.25,12.25,12.25,12.25
12/31/1533,IGNLD10D,12.18,12.18,12.18,12.18
12/31/1534,IGNLD10D,11.78,11.78,11.78,11.78
12/31/1535,IGNLD10D,11.38,11.38,11.38,11.38
12/31/1536,IGNLD10D,11.38,11.38,11.38,11.38
12/31/1537,IGNLD10D,11.13,11.13,11.13,11.13
12/31/1538,IGNLD10D,10.88,10.88,10.88,10.88
12/31/1539,IGNLD10D,10.46,10.46,10.46,10.46
12/31/1540,IGNLD10D,10.38,10.38,10.38,10.38
12/31/1541,IGNLD10D,10.13,10.13,10.13,10.13
12/31/1542,IGNLD10D,9.13,9.13,9.13,9.13
12/31/1543,IGNLD10D,9.13,9.13,9.13,9.13
12/31/1544,IGNLD10D,11.13,11.13,11.13,11.13
12/31/1545,IGNLD10D,11,11,11,11
12/31/1546,IGNLD10D,7.7,7.7,7.7,7.7
12/31/1547,IGNLD10D,9.13,9.13,9.13,9.13
12/31/1548,IGNLD10D,9.13,9.13,9.13,9.13
12/31/1549,IGNLD10D,8.13,8.13,8.13,8.13
12/31/1550,IGNLD10D,9.13,9.13,9.13,9.13
12/31/1551,IGNLD10D,9.13,9.13,9.13,9.13
12/31/1552,IGNLD10D,10.92,10.92,10.92,10.92
12/31/1553,IGNLD10D,13.78,13.78,13.78,13.78
12/31/1554,IGNLD10D,13.51,13.51,13.51,13.51
12/31/1555,IGNLD10D,12.06,12.06,12.06,12.06
12/31/1556,IGNLD10D,10.17,10.17,10.17,10.17
12/31/1557,IGNLD10D,10.42,10.42,10.42,10.42
12/31/1558,IGNLD10D,10.16,10.16,10.16,10.16
12/31/1559,IGNLD10D,9.65,9.65,9.65,9.65
12/31/1560,IGNLD10D,7.5,7.5,7.5,7.5
12/31/1561,IGNLD10D,7.25,7.25,7.25,7.25
12/31/1562,IGNLD10D,7,7,7,7
12/31/1563,IGNLD10D,6.75,6.75,6.75,6.75
12/31/1564,IGNLD10D,6.5,6.5,6.5,6.5
12/31/1565,IGNLD10D,7.35,7.35,7.35,7.35
12/31/1566,IGNLD10D,6,6,6,6
12/31/1567,IGNLD10D,5.97,5.97,5.97,5.97
12/31/1568,IGNLD10D,5.95,5.95,5.95,5.95
12/31/1569,IGNLD10D,5.92,5.92,5.92,5.92
12/31/1570,IGNLD10D,6.9,6.9,6.9,6.9
12/31/1571,IGNLD10D,5.87,5.87,5.87,5.87
12/31/1572,IGNLD10D,5.84,5.84,5.84,5.84
12/31/1573,IGNLD10D,5.82,5.82,5.82,5.82
12/31/1574,IGNLD10D,5.79,5.79,5.79,5.79
12/31/1575,IGNLD10D,5.76,5.76,5.76,5.76
12/31/1576,IGNLD10D,5.74,5.74,5.74,5.74
12/31/1577,IGNLD10D,5.71,5.71,5.71,5.71
12/31/1578,IGNLD10D,5.69,5.69,5.69,5.69
12/31/1579,IGNLD10D,5.66,5.66,5.66,5.66
12/31/1580,IGNLD10D,5.63,5.63,5.63,5.63
12/31/1581,IGNLD10D,5.61,5.61,5.61,5.61
12/31/1582,IGNLD10D,5.58,5.58,5.58,5.58
12/31/1583,IGNLD10D,5.55,5.55,5.55,5.55
12/31/1584,IGNLD10D,5.53,5.53,5.53,5.53
12/31/1585,IGNLD10D,5.5,5.5,5.5,5.5
12/31/1586,IGNLD10D,5.48,5.48,5.48,5.48
12/31/1587,IGNLD10D,5.45,5.45,5.45,5.45
12/31/1588,IGNLD10D,5.42,5.42,5.42,5.42
12/31/1589,IGNLD10D,5.4,5.4,5.4,5.4
12/31/1590,IGNLD10D,5.37,5.37,5.37,5.37
12/31/1591,IGNLD10D,5.35,5.35,5.35,5.35
12/31/1592,IGNLD10D,5.32,5.32,5.32,5.32
12/31/1593,IGNLD10D,5.29,5.29,5.29,5.29
12/31/1594,IGNLD10D,5.27,5.27,5.27,5.27
12/31/1595,IGNLD10D,5.24,5.24,5.24,5.24
12/31/1596,IGNLD10D,5.21,5.21,5.21,5.21
12/31/1597,IGNLD10D,5.19,5.19,5.19,5.19
12/31/1598,IGNLD10D,5.16,5.16,5.16,5.16
12/31/1599,IGNLD10D,5.14,5.14,5.14,5.14
12/31/1600,IGNLD10D,7.36,7.36,7.36,7.36
12/31/1601,IGNLD10D,7.33,7.33,7.33,7.33
12/31/1602,IGNLD10D,7.31,7.31,7.31,7.31
12/31/1603,IGNLD10D,7.28,7.28,7.28,7.28
12/31/1604,IGNLD10D,7.25,7.25,7.25,7.25
12/31/1605,IGNLD10D,6.48,6.48,6.48,6.48
12/31/1606,IGNLD10D,6.45,6.45,6.45,6.45
12/31/1607,IGNLD10D,6.43,6.43,6.43,6.43
12/31/1608,IGNLD10D,6.4,6.4,6.4,6.4
12/31/1609,IGNLD10D,6.37,6.37,6.37,6.37
12/31/1610,IGNLD10D,5.97,5.97,5.97,5.97
12/31/1611,IGNLD10D,6.27,6.27,6.27,6.27
12/31/1612,IGNLD10D,6.25,6.25,6.25,6.25
12/31/1613,IGNLD10D,6.22,6.22,6.22,6.22
12/31/1614,IGNLD10D,6.19,6.19,6.19,6.19
12/31/1615,IGNLD10D,6.17,6.17,6.17,6.17
12/31/1616,IGNLD10D,6.14,6.14,6.14,6.14
12/31/1617,IGNLD10D,6.11,6.11,6.11,6.11
12/31/1618,IGNLD10D,6.09,6.09,6.09,6.09
12/31/1619,IGNLD10D,6.06,6.06,6.06,6.06
12/31/1620,IGNLD10D,6.04,6.04,6.04,6.04
12/31/1621,IGNLD10D,6.01,6.01,6.01,6.01
12/31/1622,IGNLD10D,5.98,5.98,5.98,5.98
12/31/1623,IGNLD10D,5.96,5.96,5.96,5.96
12/31/1624,IGNLD10D,5.93,5.93,5.93,5.93
12/31/1625,IGNLD10D,5.9,5.9,5.9,5.9
12/31/1626,IGNLD10D,5.88,5.88,5.88,5.88
12/31/1627,IGNLD10D,5.85,5.85,5.85,5.85
12/31/1628,IGNLD10D,5.83,5.83,5.83,5.83
12/31/1629,IGNLD10D,5.8,5.8,5.8,5.8
12/31/1630,IGNLD10D,5.77,5.77,5.77,5.77
12/31/1631,IGNLD10D,5.38,5.38,5.38,5.38
12/31/1632,IGNLD10D,5.35,5.35,5.35,5.35
12/31/1633,IGNLD10D,5.33,5.33,5.33,5.33
12/31/1634,IGNLD10D,5.3,5.3,5.3,5.3
12/31/1635,IGNLD10D,5.28,5.28,5.28,5.28
12/31/1636,IGNLD10D,5.25,5.25,5.25,5.25
12/31/1637,IGNLD10D,5.22,5.22,5.22,5.22
12/31/1638,IGNLD10D,5.2,5.2,5.2,5.2
12/31/1639,IGNLD10D,4.59,4.59,4.59,4.59
12/31/1640,IGNLD10D,4.56,4.56,4.56,4.56
12/31/1641,IGNLD10D,4.54,4.54,4.54,4.54
12/31/1642,IGNLD10D,4.51,4.51,4.51,4.51
12/31/1643,IGNLD10D,4.48,4.48,4.48,4.48
12/31/1644,IGNLD10D,4.46,4.46,4.46,4.46
12/31/1645,IGNLD10D,4.43,4.43,4.43,4.43
12/31/1646,IGNLD10D,4.4,4.4,4.4,4.4
12/31/1647,IGNLD10D,4.38,4.38,4.38,4.38
12/31/1648,IGNLD10D,4.35,4.35,4.35,4.35
12/31/1649,IGNLD10D,4.33,4.33,4.33,4.33
12/31/1650,IGNLD10D,4.3,4.3,4.3,4.3
12/31/1651,IGNLD10D,4.27,4.27,4.27,4.27
12/31/1652,IGNLD10D,4.25,4.25,4.25,4.25
12/31/1653,IGNLD10D,3.72,3.72,3.72,3.72
12/31/1654,IGNLD10D,3.7,3.7,3.7,3.7
12/31/1655,IGNLD10D,3.67,3.67,3.67,3.67
12/31/1656,IGNLD10D,3.64,3.64,3.64,3.64
12/31/1657,IGNLD10D,3.62,3.62,3.62,3.62
12/31/1658,IGNLD10D,3.59,3.59,3.59,3.59
12/31/1659,IGNLD10D,3.56,3.56,3.56,3.56
12/31/1660,IGNLD10D,3.54,3.54,3.54,3.54
12/31/1661,IGNLD10D,3.51,3.51,3.51,3.51
12/31/1662,IGNLD10D,3.49,3.49,3.49,3.49
12/31/1663,IGNLD10D,3.46,3.46,3.46,3.46
12/31/1664,IGNLD10D,3.43,3.43,3.43,3.43
