Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGNOR10D,Norway 10-year Government Bond Yield (with GFD Extension),Government Bond Yields,Norway Krone,Norway,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Mar 1822 To Dec 1985<BR>Daily From Jan 1986 To Mar 2022<BR>,"Sources: The Economist (1876-1917), Statistisk Sentralbyra, Statistisk Arbok, Oslo: Statistisk Sentralbyra and Statistisk Sentralbyra, Statistisk Manedshefte and Statistiske Meldinger, Oslo: Statistisk Sentralbyra (1919-), Klovland, J.T.(2004). 'Bond markets and bond yields in Norway 1820-2003', 99-180,, Historical Monetary Statistics for Norway 1819-2003, Norges Bank Occasional Papers no. 35, Oslo, 2004 <br />Notes; The 6% Bonds of 1822 as traded in Berlin (BGNOR622-BE) are used from March 1822 to January 1824, the 6% Bonds of 1822 as traded in Copenhagen (BGNOR622-KO) are used from February 1824 to December 1824, the Norway 4% Bonds of 1822 (Copenhagen) (BGNOR425-KO) are used from January 1825 to September 1848, the Norway 4% Bonds of 1848 (Hamburg) (BGNOR448-HB) are used from October 1848 to November 1876, the Norway 4.50% Bond of 1876 (Redeemable 1887-1917) (BGNOR4576-LO) are used from December 1876 to May 1880, the Norway 4% Bond of 1880 (Redeemable 1934) (BGNOR480-LO) are used from June 1880 to March 1887, the Norway 3.5% Conversion Loan of 1886, Now 3% (Redeemable 1967) (BGNOR3586A-LO) is used from April 1887 to April 1928, the Norway 5% External Bonds of 1928 due March 1963 (BGNOR563) is used from May 1928 to June 1936, the Norway 4.25% New S.F. External Bonds due 1965 (BGNOR42565) is used from July 1936 to April 1963 and the Norway 5.25% External Loan of 1963 due 1978 (BGNOR52578) is ued from May 1963 to November 1972.<br />For internal yields, an index of six 5% bonds is used from 1919 to 1933, and from 1934 until June 1940, 4 1/2% bonds are used.  From July 1940 until 1943, 3.6% bonds are used, and from 1944 until June 1946 3 1/2% bonds are used.  The yields from July 1946 until 1956 are 1% greater than the actual yields because the government bonds paid an artificially low 2 1/2% during this period.  The 4% bond of 1955 maturing in 1975 is used beginning in June 1956. The 5% bond of 1961-96 is used beginning in 1962, and an index of 6-10 year government bonds is used beginning in 1981. Series with yields other than 10 years are based upon the calculations of J. T. Klovland.",
Date,Ticker,Open,High,Low,Close
12/31/1822,IGNOR10D,6.41,6.54,6.09,6.35
12/31/1823,IGNOR10D,6.33,6.52,6.11,6.11
12/31/1824,IGNOR10D,5.74,5.74,5.08,5.2
12/31/1825,IGNOR10D,5.17,5.87,4.87,5.87
12/31/1826,IGNOR10D,5.91,6.12,5.28,5.28
12/31/1827,IGNOR10D,5.01,5.12,4.37,4.37
12/31/1828,IGNOR10D,4.38,4.49,4.28,4.46
12/31/1829,IGNOR10D,4.42,4.51,4.06,4.06
12/31/1830,IGNOR10D,4.06,4.34,3.97,4.34
12/31/1831,IGNOR10D,4.25,4.27,4.08,4.13
12/31/1832,IGNOR10D,4.06,4.31,4.06,4.23
12/31/1833,IGNOR10D,4.18,4.18,4.06,4.06
12/31/1834,IGNOR10D,4.06,4.15,3.92,3.92
12/31/1835,IGNOR10D,3.89,3.95,3.8,3.87
12/31/1836,IGNOR10D,3.87,3.87,3.76,3.87
12/31/1837,IGNOR10D,3.86,3.86,3.75,3.79
12/31/1838,IGNOR10D,3.77,3.79,3.76,3.78
12/31/1839,IGNOR10D,3.78,4.06,3.72,4.06
12/31/1840,IGNOR10D,3.83,3.88,3.71,3.75
12/31/1841,IGNOR10D,3.75,3.79,3.62,3.72
12/31/1842,IGNOR10D,3.78,4.07,3.78,4.06
12/31/1843,IGNOR10D,4.06,4.06,4.06,4.06
12/31/1844,IGNOR10D,4.06,4.06,4.06,4.06
12/31/1845,IGNOR10D,4.06,4.06,4.06,4.06
12/31/1846,IGNOR10D,4.06,4.26,4.06,4.06
12/31/1847,IGNOR10D,4.06,4.06,4.06,4.06
12/31/1848,IGNOR10D,4.06,4.56,4.06,4.51
12/31/1849,IGNOR10D,4.42,4.42,4.1,4.15
12/31/1850,IGNOR10D,4.15,4.15,4.06,4.06
12/31/1851,IGNOR10D,3.85,4.28,3.85,4.28
12/31/1852,IGNOR10D,4.25,4.27,4.13,4.16
12/31/1853,IGNOR10D,4.06,4.28,4.01,4.23
12/31/1854,IGNOR10D,4.18,4.81,4.18,4.29
12/31/1855,IGNOR10D,4.26,4.3,4.06,4.3
12/31/1856,IGNOR10D,4.3,4.5,4.27,4.42
12/31/1857,IGNOR10D,4.33,5.16,4.28,5.01
12/31/1858,IGNOR10D,4.58,4.77,4.56,4.77
12/31/1859,IGNOR10D,4.73,4.87,4.59,4.62
