Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGPRT10D,Portugal 10-year Government Bond Yield (with GFD Extension),Government Bond Yields,Portugal Escudo (Euro from 01/01/1999),Portugal,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jan 1806 To Sep 1988<BR>Daily From Oct 1988 To Mar 2022<BR>,"Sources: The Times, London, The Economist and Banker`s Magazine (1844-1930), League of Nations, Statistical Yearbook, Geneva: League of Nations (1931-45), Bank of Portugal, Quarterly Bulletin (1946-)<br />Notes: The Portugal 5% Bond (Amsterdam SE) (BGPRT5-AM) is used from August 1803 to December 1815, the Portugal 5% Loan of 1823 (BGPRT523-LO) is used from December 1823 to September 1833, the Portugal 5% Loan of 1833 (BGPRT533-LO) is used from October 1833 to December 1839, the Portugal 3% Irredeemable Loan of 1834 (BGPRT3-LO) is used from January 1840 to September 1842, the Portugal 5% Converted Loan of 1841 (BGPRT541-LO) is used from October 1842 to July 1856, the Portugal 3% Irredeemable Loan of 1834 is used from August 1856 to December 1869, the Portugal 3% Irredeemable Loan is used from January 1870 to November 1902, the Portuguese Unified 3% External Debt of 1902 - 1st Series (Redeemable 2001) is used from December 1902 to May 1954.<br />For domestic quotes, the yield to maturity of the 4 percent Centenary Loan of 1940 maturing in 1980 is used from July 1940 until 1980. After a military coup on April 24, 1975, the Lisbon and Porto stock exchanges were closed until December 1975. Bond yields are interpolated during those two years. An index of public debt bonds with a maturity of over 2 years is used from 1980 through August 1989.  From September 1989 to June 1993, yields of public debt securities, subject to withholding tax which excludes investment and pension funds.  Beginning in October 1988 daily data is provided for 10-year benchmark bonds.<br />Portugal defaulted on its debt in 1834, though the Brazilian government made payments on the Bonds of 1823 and 1833. In 1841, there was a general conversion of debt into 5% Bonds, which would pay 2.5% from July 1841 to 1845, 3% from July 1845 to 1849, 4% from July 1849 to 1853, and 5% from July 1853 until 1857 and 6% thereafter until the debt was paid off. In 1845, the stock was converted into a permanent 4% Stock. About 65% of bondholders accepted this scheme, and in 1850 and 1851, the government defaulted on bondholders who rejected the scheme. In 1852, however, the Portuguese government forced bondholders to convert to 3% bonds.  Portugal subsequently issued all loans at 3%.  In 1892, Portugal reduced the interest rate by 30% from 3% to 2.1% on internal loans and to 1% on external loans. In 1903, Portugal unified its debt with old 1853 bondholders receiving one-half new bond for each old bond, and began paying 3% interest once again, which it continued to do until those bonds were retired.",
Date,Ticker,Open,High,Low,Close
12/31/1806,IGPRT10D,5.195,5.405,5.025,5.181
12/31/1807,IGPRT10D,5.155,5.249,5.051,5.249
12/31/1808,IGPRT10D,5.263,5.291,5.115,5.115
12/31/1809,IGPRT10D,5.076,5.102,5.051,5.051
12/31/1810,IGPRT10D,5.013,5.435,5.013,5.083
12/31/1811,IGPRT10D,5.089,5.141,5,5
12/31/1812,IGPRT10D,5.319,6.39,5.319,6.39
12/31/1813,IGPRT10D,6.39,6.39,5.682,5.952
12/31/1814,IGPRT10D,5.682,6.25,5.682,5.747
12/31/1815,IGPRT10D,5.556,5.682,5.208,5.236
12/31/1823,IGPRT10D,5.747,5.747,5.747,5.747
12/31/1824,IGPRT10D,5.747,5.801,5.222,5.658
12/31/1825,IGPRT10D,5.602,6.579,5.502,6.579
12/31/1826,IGPRT10D,6.711,7.353,6.27,6.711
12/31/1827,IGPRT10D,6.797,6.969,6.359,6.969
12/31/1828,IGPRT10D,6.993,9.39,6.728,9.302
12/31/1829,IGPRT10D,9.524,11.976,8.403,8.403
12/31/1830,IGPRT10D,8.097,12.5,8.065,12.5
12/31/1831,IGPRT10D,11.364,11.905,9.804,10.204
12/31/1832,IGPRT10D,10.309,10.526,8.929,10.256
12/31/1833,IGPRT10D,9.95,9.95,6.557,8.791
12/31/1834,IGPRT10D,8.214,8.214,5.727,5.908
12/31/1835,IGPRT10D,5.394,5.939,4.947,5.939
12/31/1836,IGPRT10D,5.979,7.692,5.865,7.449
12/31/1837,IGPRT10D,7.042,7.634,6.993,7.634
12/31/1838,IGPRT10D,7.813,7.813,6.667,6.944
12/31/1839,IGPRT10D,7.018,7.813,6.734,7.813
12/31/1840,IGPRT10D,12.766,13.953,12.121,13.953
12/31/1841,IGPRT10D,14.907,16.667,14.815,15.19
12/31/1842,IGPRT10D,15,15.584,7.299,7.299
12/31/1843,IGPRT10D,6.849,6.849,5.556,5.556
12/31/1844,IGPRT10D,5.249,5.747,4.098,4.098
12/31/1845,IGPRT10D,6.765,7.08,5.926,6.695
12/31/1846,IGPRT10D,6.737,10.811,6.737,10.811
12/31/1847,IGPRT10D,11.636,18.605,11.636,17.204
12/31/1848,IGPRT10D,14.815,26.667,14.815,15.534
12/31/1849,IGPRT10D,14.815,15.534,10.997,10.997
12/31/1850,IGPRT10D,10.829,12.598,10.829,11.429
12/31/1851,IGPRT10D,11.429,12.598,11.268,11.985
12/31/1852,IGPRT10D,8.905,9.125,7.362,7.362
12/31/1853,IGPRT10D,7.742,7.742,6.704,7.018
12/31/1854,IGPRT10D,7.818,9.091,6.936,7.143
12/31/1855,IGPRT10D,7.059,7.229,6.383,6.383
12/31/1856,IGPRT10D,6.25,6.828,5.825,6.612
12/31/1857,IGPRT10D,6.818,6.877,6.383,6.593
12/31/1858,IGPRT10D,6.667,6.667,6.202,6.202
12/31/1859,IGPRT10D,6.593,7.5,6.486,6.522
12/31/1860,IGPRT10D,6.818,6.977,6.375,6.443
12/31/1861,IGPRT10D,6.548,6.63,6.218,6.522
12/31/1862,IGPRT10D,6.383,6.897,6.138,6.138
12/31/1863,IGPRT10D,6.349,6.349,6.015,6.099
12/31/1864,IGPRT10D,6.291,6.469,6.13,6.25
12/31/1865,IGPRT10D,6.366,6.531,6.107,6.417
12/31/1866,IGPRT10D,6.531,7.101,6.531,7.018
12/31/1867,IGPRT10D,6.916,7.643,6.916,7.547
12/31/1868,IGPRT10D,7.524,8.108,7.207,7.947
12/31/1869,IGPRT10D,8.276,9.091,8,8.889
12/31/1870,IGPRT10D,9.108,11.111,8.759,9.677
12/31/1871,IGPRT10D,9.023,9.266,7.869,7.869
12/31/1872,IGPRT10D,7.792,7.792,6.946,6.946
12/31/1873,IGPRT10D,7.196,7.571,6.751,6.751
12/31/1874,IGPRT10D,6.857,6.857,6.076,6.186
12/31/1875,IGPRT10D,6.266,6.266,5.424,5.424
12/31/1876,IGPRT10D,5.634,5.769,5.505,5.505
12/31/1877,IGPRT10D,5.728,5.978,5.568,5.882
12/31/1878,IGPRT10D,6.076,6.076,5.66,5.985
12/31/1879,IGPRT10D,6.084,6.084,5.621,5.621
12/31/1880,IGPRT10D,5.742,5.926,5.701,5.721
12/31/1881,IGPRT10D,5.875,5.875,5.479,5.517
12/31/1882,IGPRT10D,5.811,5.811,5.517,5.543
12/31/1883,IGPRT10D,5.674,5.735,5.556,5.667
12/31/1884,IGPRT10D,5.811,6.283,5.755,6.202
12/31/1885,IGPRT10D,6.593,7.007,6.434,6.575
12/31/1886,IGPRT10D,6.818,6.818,5.43,5.442
12/31/1887,IGPRT10D,5.882,5.882,5.178,5.24
12/31/1888,IGPRT10D,5.101,5.101,4.62,4.62
12/31/1889,IGPRT10D,4.697,4.697,4.42,4.58
12/31/1890,IGPRT10D,4.734,5.184,4.706,5.128
12/31/1891,IGPRT10D,5.405,9.231,5.286,9.057
12/31/1892,IGPRT10D,3.433,4.396,3.433,4.396
12/31/1893,IGPRT10D,4.706,5.047,4.348,5.047
12/31/1894,IGPRT10D,5.031,5.031,3.81,4.082
12/31/1895,IGPRT10D,4.02,4.02,3.653,3.96
12/31/1896,IGPRT10D,3.922,4,3.687,3.922
12/31/1897,IGPRT10D,4.167,4.848,4.167,4.819
12/31/1898,IGPRT10D,4.938,5.797,4.124,4.124
12/31/1899,IGPRT10D,4.211,4.324,3.67,4.324
12/31/1900,IGPRT10D,4.372,4.444,4,4.02
12/31/1901,IGPRT10D,4.188,4.188,3.687,3.687
12/31/1902,IGPRT10D,3.687,4.762,3.162,4.762
12/31/1903,IGPRT10D,4.607,4.839,4.607,4.633
12/31/1904,IGPRT10D,4.651,5.172,4.545,4.545
12/31/1905,IGPRT10D,4.494,4.494,4.27,4.286
12/31/1906,IGPRT10D,4.348,4.348,4.167,4.211
12/31/1907,IGPRT10D,4.27,4.8,4.27,4.58
12/31/1908,IGPRT10D,4.762,5.085,4.598,4.918
12/31/1909,IGPRT10D,5.128,5.128,4.58,4.58
12/31/1910,IGPRT10D,4.615,4.615,4.38,4.511
12/31/1911,IGPRT10D,4.615,4.615,4.428,4.528
12/31/1912,IGPRT10D,4.58,4.724,4.537,4.615
