Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGSWE10D,Sweden 10-year Government Bond Yield (with GFD Extension),Government Bond Yields,Sweden Krona,Sweden,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Sep 1788 To Aug 1984<BR>Weekly From Sep 1984 To Dec 1986<BR>Daily From Jan 1987 To Mar 2022<BR>,"Sources: The Economist (1868-1919), International Statistical Institute, International Abstract of Economic Statistics, London: International Conference of Economic Services (1919-1930) (published 1934) and 1931-1936 (published 1938), League of Nations, Statistical Yearbook, Geneva: League of Nations (1937-45), Sveriges Riksbank, Quarterly Review (1946-) <br />Notes: The Sweden 4% Provincial Mortgage Bond of 1853 (Redeemable 1894) (BGSWE453-LO) is used from September 1853 to March 1865, the Sweden 4.50% Government Loan of 1864 (Redeemable 1881) (BGSWE4564-LO) is used from April 1865 to May 1880, the Sweden 3.50% Bonds of 1880 (4% until October 1, 1895) (Redeemable 1930) (BGSWE3580-LO) is used from June 1880 to December 1888, the Sweden 3% Bond of 1888 (BGSWE388-LO) is used from January 1889 to December 1906, the Sweden 3.50% Bonds of 1880 (4% until October 1, 1895) (Redeemable 1930) (BGSWE3580-LO) is used from January 1907 to December 1929. <br />For domestic quotes, from 1918 until 1929, an average of 7 government loans is used, and from January 1930 until July 1934, an average of 6 government loans is used.  From August 1934 until October 1937, the 3% loan of 1888 is used, and beginning in November 1937, the 3% consol of 1934 is used. Beginning in 1957, the average yield on bonds maturing in 15 years or more is used, and beginning in 1980, 10-year government bonds are used.",
Date,Ticker,Open,High,Low,Close
12/31/1788,IGSWE10D,5.051,5.051,4.975,5
12/31/1789,IGSWE10D,5.025,5.236,5.025,5.236
12/31/1790,IGSWE10D,5.155,5.236,5.155,5.236
12/31/1791,IGSWE10D,5.222,5.222,4.914,4.957
12/31/1792,IGSWE10D,4.975,5.102,4.878,4.938
12/31/1793,IGSWE10D,4.95,5.115,4.95,5.07
12/31/1794,IGSWE10D,5.128,5.263,5.07,5.208
12/31/1795,IGSWE10D,5.031,5.031,5.031,5.031
12/31/1796,IGSWE10D,5.025,5.291,5.025,5.128
12/31/1797,IGSWE10D,5.051,5.435,5.051,5.168
12/31/1798,IGSWE10D,5.168,5.263,5.168,5.195
12/31/1799,IGSWE10D,5.195,5.587,5.195,5.263
12/31/1800,IGSWE10D,5.236,5.319,5.128,5.128
12/31/1801,IGSWE10D,5.236,5.326,5.057,5.057
12/31/1802,IGSWE10D,5.025,5.155,5.025,5.051
12/31/1803,IGSWE10D,4.963,5.025,4.938,4.938
12/31/1804,IGSWE10D,4.926,5.051,4.89,4.944
12/31/1805,IGSWE10D,4.914,5.181,4.914,5.128
12/31/1806,IGSWE10D,5.051,5.457,5,5.457
12/31/1807,IGSWE10D,5.525,5.525,5.115,5.135
12/31/1808,IGSWE10D,5.319,5.952,5.305,5.848
12/31/1809,IGSWE10D,5.961,6.944,5.961,6.41
12/31/1810,IGSWE10D,6.211,12.346,6.211,12.346
12/31/1811,IGSWE10D,12.903,14.925,10.87,10.87
12/31/1812,IGSWE10D,10.417,25.641,10.417,21.277
12/31/1813,IGSWE10D,25,25,13.514,13.514
12/31/1814,IGSWE10D,11.494,14.706,10.309,12.048
12/31/1815,IGSWE10D,11.364,20.833,11.364,17.857
12/31/1816,IGSWE10D,17.857,18.182,15.625,15.625
12/31/1817,IGSWE10D,12.346,12.346,12.346,12.346
12/31/1853,IGSWE10D,4.348,4.372,4.295,4.372
12/31/1854,IGSWE10D,4.372,4.969,4.372,4.678
12/31/1855,IGSWE10D,4.678,5.263,4.435,4.539
12/31/1856,IGSWE10D,4.539,4.706,4.539,4.706
12/31/1857,IGSWE10D,4.706,4.878,4.598,4.661
12/31/1858,IGSWE10D,4.661,4.848,4.545,4.545
12/31/1859,IGSWE10D,4.651,4.938,4.651,4.878
12/31/1860,IGSWE10D,4.706,4.819,4.706,4.79
12/31/1861,IGSWE10D,4.79,4.878,4.79,4.878
12/31/1862,IGSWE10D,4.878,4.878,4.878,4.878
12/31/1863,IGSWE10D,4.878,4.878,4.878,4.878
12/31/1864,IGSWE10D,4.878,4.878,4.878,4.878
12/31/1865,IGSWE10D,4.878,5.172,4.878,5.114
12/31/1866,IGSWE10D,5.114,5.114,5.114,5.114
12/31/1867,IGSWE10D,5.114,5.233,5.114,5.172
12/31/1868,IGSWE10D,5.172,5.422,5.143,5.233
12/31/1869,IGSWE10D,5.202,5.202,4.986,4.986
12/31/1870,IGSWE10D,4.945,5,4.945,5
12/31/1871,IGSWE10D,5,5,4.839,4.839
12/31/1872,IGSWE10D,4.839,4.865,4.762,4.839
12/31/1873,IGSWE10D,4.839,4.839,4.839,4.839
12/31/1874,IGSWE10D,4.839,4.839,4.369,4.397
12/31/1875,IGSWE10D,4.397,4.481,4.397,4.481
12/31/1876,IGSWE10D,4.453,4.591,4.453,4.591
12/31/1877,IGSWE10D,4.624,4.624,4.549,4.549
12/31/1878,IGSWE10D,4.539,4.629,4.539,4.629
12/31/1879,IGSWE10D,4.629,4.629,4.357,4.357
12/31/1880,IGSWE10D,4.333,4.333,4.086,4.086
12/31/1881,IGSWE10D,4.065,4.065,4.065,4.065
12/31/1882,IGSWE10D,4.065,4.11,4.065,4.11
12/31/1883,IGSWE10D,4.113,4.134,4.088,4.088
12/31/1884,IGSWE10D,4.088,4.134,4.065,4.124
12/31/1885,IGSWE10D,4.118,4.118,3.979,3.979
12/31/1886,IGSWE10D,3.97,3.97,3.871,3.871
12/31/1887,IGSWE10D,3.871,3.902,3.84,3.871
12/31/1888,IGSWE10D,3.84,3.84,3.6,3.6
12/31/1889,IGSWE10D,3.6,3.6,3.573,3.582
12/31/1890,IGSWE10D,3.573,3.677,3.573,3.677
12/31/1891,IGSWE10D,3.703,3.871,3.703,3.844
12/31/1892,IGSWE10D,3.826,3.872,3.81,3.861
12/31/1893,IGSWE10D,3.893,3.893,3.657,3.74
12/31/1894,IGSWE10D,3.74,3.74,3.6,3.6
12/31/1895,IGSWE10D,3.6,3.601,3.573,3.582
12/31/1896,IGSWE10D,3.586,3.586,3.521,3.547
12/31/1897,IGSWE10D,3.538,3.547,3.521,3.547
12/31/1898,IGSWE10D,3.538,3.622,3.529,3.622
12/31/1899,IGSWE10D,3.582,3.78,3.582,3.78
12/31/1900,IGSWE10D,3.731,3.871,3.721,3.871
12/31/1901,IGSWE10D,3.81,3.82,3.692,3.75
12/31/1902,IGSWE10D,3.692,3.692,3.655,3.664
12/31/1903,IGSWE10D,3.673,3.683,3.655,3.664
12/31/1904,IGSWE10D,3.673,3.75,3.673,3.673
12/31/1905,IGSWE10D,3.696,3.789,3.683,3.789
12/31/1906,IGSWE10D,3.78,3.871,3.75,3.871
12/31/1907,IGSWE10D,3.799,4.138,3.799,4.138
12/31/1908,IGSWE10D,4,4.056,3.934,3.934
12/31/1909,IGSWE10D,3.934,3.956,3.81,3.83
12/31/1910,IGSWE10D,3.83,3.949,3.83,3.949
12/31/1911,IGSWE10D,3.956,4,3.913,3.978
12/31/1912,IGSWE10D,3.978,4.091,3.978,4.091
12/31/1913,IGSWE10D,4.091,4.39,4.091,4.39
12/31/1914,IGSWE10D,4.39,4.8,4.364,4.768
12/31/1915,IGSWE10D,4.8,5.373,4.675,5.373
12/31/1916,IGSWE10D,5.333,5.475,4.932,5.053
12/31/1917,IGSWE10D,5.07,5.455,5.053,5.455
12/31/1918,IGSWE10D,5.482,5.556,5.348,5.52
12/31/1919,IGSWE10D,5.49,5.56,5.28,5.46
12/31/1920,IGSWE10D,5.43,6.67,5.43,6.49
12/31/1921,IGSWE10D,5.9,6.21,5.47,5.47
12/31/1922,IGSWE10D,5.13,5.13,4.53,4.76
12/31/1923,IGSWE10D,4.65,5,4.65,4.83
12/31/1924,IGSWE10D,4.81,5.02,4.79,5
