Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGGBR10D,United Kingdom 10-year Government Bond Yield (with GFD Extension),Government Bond Yields,United Kingdom Pound,United Kingdom,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jul 1700 To Jun 1934<BR>Daily From Jul 1934 To Mar 2022<BR>,"Sources: Central Statistical Office, Annual Abstract of Statistics, London: CSO (1853-), the Financial Times, and the Bank of England. <br />Several sources are used for the yield on British government securities.  From July 1700 until June 1729, the dividend yield on Million Bank stock is used, assuming a dividend of 6% through 1716, and 5% from 1717 through 1729.  This is used because the Million Bank (MLBK1-LO) had been taken over by the government and the bank acted as a mutual fund that owned a large portion of government paper.  It provides the best proxy for a risk-free government bond during that period, according to Larry Neal. From July 1729 through July 1753, the 3% annuities` yield is used, and from August 1753 on, the British consol is used.  The British consol paid 3% from August 1753 until December 1888, 2 3/4% from 1889 through 1906, and 2 1/2% beginning in 1907. The United Kingdom 2.5% Consolidated Loan (BGGBR25C-LO) is used from July 1729 to June 2015 when the British government called in all outstanding perpetuities. <br />The United Kingdom 3% Funding Loan of 1934 (Redeemable 1959-1969) (BGGBR3F59-LO) is used from July 1934 until July 1947 and the United Kingdom 2.50% Treasury Bonds of 1947 (Redeemable after 1975) (BGGBR25T-LO) is used from August 1947 until December 1978.  The Bank of England`s index of 10-year bonds is used from January 1979 to date.<br />The benchmark bond is used for this series.  The benchmark bond is the bond that is closest to the stated maturity without exceeding it.  When the government issues a new bond of the stated maturity, it replaces the bond used for the index to keep the maturity as close to the stated time period as possible.  Depending on how much of a difference there is in maturities, there may be some adjustment in the yield when the new bond is introduced.",
Date,Ticker,Open,High,Low,Close
12/31/1700,IGGBR10D,5.435,6.349,5.195,6.349
12/31/1701,IGGBR10D,8.264,8.929,7.782,8.264
12/31/1702,IGGBR10D,8.403,8.547,6.557,6.557
12/31/1703,IGGBR10D,6.623,6.78,5.291,5.714
12/31/1704,IGGBR10D,5.78,6.098,5.51,5.917
12/31/1705,IGGBR10D,5.97,6.211,5.935,5.97
12/31/1706,IGGBR10D,6.27,6.41,5.831,6.41
12/31/1707,IGGBR10D,6.452,6.472,6.006,6.116
12/31/1708,IGGBR10D,6.061,6.667,6.006,6.667
12/31/1709,IGGBR10D,6.494,6.849,6.154,6.78
12/31/1710,IGGBR10D,6.803,7.576,6.369,7.576
12/31/1711,IGGBR10D,7.547,8.621,7.547,8.13
12/31/1712,IGGBR10D,8.197,8.333,7.22,7.22
12/31/1713,IGGBR10D,7.353,7.353,5.682,5.952
12/31/1714,IGGBR10D,6.098,6.309,5.333,5.333
12/31/1715,IGGBR10D,6.486,6.557,6,6.486
12/31/1716,IGGBR10D,6.504,6.504,5.455,5.581
12/31/1717,IGGBR10D,4.651,4.785,4.098,4.098
12/31/1718,IGGBR10D,3.968,4.219,3.968,4.098
12/31/1719,IGGBR10D,4.098,4.264,3.937,3.937
12/31/1720,IGGBR10D,3.831,3.831,1.176,2.857
12/31/1721,IGGBR10D,2.857,4.762,2.857,4.762
12/31/1722,IGGBR10D,4.762,5.495,4.762,5.495
12/31/1723,IGGBR10D,5.495,5.495,4.902,4.902
12/31/1724,IGGBR10D,4.762,4.808,4.545,4.545
12/31/1725,IGGBR10D,4.545,4.545,4.167,4.31
12/31/1726,IGGBR10D,4.545,5.051,4.545,5.051
12/31/1727,IGGBR10D,5,5,4.545,4.902
12/31/1728,IGGBR10D,4.762,4.762,4.608,4.762
12/31/1729,IGGBR10D,3.791,3.846,3.158,3.158
12/31/1730,IGGBR10D,3.085,3.183,3.053,3.061
12/31/1731,IGGBR10D,3.141,3.183,3.077,3.077
12/31/1732,IGGBR10D,3.093,3.093,2.957,2.957
12/31/1733,IGGBR10D,2.974,3.297,2.893,3.261
12/31/1734,IGGBR10D,3.315,3.399,3.175,3.175
12/31/1735,IGGBR10D,3.268,3.268,3.008,3.008
12/31/1736,IGGBR10D,2.972,2.972,2.844,2.85
12/31/1737,IGGBR10D,2.847,2.847,2.804,2.81
12/31/1738,IGGBR10D,2.804,2.948,2.804,2.83
12/31/1739,IGGBR10D,2.867,3.093,2.844,3
12/31/1740,IGGBR10D,3.046,3.046,2.941,3.03
12/31/1741,IGGBR10D,3.038,3.046,2.952,3
12/31/1742,IGGBR10D,3.042,3.042,2.941,2.943
12/31/1743,IGGBR10D,2.967,2.993,2.881,2.927
12/31/1744,IGGBR10D,3.008,3.31,3.008,3.209
12/31/1745,IGGBR10D,3.371,3.704,3.217,3.704
