Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
IGUSA10D,USA 10-year Bond Constant Maturity Yield (with GFD Extension),Government Bond Yields,United States Dollar,United States,,,,,,,Percent per Annum,Units,Stock,none,Monthly From Jul 1786 To Dec 1961<BR>Daily From Jan 1962 To Mar 2022<BR>,"Sources: Richard E. Sylla, Jack Wilson and Robert E. Wright, Price Quotations in Early U.S. Securities Markets, 1790-1860, Hunt's Merchants Magazine (1843-1853), The Economist (1854-1861), The Financial Review (1862-1918), Federal Reserve Bank, National Monetary Statistics, New York: FRB, 1941, 1970 (annually thereafter); and Salomon Brothers, Analytical Record of Yields and Yield Spreads, New York: Salomon Brothers, 1995  Notes: The United States defaulted on its debt during the Revolutionary War and remained in default until its finances were reorganized by Alexander Hamilton through the Funding Act of 1790. The federal government assumed all the debts of the individual states and refunded the debt with 4/9ths in 6% bonds (trading at 70), 1/3rd in 3% bonds (trading at 36.75) and 2/9ths in Deferred 6% bonds (trading at 30) that didn't pay any interest until 1800. This worked out to $50 in exchange for $60 in Depreciated Unfunded or Continental Currency Bonds.  The United States 6% Depreciated Unfunded Bonds (BGUSA6DU) are used from August 1786 to September 1790 and paid no interest. The United States 3% Bonds of 1790 (BGUSA3S) are used from October 1790 to December 1832. From 1790 to 1832, the government generally ran surpluses and redeemed its outstanding debt.  By 1833, no debt was outstanding and no federal government bonds traded between 1833 and 1842. New York had the largest and most liquid debt during this period of time, so the New York 5% Canal Bonds due 1845 (BSNY5C45) is used between January 1833 and November 1842. New government bonds were introduced in 1843 and the federal government has had outstanding debt ever since. The United States 6% Bonds due 1862 (BGUSA662) are used between December 1842 and June 1848, the United States 6% Bonds of 1868 (BGUSA668) are used between July 1848 and July 1858, the United States 5% Bonds due 1874 (BGUSA574) are used between August 1858 and October 1860, the United States 6% Bonds of 1881 (BGUSA681) are used between November 1860 and December 1869, the United States 6% Bonds of 1896 Registered (BGUSA696) are used between January 1870 and June 1877, the United States 4% Bonds of 1907 with Coupons (BGUSA407C) are used between July 1877 and December 1895, the United States 4% Bonds of 1925 with Coupons (BGUSA425C) are used between January 1896 and November 1917, the United States 4% Liberty Loan of 1932-47 with coupons (BGUSA4L47) are used between November  1917 and December 1918. Beginning in 1919, the Federal Reserve Board's 10-15 year Treasury Bond index is used. 10 year bonds are used beginning in 1941.  Data for 1872 through 1918 are taken from the Financial Review. The interest rate series dating back to 1919 are taken from the Federal Reserve, National Monetary Statistics, New York: Federal Reserve Board which was published in 1941, 1970 and annually since then. <br />From 1941 on, the Fed's Index of 10-year bonds is used.The source for this data is William B. Dana Co., The Financial Review, New York: William B. Dana Co. (1872-1921) which reprinted data published by The Commercial and Financial Chronicle. <br />The Commercial Paper data for 1835 through 1871 are taken from Walter B. Smith and Arthur H. Cole, Fluctuations in American Business, Cambridge: Harvard Univ. Press, 1935, and the Broker Call money data are taken from F. R. Macaulay, The Movements of Interest Rates, Bond Yield, and Stock Prices in the United States since 1856, New York: National Bureau of Economic Research, 1938. Yields on Treasury nominal securities at 'constant maturity' are interpolated by the U.S. Treasury from the daily yield curve for non-inflation-indexed Treasury securities. This curve, which relates the yield on a security to its time to maturity, is based on the closing market bid yields on actively traded Treasury securities in the over-the-counter market. <br />These market yields are calculated from composites of quotations obtained by the Federal Reserve Bank of New York. The constant maturity yield values are read from the yield curve at fixed maturities, currently 1, 3 and 6 months and 1, 2, 3, 5, 7, 10 and 20 years. This method provides a yield for a 10-year maturity, for example, even if no outstanding security has exactly 10 years remaining to maturity. Similarly, yields on inflation-indexed securities at 'constant maturity' are interpolated from the daily yield curve for Treasury inflation protected securities in the over-the-counter market. The inflation-indexed constant maturity yields are read from this yield curve at fixed maturities, currently 5, 7, 10, and 20 years. Yields on treasury securities at constant, fixed maturity are constructed by the treasury department, based on the most actively traded marketable Treasury securities. Yields on these issues are based on composite quotes reported by U.S. government securities dealers to the Federal Reserve Bank of New York. To obtain the constant maturity yields, personnel at treasury construct a yield curve each business day and yield values are then read from the curve at fixed maturities.Although the bond yield calculated by the Fed uses a constant maturity bond which is always exactly ten years from maturity, because the Fed does not provide the coupon on the underlying securities for their constant maturity yield, it is not possible to provide the duration.",
Date,Ticker,Open,High,Low,Close
12/31/1786,IGUSA10D,16,20,16,20
12/31/1787,IGUSA10D,20,20,16.552,16.552
12/31/1788,IGUSA10D,16.552,24.615,16.552,22.857
12/31/1789,IGUSA10D,22.497,22.497,12,12
12/31/1790,IGUSA10D,12,13.333,6,6
12/31/1791,IGUSA10D,6.667,6.667,4.528,4.528
12/31/1792,IGUSA10D,3.956,5.217,3.956,5.217
12/31/1793,IGUSA10D,5.143,6,5.143,6
12/31/1794,IGUSA10D,5.902,6.486,5.106,5.455
12/31/1795,IGUSA10D,5.373,5.806,4.983,5.806
12/31/1796,IGUSA10D,5.806,6.316,5.669,6.316
12/31/1797,IGUSA10D,6.316,6.316,5.783,5.806
12/31/1798,IGUSA10D,5.806,7.059,5.806,6.061
12/31/1799,IGUSA10D,6.061,6.667,6.061,6.316
12/31/1800,IGUSA10D,6.154,6.154,5.455,5.53
12/31/1801,IGUSA10D,5.455,5.714,5.085,5.085
12/31/1802,IGUSA10D,4.959,5.085,4.511,4.839
12/31/1803,IGUSA10D,4.839,5.172,4.839,5.085
12/31/1804,IGUSA10D,5.085,5.263,5.085,5.217
12/31/1805,IGUSA10D,5.31,5.66,5.172,5.217
12/31/1806,IGUSA10D,5.15,5.15,4.688,4.819
12/31/1807,IGUSA10D,4.839,4.839,4.615,4.651
12/31/1808,IGUSA10D,4.724,4.724,4.58,4.615
12/31/1809,IGUSA10D,4.615,4.688,4.528,4.545
12/31/1810,IGUSA10D,4.528,4.688,4.528,4.615
12/31/1811,IGUSA10D,4.563,5.15,4.563,5
12/31/1812,IGUSA10D,4.898,5.263,4.898,5.172
12/31/1813,IGUSA10D,5.15,5.66,5.15,5.581
12/31/1814,IGUSA10D,5.607,5.882,5.505,5.882
12/31/1815,IGUSA10D,5.882,5.882,4.839,5.172
12/31/1816,IGUSA10D,5.172,5.172,4.839,4.878
12/31/1817,IGUSA10D,4.878,4.878,4.196,4.196
12/31/1818,IGUSA10D,4.196,4.563,4.196,4.563
12/31/1819,IGUSA10D,4.669,4.839,4.152,4.152
12/31/1820,IGUSA10D,4.348,4.615,4.255,4.317
12/31/1821,IGUSA10D,4.286,4.286,3.727,3.797
12/31/1822,IGUSA10D,3.84,4.054,3.774,3.865
12/31/1823,IGUSA10D,3.893,4.181,3.774,3.774
12/31/1824,IGUSA10D,3.75,3.762,3.333,3.333
12/31/1825,IGUSA10D,3.345,3.55,3.306,3.55
12/31/1826,IGUSA10D,3.593,3.774,3.593,3.704
12/31/1827,IGUSA10D,3.707,3.707,3.438,3.438
12/31/1828,IGUSA10D,3.468,3.571,3.448,3.571
12/31/1829,IGUSA10D,3.55,3.556,3.414,3.448
12/31/1830,IGUSA10D,3.361,3.361,3.125,3.211
12/31/1831,IGUSA10D,3.209,3.226,3.121,3.121
12/31/1832,IGUSA10D,3.109,3.109,2.996,3.015
12/31/1833,IGUSA10D,4.274,4.274,4.132,4.202
12/31/1834,IGUSA10D,4.202,4.902,4.202,4.505
12/31/1835,IGUSA10D,4.444,4.484,4,4.484
12/31/1836,IGUSA10D,4.484,4.854,4.484,4.854
12/31/1837,IGUSA10D,4.854,5,4.673,4.785
12/31/1838,IGUSA10D,4.854,4.975,4.854,4.95
12/31/1839,IGUSA10D,5,5.917,4.988,5.917
12/31/1840,IGUSA10D,5.682,5.682,5.208,5.263
12/31/1841,IGUSA10D,5.263,5.556,5.263,5.556
12/31/1842,IGUSA10D,5.525,6.015,5.42,6.015
12/31/1843,IGUSA10D,6.023,6.023,5.063,5.217
12/31/1844,IGUSA10D,5.286,5.333,5.15,5.286
12/31/1845,IGUSA10D,5.263,5.581,5.24,5.581
12/31/1846,IGUSA10D,5.581,6,5.381,6
12/31/1847,IGUSA10D,5.897,6.038,5.581,6.038
12/31/1848,IGUSA10D,6.186,6.186,5.524,5.607
12/31/1849,IGUSA10D,5.467,5.505,5.125,5.381
12/31/1850,IGUSA10D,5.322,5.375,5.053,5.263
12/31/1851,IGUSA10D,5.263,5.263,4.959,5.172
12/31/1852,IGUSA10D,5.161,5.161,4.959,5
12/31/1853,IGUSA10D,5,5.01,4.853,4.974
12/31/1854,IGUSA10D,4.938,5.172,4.868,5.172
12/31/1855,IGUSA10D,5.128,5.184,4.979,5.184
12/31/1856,IGUSA10D,5.161,5.184,5.074,5.184
