,Date,Long_rate,Country,Variable_long
0,2013,8.19666666666667,AO,FIGB_PA
1,2014,8.16666666666667,AO,FIGB_PA
2,2015,7.77,AO,FIGB_PA
3,2016,7.75166666666667,AO,FIGB_PA
4,2017,7.58333333333333,AO,FIGB_PA
5,2018,5.625,AO,FIGB_PA
0,1995,114.228888888889,AM,FIGB_PA
1,2000,25.5117383157638,AM,FIGB_PA
2,2001,23.1503333333333,AM,FIGB_PA
3,2002,17.4415900996534,AM,FIGB_PA
4,2003,15.7123529761905,AM,FIGB_PA
5,2004,8.20861632104455,AM,FIGB_PA
6,2005,5.1832375,AM,FIGB_PA
7,2006,5.85706491596639,AM,FIGB_PA
8,2007,6.5621625,AM,FIGB_PA
9,2008,8.32171231119544,AM,FIGB_PA
10,2009,11.8599542551728,AM,FIGB_PA
11,2010,13.8820128726145,AM,FIGB_PA
12,2011,13.7980278130288,AM,FIGB_PA
13,2012,14.3002047697647,AM,FIGB_PA
14,2013,13.2034138827596,AM,FIGB_PA
15,2014,9.822525,AM,FIGB_PA
16,2015,14.410047254447,AM,FIGB_PA
17,2016,12.3664826802,AM,FIGB_PA
18,2017,8.77250490117572,AM,FIGB_PA
19,2018,8.1,AM,FIGB_PA
20,2019,7.6412125,AM,FIGB_PA
21,2020,6.77888285175954,AM,FIGB_PA
0,1995,9.21089527658369,AU,FIGB_PA
1,1996,8.20920705749882,AU,FIGB_PA
2,1997,6.95491854388937,AU,FIGB_PA
3,1998,5.49297052826401,AU,FIGB_PA
4,1999,6.00931194298328,AU,FIGB_PA
5,2000,6.31456933440806,AU,FIGB_PA
6,2001,5.61526432840721,AU,FIGB_PA
7,2002,5.84395771110088,AU,FIGB_PA
8,2003,5.36677549770342,AU,FIGB_PA
9,2004,5.59077450749734,AU,FIGB_PA
10,2005,5.33997311398556,AU,FIGB_PA
11,2006,5.5878722441858,AU,FIGB_PA
12,2007,5.99452083739212,AU,FIGB_PA
13,2008,5.81794393964159,AU,FIGB_PA
14,2009,5.03951184202271,AU,FIGB_PA
15,2010,5.36604166666667,AU,FIGB_PA
16,2011,4.87958333333333,AU,FIGB_PA
17,2012,3.37916666666667,AU,FIGB_PA
18,2013,3.69666666666667,AU,FIGB_PA
19,2014,3.65541666666667,AU,FIGB_PA
20,2015,2.71020833333333,AU,FIGB_PA
21,2016,2.33354166666667,AU,FIGB_PA
22,2017,2.63916666666667,AU,FIGB_PA
23,2018,2.68416666666667,AU,FIGB_PA
24,2019,1.48416666666667,AU,FIGB_PA
0,1995,7.13416666666667,AT,FIGB_PA
1,1996,6.3225,AT,FIGB_PA
2,1997,5.6825,AT,FIGB_PA
3,1998,4.7125,AT,FIGB_PA
4,1999,4.67916666666667,AT,FIGB_PA
5,2000,5.55666666666667,AT,FIGB_PA
6,2001,5.07916666666667,AT,FIGB_PA
7,2002,4.96416666666667,AT,FIGB_PA
8,2003,4.14083333333333,AT,FIGB_PA
9,2004,4.13083333333333,AT,FIGB_PA
10,2005,3.39416666666667,AT,FIGB_PA
11,2006,3.8,AT,FIGB_PA
12,2007,4.2975,AT,FIGB_PA
13,2008,4.35833333333333,AT,FIGB_PA
14,2009,3.93666666666667,AT,FIGB_PA
15,2010,3.22583333333333,AT,FIGB_PA
16,2011,3.31916666666667,AT,FIGB_PA
17,2012,2.3725,AT,FIGB_PA
18,2013,2.01,AT,FIGB_PA
19,2014,1.4875,AT,FIGB_PA
20,2015,0.745833333333333,AT,FIGB_PA
21,2016,0.376666666666667,AT,FIGB_PA
22,2017,0.576666666666667,AT,FIGB_PA
0,2006,12.4475,BD,FIGB_PA
1,2007,12.1483333333333,BD,FIGB_PA
2,2008,11.7216666666667,BD,FIGB_PA
3,2009,10.1433333333333,BD,FIGB_PA
4,2010,8.86,BD,FIGB_PA
5,2011,9.4925,BD,FIGB_PA
6,2012,11.5966666666667,BD,FIGB_PA
7,2013,12.125,BD,FIGB_PA
8,2014,11.487275,BD,FIGB_PA
9,2015,9.43833333333333,BD,FIGB_PA
10,2016,7.01833333333333,BD,FIGB_PA
11,2017,6.8725,BD,FIGB_PA
12,2018,7.21,BD,FIGB_PA
13,2019,8.50291666666667,BD,FIGB_PA
14,2020,7.67166666666667,BD,FIGB_PA
0,1995,7.48083333333333,BE,FIGB_PA
1,1996,6.4925,BE,FIGB_PA
2,1997,5.75333333333333,BE,FIGB_PA
3,1998,4.75166666666667,BE,FIGB_PA
4,1999,4.74916666666667,BE,FIGB_PA
5,2000,5.5925,BE,FIGB_PA
6,2001,5.13083333333333,BE,FIGB_PA
7,2002,4.98666666666667,BE,FIGB_PA
8,2003,4.18083333333333,BE,FIGB_PA
9,2004,4.1525,BE,FIGB_PA
10,2005,3.42833333333333,BE,FIGB_PA
11,2006,3.815,BE,FIGB_PA
12,2007,4.32833333333333,BE,FIGB_PA
13,2008,4.4175,BE,FIGB_PA
14,2009,3.90166666666667,BE,FIGB_PA
15,2010,3.4625,BE,FIGB_PA
16,2011,4.23333333333333,BE,FIGB_PA
17,2012,3,BE,FIGB_PA
18,2013,2.41,BE,FIGB_PA
19,2014,1.71333333333333,BE,FIGB_PA
20,2015,0.84,BE,FIGB_PA
21,2016,0.475833333333333,BE,FIGB_PA
22,2017,0.73125,BE,FIGB_PA
0,2003,10.5388888888889,BW,FIGB_PA
1,2004,10.0666666666667,BW,FIGB_PA
2,2005,9.49,BW,FIGB_PA
3,2006,11.5963916666667,BW,FIGB_PA
4,2007,10.7344416666667,BW,FIGB_PA
5,2008,10.1891666666667,BW,FIGB_PA
6,2009,8.62895833333333,BW,FIGB_PA
7,2010,7.68729166666667,BW,FIGB_PA
8,2011,7.435,BW,FIGB_PA
9,2012,5.665,BW,FIGB_PA
10,2013,5.013,BW,FIGB_PA
11,2014,4.21116666666667,BW,FIGB_PA
12,2015,3.666,BW,FIGB_PA
13,2016,5.76316666666667,BW,FIGB_PA
14,2017,5.4775,BW,FIGB_PA
15,2018,5.27383333333333,BW,FIGB_PA
16,2019,5.089,BW,FIGB_PA
17,2020,5.08654166666667,BW,FIGB_PA
0,2003,6.44666666666667,BG,FIGB_PA
1,2004,5.36,BG,FIGB_PA
2,2005,3.87416666666667,BG,FIGB_PA
3,2006,4.18333333333333,BG,FIGB_PA
4,2007,4.53916666666667,BG,FIGB_PA
5,2008,5.37666666666667,BG,FIGB_PA
