iso,year,XPTOT,IPTOT,SH_PRIM,SH_SECD,GDP,XCH_RATE,POP,TARIFF
ABW,2014,1327616511.958094,1434996737.235441,,,1696081719.902539,0.3395137580325447,103.776,
ABW,2015,1412878306.176285,1415357644.4735422,,,1939356090.5367095,0.365667865324819,104.339,
ABW,2016,1587075664.77535,1556114369.045238,,,2209784294.1964545,0.4137622702218346,104.865,
ABW,2017,1743160232.2182841,1712090531.2181737,,,2402746132.0009956,0.4340651856671078,105.361,
ABW,2018,1771289853.3691366,1791139218.3104067,,,2400141358.7539744,0.41873270405578045,105.846,
ABW,2019,,,,,,0.4376788324088988,106.31,
ABW,2020,,,,,,0.4357539534620966,106.766,
AFE,2014,171378928840.12408,196515058838.088,11.9420143518157,27.3436097952564,581183196155.7178,,578075.373,
AFE,2015,145343952966.1056,185640092523.58145,12.0695011120288,26.3751056003977,584574384173.6589,,593871.847,
AFE,2016,152420378054.35095,182768035469.09738,12.0814231758542,26.7343268134152,633058744280.8654,,609978.946,
AFE,2017,183966097249.43893,207526491173.56705,11.9409194858097,26.8193891225929,747660568036.2523,,626392.88,
AFE,2018,192877704918.14896,214027269645.40787,11.2030920288442,27.9159475870706,737563041533.5507,,643090.131,
AFE,2019,190459854215.70364,215820119219.55563,10.9530685794096,28.29527432203,766059868533.8175,,660046.272,
AFE,2020,159235965609.12598,175628937817.65765,11.456951441456,27.4723680842633,700809395950.6427,,677243.299,
AFG,2014,,,22.1370413719574,21.2296632181805,12449271590.460348,,33370.804,
AFG,2015,,,20.6343227166798,22.1240424906926,13030109777.886557,,34413.603,
AFG,2016,,,25.7403140364582,10.4668076938201,13344565922.18118,,35383.028,
AFG,2017,,,26.4201990834448,10.0518739969063,14661507789.233759,,36296.111,
AFG,2018,,,22.0428967527575,13.3872469597976,13756812792.758715,,37171.922,
AFG,2019,,,25.7739707394105,14.0581123697768,15113521101.49632,,38041.757,
AFG,2020,,,27.0135607698968,12.4708906466922,15449504084.736586,,38928.341,
AFW,2014,123622667132.84354,111288179159.80775,20.3208188352079,27.2121844137329,514712401699.84265,,390882.979,
AFW,2015,86529989553.43047,102447637028.15138,20.6822512717075,23.1742491535688,495813016748.3135,,401586.651,
AFW,2016,86431338774.24416,110541630477.40552,20.9572138654475,21.3650081827171,509174883174.45105,,412551.299,
AFW,2017,111294955301.50735,121118300485.56047,20.8384846449533,24.1951247778624,529112647823.93054,,423769.93,
AFW,2018,125743022810.74977,139088697642.5268,20.9851738615111,26.4849155753317,553252674749.141,,435229.381,
AFW,2019,133056131718.10461,159176764230.89798,21.1444873928552,27.3625178448955,620550359663.3075,,446911.598,
AFW,2020,98895980774.38928,137424903488.0334,22.6425546243954,28.3789687898209,613535947648.3346,,458803.476,
AGO,2014,39579068636.22778,30673111419.70755,7.5470567791822,46.2033255675024,88553621127.52823,0.006182245018154174,26941.773,3.669101077341024
AGO,2015,22629571345.107063,25199681682.156887,9.12253447070414,41.9330926455315,76054027714.75749,0.005451787886078423,27884.38,2.822393416896727
AGO,2016,21064060300.40553,18907949377.092724,9.83116860869255,42.643566778715,74895809219.36292,0.0045255444290659575,28842.482,2.1397133515778313
AGO,2017,27521225501.640163,22063893999.201458,10.016995912763,42.1679535486771,94887362311.93587,0.004682953502094705,29816.769,2.5529898004378775
AGO,2018,31022285316.508358,19403468302.199986,8.6077417624351,47.9315416320185,75967443180.28848,0.0029642653844529337,30809.787,2.2045057659180127
AGO,2019,27561711402.104073,17474662716.017567,6.66070380425936,49.986772065329,70053460523.86078,0.002147449822122569,31825.299,2.0795897188316372
AGO,2020,17148055959.809418,13282999995.278547,9.42977299198621,44.7609032351554,48599366111.85368,0.0013488763219804774,32866.268,
ALB,2014,2268079462.7229137,3794058134.7634935,19.9901536913842,21.5088578900509,8039135022.481995,0.005761562636312619,2889.104,1.3631657433729378
ALB,2015,2032295751.1618454,3319185674.0737014,19.7802245227192,21.7636624840832,7453208777.492407,0.005196386299520417,2880.703,1.4709846903869908
ALB,2016,2545651499.0297437,4026252234.145404,19.8499758692673,21.1419432555349,8784814091.438063,0.005966002486634988,2876.101,0.9092960676638029
ALB,2017,3193602495.113453,4716528982.37745,19.0221428367873,20.3583605689267,10115998222.60349,0.006523733688867531,2873.457,0.8978837588868295
ALB,2018,3586645001.2241573,5138934307.789012,18.4409306163631,21.2840304546277,11353169632.236076,0.0069408030767886715,2866.376,0.8396788200892766
ALB,2019,3777326279.2194057,5426894344.461094,18.4633799189155,20.2359624888842,11976221868.720463,0.007131899560876625,2854.191,0.8518537123473535
ALB,2020,2683899657.567239,4395948457.390928,19.2520984919238,19.7049994696374,11543693511.019419,0.007179011290355757,2837.743,
AND,2014,,,,,1988374750.6533914,,79.213,
AND,2015,,,,,1826096918.0382307,,77.993,
AND,2016,,,,,2145380454.583074,,77.295,
AND,2017,,,,,2331070485.6554775,,76.997,
AND,2018,,,,,2412229358.436409,,77.008,
AND,2019,,,,,2471820627.9635286,,77.146,
AND,2020,,,,,,,77.265,
ARB,2014,871972068135.6904,697001277952.6796,5.20129229915857,50.0373526611153,1753086165254.398,,387899.835,
ARB,2015,689994263794.7777,696392418759.1844,5.47512727141009,41.5775813748876,1645009201331.542,,396028.301,
ARB,2016,714870371403.812,727603667557.6271,5.4599541947902,39.5996672185345,1823417669882.6929,,404042.892,
ARB,2017,860218248825.033,806602248865.9492,5.11547991839497,41.5954701105483,1951038807916.4316,,411942.825,
ARB,2018,980277013077.8579,810008049701.7584,4.86851250769008,44.6657705019262,2067208752413.96,,419851.989,
ARB,2019,990421303495.9526,878221774371.2108,4.97978686269485,43.3227480718909,2202406969464.4873,,427870.273,
ARB,2020,,,6.98208341071481,36.666137897446,1973543846995.842,,436080.728,
ARE,2014,243922400784.6044,168880988989.0995,0.639504606824219,52.7646083574634,244998359405.15237,0.16548117818332336,9214.182,0.00038940134927906167
